uc_id,urban_code,case_code,case_type,細部計畫ID,case_name,gov_code,gov_date,is_publish,is_map
422,18,31,1,1831,變更日月潭特定區主要計畫(公共設施用地專案通盤檢討)案,府建都字第11100553731號,111年03月14日,T,NULL
423,05,93,2,0593,變更草屯都市計畫(配合行政園區遷移計畫、新社區及虎山溝整治開發計畫地區)(有關土地使用分區管制要點修正案)細部計畫書,10701945461,107年09月04日,T,NULL
424,11,09,1,1109,變更國姓都市計畫（部分農業區為污水處理廠用地、部分農業區、墓地、綠地及住宅區為道路用地）案,府建都字第11101334171號,111年06月08日,T,NULL
425,24,07,1,2407,變更南投（含南崗地區）都市計畫（部分農業區、綠地用地為園道用地及部分保護區為園道用地、道路用地及人行道用地為廣場用地）,府建都字第10902071021號,109年09月09日,T,NULL
426,05,94,1,0594,「變更草屯都市計畫（增訂機關用地-機十一土地使用分區管制要點）案」,,,T,NULL
427,05,95,1,0595,變更草屯都市計畫（增訂機關用地-機十一土地使用分區管制要點）案,11102488941,111年10月25日,T,NULL
428,22,06,1,2206,變更廬山風景特定區計畫(公共設施用地專案通盤檢討)案,府建都字第11100720311,111年03月24日,T,NULL
429,03,42,4,0342,「變更中興新村(含南內轆地區)都市計畫(部分機關用地、公園用地、綠地為醫院用地)(配合衛生福利部南投醫院長照大樓興建)案」,府建都字第11200397771,112年02月23日,T,NULL
430,16,19,4,1619,變更八卦山脈風景特定區計畫(南投縣文山、橫山地區)(配合南投市鳳山路瓶頸路段改善暨道路拓寬工程)案,府建都字第11200614921號,112年03月16日,T,NULL
431,03,43,1,0343,「變更中興新村(含南內轆地區)都市計畫〔部分公園兼兒童遊樂場用地為社教用地、道路用地及道路用地(特別管制區)〕案」,府建都字第11202516351號,112年11月03日,T,NULL
432,03,44,1,0344,「變更中興新村(含南內轆地區)都市計畫（停車場用地為學校用地）(配合中興大學南投分部籌設計畫)案」,府建都字第11300387311號,113年02月21日,T,NULL
434,03,46,5,0346,審查「變更中興新村(含南內轆地區)都市計畫（原「機十一」機關用地及部分「公二」公園用地變更為住宅區及保存區)細部計畫」土地使用分區管制要點併入「南投縣都市設計審議幹事會」審議,府建都字第1110126551號函,111年06月08日,F,NULL
435,18,32,1,1832,「變&#63745;日月潭特定區主要計畫（部分保護區、部分旅館區（旅4）、部分公園用地（公1）及部分廣場兼停車場用地（廣（停）2）為道路用地）（配合金天巷瓶頸路段改善工程）案」,府建都字第11301086621號,113年05月14日,T,NULL
436,24,08,1,2408,變更南投（含南崗地區）都市計畫（部分住宅區為醫療專用區）,府建都字第1130231514號,113年09月25日,T,NULL
437,24,09,5,2409,變更南投（含南崗地區）都市計畫（土地使用分區管制要點）修訂,府建都字第11302472171號,113年10月18日,T,NULL
