名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
臺中市石岡區第三公墓,特殊設施,墳墓,臺中市石岡區梅子里(國中巷),臺中市石岡區食水嵙段48地號 ,229137.909,2684771.972,Google
臺中市石岡區第四公墓,特殊設施,墳墓,臺中市石岡區南眉段305地號,臺中市石岡區南眉段305地號,231148.326,2683491.633,Google
福龍紀念園,特殊設施,墳墓,臺中市南屯區文山南巷988號,臺中市南屯區春社里24鄰文山南巷988號,207677.41,2672067.191,TGOS
臺中市生命禮儀管理處之東勢館,特殊設施,殯儀館,臺中市東勢區勢林街62之7號,臺中市東勢區東新里8鄰勢林街62之7號,233527.644,2684553.884,TGOS
臺中市生命禮儀管理處之東海館,特殊設施,殯儀館,臺中市西屯區福順路1177號,臺中市西屯區福順路1177號,209604.6046,2675761.879,Google
臺中市生命禮儀管理處之大甲館,特殊設施,殯儀館,臺中市大甲區頂店里中山路一段1158巷51號,臺中市大甲區頂店里4鄰中山路一段1158巷49號,213105.495,2694184.62,TGOS
臺中市生命禮儀管理處之崇德館,特殊設施,殯儀館,臺中市北區崇德路一段50號,臺中市北區五常里15鄰崇德路一段50號,217960.826,2672360.819,TGOS
東海殯儀館(火化場),特殊設施,火葬場,臺中市西屯區福順路1177號,臺中市西屯區福順路1177號,209604.6046,2675761.879,Google
台中園區污水處理廠,特殊設施,污水處理廠,臺中市大雅區科雅路10號,臺中市大雅區科雅路10號,211783.5828,2678966.802,Google
中港園區污水處理廠,特殊設施,污水處理廠,臺中市梧棲區大業路2號,臺中市梧棲區草湳里13鄰大業路2號,200572.644,2680913.835,TGOS
大里工業區污水處理廠,特殊設施,污水處理廠,臺中市大里區工業十一路180號,臺中市大里區仁化里4鄰工業十一路180號,220769.079,2666322.64,TGOS
台中工業區污水處理廠,特殊設施,污水處理廠,臺中市西屯區工業區四路1號,臺中市西屯區協和里12鄰工業區四路1號,210530.249,2673263.375,TGOS
精密科技園區污水處理廠,特殊設施,污水處理廠,臺中市南屯區精科東路16號,臺中市南屯區文山里39鄰精科東路16號,209949.684,2671066.97,TGOS
臺中市福田水資源回收中心,特殊設施,污水處理廠,臺中市南區福田二街23號,臺中市南區樹義里29鄰福田二街23號,215539.844,2667108.302,TGOS
七星污水處理廠,特殊設施,污水處理廠,臺中市后里區星科路32號,臺中市后里區廣福里7鄰星科路32號,222178.821,2686951.211,TGOS
