名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
西區-國稅局-國稅局模範來賓停車場,公共建設,停車場地,,,216127.9534,2671312.404,Open data
西區-公有-中區國稅署民生來賓停車場,公共建設,停車場地,,,216218.808,2671055.245,Open data
大里區-公所-大里區公所辦公廳舍附屬停車場,公共建設,停車場地,,,217345.6812,2666089.879,Open data
神岡區-公所-神岡區公所前廣場停車場,公共建設,停車場地,,,215629.2784,2683611.503,Open data
神岡區-公所-停一停車場,公共建設,停車場地,,,219289.6159,2685876.842,Open data
神岡區-公所-停二停車場,公共建設,停車場地,,,220497.6669,2685842.153,Open data
神岡區-公所-停三停車場,公共建設,停車場地,,,220680.4032,2685839.558,Open data
神岡區-公所-停四停車場,公共建設,停車場地,,,220030.3832,2685711.339,Open data
大安區-公有-北園停車場(大安濱海樂園),公共建設,停車場地,,,208024.8212,2697570.481,Open data
大安區-公有-南園停車場(大安濱海樂園),公共建設,停車場地,,,207992.8198,2697044.488,Open data
北屯區-民營-津達停車場,公共建設,停車場地,,,218454.1176,2675394.884,Open data
北區-民營-高苑立體停車場,公共建設,停車場地,,,217062.5916,2671167.342,Open data
西區-民營-Times台中忠明南路停車場,公共建設,停車場地,,,215164.2933,2672049.011,Open data
豐原區-民營-台灣聯通台中豐原建成停車場,公共建設,停車場地,,,220126.2325,2683022.067,Open data
北屯區-民營-東利遊覽車停車場,公共建設,停車場地,,,221797.3076,2675704.603,Open data
南屯區-民營-媽媽咪亞陽光館產後護理之家停車場,公共建設,停車場地,,,212287.8595,2671855.883,Open data
南屯區-民營-寶雅嶺東店停車場,公共建設,停車場地,,,210436.2319,2671113.335,Open data
西區-民營-民權停車場,公共建設,停車場地,,,216484.4018,2671631.631,Open data
太平區-民營-育賢停車場,公共建設,停車場地,,,221801.0909,2672489.496,Open data
北屯區-民營-午資開發股份有限公司停車場,公共建設,停車場地,,,218112.9597,2677299.465,Open data
清水區-建設局-公69停車場,公共建設,停車場地,,,203365.6144,2687429.961,Open data
