名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
梨山國民中小學,公共建設,學校,中小學,臺中市和平區梨山里福壽路10號,臺中市和平區梨山里福壽路10號,276338.0872,2683330.774,Google
光復國民中小學,公共建設,學校,中小學,臺中市霧峰區南柳里柳豐路535號,臺中市霧峰區南柳里16鄰柳豐路535號,218390.715,2659914.509,TGOS
善水國中小,公共建設,學校,中小學,臺中市梧棲區梧南路50號,臺中市梧棲區梧南路50號,201665.4577,2681915.442,Google
麗喆國民中小學 ,公共建設,學校,中小學,臺中市西屯區國安二路242巷199號,臺中市西屯區國安二路242巷199號,210772.0821,2676650.403,Google
臺中市私立磊川華德福實驗教育學校,公共建設,學校,私立實驗教育學校,臺中市北屯區松竹五路二段233號,臺中市北屯區軍功里37鄰松竹五路二段233號,220842.334,2675024.467,TGOS
臺中市私立華德福大地實驗教育學校,公共建設,學校,私立實驗教育學校,臺中市烏日區公園路36號,臺中市烏日區烏日里10鄰公園路36號,212141.856,2666412.384,TGOS
國立中興大學,公共建設,學校,大專院校,臺中市南區興大路145號,臺中市南區積善里1鄰興大路145號,217065.386,2668709.273,TGOS
國立臺中教育大學,公共建設,學校,大專院校,臺中市西區民生路140號,臺中市西區平和里7鄰民生路140號,216644.489,2670942.574,TGOS
國立臺灣體育運動大學,公共建設,學校,大專院校,臺中市北區雙十路一段16號,臺中市北區樂英里24鄰雙十路一段16號,218239.263,2671561.421,TGOS
國立勤益科技大學,公共建設,學校,大專院校,臺中市太平區坪林里中山路二段57號,臺中市太平區坪林里中山路二段57號,222868.1693,2671233.391,Google
國立臺中科技大學,公共建設,學校,大專院校,臺中巿北區三民路三段129號,臺中市北區錦平里6鄰三民路三段129號,217786.565,2671714.282,TGOS
東海大學,公共建設,學校,大專院校,臺中市西屯區臺灣大道四段1727號,臺中市西屯區福恩里18鄰臺灣大道四段1727號,210154.82,2675271.103,TGOS
逢甲大學,公共建設,學校,大專院校,臺中市西屯區文華路100號,臺中市西屯區鵬程里12鄰文華路100號,214438.856,2674925.876,TGOS
靜宜大學,公共建設,學校,大專院校,臺中市沙鹿區臺灣大道七段200號,臺中市沙鹿區晉江里13鄰臺灣大道七段200號,207059.135,2680104.407,TGOS
中山醫學大學,公共建設,學校,大專院校,臺中市南區建國北路一段110號,臺中市南區樹德里7鄰建國北路一段110號,214413.698,2668551.586,TGOS
中國醫藥大學,公共建設,學校,大專院校,臺中市北屯區經貿路一段100號,臺中市北屯區新平里9鄰經貿路一段100號,215569.766,2674820.875,TGOS
家樂福大墩店,公共建設,市場,超大型購物中心,臺中市南屯區大墩路533號,臺中市南屯區惠中里1鄰大墩路533號,214354.507,2671622.702,TGOS
家樂福大里中興店,公共建設,市場,超大型購物中心,臺中市大里區中興路二段550號,臺中市大里區內新里5鄰中興路二段550號,218478.64,2667653.97,TGOS
家樂福德安店,公共建設,市場,超大型購物中心,臺中市東區復興路四段186號B1,臺中市東區新庄里28鄰復興路四段186號,218256.72,2670061.987,TGOS
家樂福台中復興店,公共建設,市場,超大型購物中心,臺中市南區復興路二段120號,臺中市南區福順里16鄰復興路二段120號,215812.72,2668813.122,TGOS
家樂福台中大墩11店,公共建設,市場,超大型購物中心,臺中市南屯區大墩十一街730號,臺中市南屯區三和里6鄰大墩十一街730號,212924.217,2671527.007,TGOS
家樂福台中南屯店,公共建設,市場,超大型購物中心,臺中市南屯區南屯路二段270之1號,臺中市南屯區同心里24鄰南屯路二段270之1號,214270.217,2670264.535,TGOS
家樂福台中漢口店,公共建設,市場,超大型購物中心,臺中市北區漢口路四段295號,臺中市北區梅川里7鄰漢口路四段295號,217527.467,2673585.745,TGOS
家樂福台中建成店,公共建設,市場,超大型購物中心,臺中市南區建成路1025號1031號,臺中市南區國光里12鄰建成路1025號,217870.658,2669319.617,TGOS
家樂福台中進化店,公共建設,市場,超大型購物中心,臺中市北區進化路379號,臺中市北區金華里18鄰進化路379號,218918.793,2672192.495,TGOS
家樂福台中興安店,公共建設,市場,超大型購物中心,臺中市北屯區興安路一段288號,臺中市北屯區平田里13鄰興安路一段288號,218967.239,2674240.174,TGOS
家樂福台中水湳店,公共建設,市場,超大型購物中心,臺中市北屯區中清路二段165號,臺中市北屯區仁愛里4鄰中清路二段165號,216416.696,2674626.406,TGOS
家樂福太平環中店,公共建設,市場,超大型購物中心,臺中市太平區環中東路三段567號,臺中市太平區新城里5鄰環中東路三段567號,221037.13,2671642.27,TGOS
家樂福青海店,公共建設,市場,超大型購物中心,臺中市西屯區青海路二段207-18號,臺中市西屯區上德里25鄰青海路二段207之18號,213970.149,2673904.498,TGOS
家樂福西屯漢口店,公共建設,市場,超大型購物中心,臺中市西屯區漢口路二段182-188號,臺中市西屯區漢口路二段182號,215871.5879,2673555.661,TGOS
家樂福昌平店,公共建設,市場,超大型購物中心,臺中市北屯區昌平路一段105之1號,臺中市北屯區平心里15鄰昌平路一段105之1號,218538.513,2674270.066,TGOS
家樂福文心店,公共建設,市場,超大型購物中心,臺中市南屯區文心路一段521號,臺中市南屯區溝墘里15鄰文心路一段521號,214057.325,2672139.313,TGOS
愛買水湳店,公共建設,市場,超大型購物中心,臺中市西屯區中清路二段1199號,臺中市西屯區港尾里16鄰中清路二段1199號,215373.415,2676381.526,TGOS
CLC Mart,公共建設,市場,超級市場,臺中市中區綠川西街135號,臺中市中區綠川里24鄰綠川西街135號,217864.75,2670496.526,TGOS
Mia C'bon台中中友店,公共建設,市場,超級市場,臺中市北區三民路三段161號A棟,臺中市北區三民路三段161號A棟,217987.9474,2671966.398,TGOS
RJ Supermarket,公共建設,市場,超級市場,臺中市中區綠川東街20號,臺中市中區綠川東街20號,217714.774,2670198.037,TGOS
百喬生鮮超市,公共建設,市場,超級市場,臺中市太平區太平路107號,臺中市太平區長億里1鄰太平路107號,221751.505,2668260.173,TGOS
美福食集烏日門市,公共建設,市場,超級市場,臺中市烏日區光明路333號,臺中市烏日區前竹里3鄰光明路333號,214439.323,2667060.932,TGOS
美聯社大里東明店,公共建設,市場,超級市場,臺中市大里區東明路293號,臺中市大里區東興里11鄰東明路293號,217659.88,2667576.024,TGOS
美聯社德化店,公共建設,市場,超級市場,臺中市北區德化街20號,臺中市北區錦祥里2鄰德化街20號,218830.553,2672897.739,TGOS
美聯社台中寶慶店,公共建設,市場,超級市場,臺中市西屯區寶慶街50巷8-2號,臺中市西屯區逢甲里6鄰寶慶街50巷8之2號,214190.247,2674103.313,TGOS
美聯社台中福仁店,公共建設,市場,超級市場,臺中市東區福仁街30、32號,臺中市東區富仁里19鄰福仁街269號,218154.109,2671059.117,TGOS
美聯社台中德化二店,公共建設,市場,超級市場,臺中市北區德化街96、98號,臺中市北區健行里3鄰德化街700號,215844.552,2672881.588,TGOS
美聯社台中力行店,公共建設,市場,超級市場,臺中市東區力行路83號,臺中市東區合作里18鄰力行路83號,219002.361,2671773.453,TGOS
美聯社台中金山店,公共建設,市場,超級市場,臺中市西區金山路27號,臺中市西區平和里8鄰金山路27號,216533.56,2670657.216,TGOS
美聯社台中青島西店,公共建設,市場,超級市場,臺中市北區青島西街48.50號,臺中市北區賴旺里9鄰青島西街106號,216793.788,2673916.665,TGOS
美聯社台中祥順東店,公共建設,市場,超級市場,臺中市北屯區祥順東路二段52號,臺中市北屯區廍子里5鄰祥順東路二段52號,222523.451,2673982.407,TGOS
美聯社台中中康店,公共建設,市場,超級市場,臺中市西屯區中康街141、143號,臺中市西屯區港尾里8鄰中康街306號,215688.639,2677254.174,TGOS
美聯社台中中華店,公共建設,市場,超級市場,臺中市中區中華路二段40號,臺中市中區大誠里28鄰中華路二段40號,217434.367,2671417.953,TGOS
美聯社台中陳平店,公共建設,市場,超級市場,臺中市北屯區陳平路28號,臺中市北屯區陳平里13鄰陳平路28號,216103.351,2675498.784,TGOS
美聯社台中長安二店,公共建設,市場,超級市場,臺中市西屯區長安路二段110號,臺中市西屯區大鵬里31鄰長安路二段110號,216018.13,2674323.742,TGOS
美聯社台中山西店,公共建設,市場,超級市場,臺中市北區山西路二段125號,臺中市北區賴興里3鄰山西路二段125號,217044.967,2674070.595,TGOS
美聯社台中山西店,公共建設,市場,超級市場,臺中市北區山西路二段61號,臺中市北區賴興里1鄰山西路二段61號,217035.367,2673937.784,TGOS
美聯社太平振福店,公共建設,市場,超級市場,臺中市太平區振福路500號,臺中市太平區新光里8鄰振福路500號,220402.57,2672089.68,TGOS
美聯社樂群店,公共建設,市場,超級市場,臺中市西區樂群街67之1號,臺中市西區廣民里16鄰樂群街67之1號,216605.054,2670334.406,TGOS
楓康超市,公共建設,市場,超級市場,臺中市西屯區青海路二段520號,臺中市西屯區西墩里13鄰青海路二段520號,213071.333,2674583.089,TGOS
楓康超市,公共建設,市場,超級市場,臺中市沙鹿區興安路19號,臺中市沙鹿區興仁里13鄰興安路19號,205225.788,2680963.493,TGOS
楓康超市豐民店,公共建設,市場,超級市場,臺中市豐原區三民路207號,臺中市豐原區三民路207號,221253.6909,2683097.95,TGOS
楓康超市福星店,公共建設,市場,超級市場,臺中市西屯區福星路189號,臺中市西屯區西安里2鄰福星路189號,213732.633,2675274.384,TGOS
楓康超市大墩店,公共建設,市場,超級市場,臺中市西屯區大墩十七街88號,臺中市西屯區何成里3鄰大墩十七街88號,214233.057,2672333.45,TGOS
楓康超市大里店,公共建設,市場,超級市場,臺中市大里區大里路213號,臺中市大里區國光里19鄰大里路213號,217892.755,2666284.91,TGOS
楓康超市大連店,公共建設,市場,超級市場,臺中市北屯區大連路三段23號,臺中市北屯區平順里3鄰大連路三段23號,218642.26,2674492.344,TGOS
楓康超市大慶店,公共建設,市場,超級市場,臺中市南區復興路一段170號,臺中市南區樹義里8鄰復興路一段170號,214798.519,2667606.108,TGOS
楓康超市敦化店,公共建設,市場,超級市場,臺中市北屯區敦化路一段619號,臺中市北屯區陳平里10鄰敦化路一段619號,215987.622,2675660.893,TGOS
楓康超市東平店,公共建設,市場,超級市場,臺中市太平區東平路656號,臺中市太平區東平里15鄰東平路656號,221551.019,2669869.109,TGOS
楓康超市東興店,公共建設,市場,超級市場,臺中市西區東興路三段2號,臺中市西區公正里11鄰東興路三段2號,214761.435,2671190.693,TGOS
楓康超市東勢店,公共建設,市場,超級市場,臺中市東勢區豐勢路605號,臺中市東勢區北興里10鄰豐勢路605號,232336.19,2683876.367,TGOS
楓康超市東山店,公共建設,市場,超級市場,臺中市北屯區東山路一段235號,臺中市北屯區軍功里19鄰東山路一段235號,221232.553,2674492.103,TGOS
楓康超市太平店,公共建設,市場,超級市場,臺中市太平區樹德路67-1號,臺中市太平區新光里5鄰樹德路67號,220594.82,2671797.06,TGOS
楓康超市潭子店,公共建設,市場,超級市場,臺中市潭子區中山路一段45-2號,臺中市潭子區家興里6鄰中山路一段45之2號,219742.921,2676295.197,TGOS
楓康超市天津店,公共建設,市場,超級市場,臺中市北屯區天津路三段2號,臺中市北屯區平德里12鄰天津路三段2號,217437.34,2673849.873,TGOS
楓康超市南屯店,公共建設,市場,超級市場,臺中市南屯區黎明路一段963號,臺中市南屯區南屯里10鄰黎明路一段963號,213062.852,2670136.787,TGOS
楓康超市黎明店,公共建設,市場,超級市場,臺中市南屯區大墩十一街662號,臺中市南屯區三和里15鄰大墩十一街662號,213071.078,2671546.071,TGOS
楓康超市河南店,公共建設,市場,超級市場,臺中市西屯區青海路二段223號,臺中市西屯區上安里15鄰青海路二段223號,213741.899,2674087.669,TGOS
楓康超市健行店,公共建設,市場,超級市場,臺中市北區民權路480號,臺中市北區健行里33鄰民權路480號,216548.399,2672725.818,TGOS
楓康超市健行店,公共建設,市場,超級市場,臺中市北區民權路480號,臺中市北區健行里33鄰民權路480號,216548.399,2672725.818,TGOS
楓康超市清水店,公共建設,市場,超級市場,臺中市清水區中華路465號,臺中市清水區橋頭里28鄰中華路465號,206318.068,2685490.46,TGOS
楓康超市忠勇店,公共建設,市場,超級市場,臺中市南屯區忠勇路101號,臺中市南屯區文山里26鄰忠勇路101號,210924.448,2671699.844,TGOS
楓康超市朝富店,公共建設,市場,超級市場,臺中市西屯區朝富路262號,臺中市西屯區潮洋里14鄰朝富路262號,212886.532,2673102.035,TGOS
楓康超市成都店,公共建設,市場,超級市場,臺中市西屯區成都路95-5號,臺中市西屯區何德里6鄰成都路95之5號,215556.469,2673514.848,TGOS
楓康超市成功店,公共建設,市場,超級市場,臺中市大里區成功路171號,臺中市大里區金城里11鄰成功路171號,219745.34,2664760.029,TGOS
楓康超市崇德店,公共建設,市場,超級市場,臺中市北屯區崇德路三段477號,臺中市北屯區仁美里34鄰崇德路三段477號,218114.103,2676254.35,TGOS
楓康超市霧峰店,公共建設,市場,超級市場,臺中市霧峰區育群路25號,臺中市霧峰區本堂里30鄰育群路25號,219272.859,2662107.589,TGOS
楓康超市永春店,公共建設,市場,超級市場,臺中市南屯區大墩南路416號,臺中市南屯區大興里20鄰大墩南路416號,214451.529,2669942.646,TGOS
福來超級市場,公共建設,市場,超級市場,臺中市龍井區文昌路392號,臺中市龍井區龍東里9鄰文昌路392號,202318.6,2674696.129,TGOS
大買家北屯店,公共建設,市場,超級市場,臺中市北屯區北屯路370號,臺中市北屯區舊社里12鄰北屯路370號,219520.12,2674556.774,TGOS
大肚生鮮超市,公共建設,市場,超級市場,臺中市大肚區沙田路二段619號,臺中市大肚區大肚里11鄰沙田路二段619號,203779.973,2671785.867,TGOS
頂好Wellcome超市,公共建設,市場,超級市場,臺中市南區建成路1025號,臺中市南區國光里12鄰建成路1025號,217870.658,2669319.617,TGOS
台中超市,公共建設,市場,超級市場,臺中市大肚區遊園路二段27號,臺中市大肚區蔗廍里18鄰遊園路二段27號,207231.513,2673883.098,TGOS
統一商場,公共建設,市場,超級市場,臺中市大肚區遊園路二段23號,臺中市大肚區蔗廍里18鄰遊園路二段23號,207217.391,2673884.353,TGOS
樂膳自然無毒蔬食超市,公共建設,市場,超級市場,臺中市北屯區東山路一段348號,臺中市北屯區和平里14鄰東山路一段348號,222195.019,2674568.475,TGOS
力新有機美食生活超市,公共建設,市場,超級市場,臺中市西區健行路1049號四樓,臺中市西區忠明里22鄰健行路1049號,215774.573,2672315.33,TGOS
領好生活超市,公共建設,市場,超級市場,臺中市南屯區忠勇路109-2號,臺中市南屯區寶山里6鄰忠勇路109之2號,210980.924,2671969.629,TGOS
干城福利站,公共建設,市場,超級市場,臺中市東區自由路三段30號,臺中市東區干城里11鄰自由路三段30號,218212.062,2670858.375,TGOS
好地方超市,公共建設,市場,超級市場,臺中市西區臺灣大道二段459號B1,臺中市西區忠明里1鄰臺灣大道二段459號,215630.013,2672260.211,TGOS
錦鋒超市,公共建設,市場,超級市場,臺中市大里區東南路193號,臺中市大里區東湖里15鄰東南路193號,218853.04,2663798.33,TGOS
橋興生鮮超市,公共建設,市場,超級市場,臺中市大甲區黎明路36-29號,臺中市大甲區幸福里9鄰黎明路36之29號,215053.051,2698533.609,TGOS
慶峰超級市場,公共建設,市場,超級市場,臺中市霧峰區峰谷路1號,臺中市霧峰區六股里2鄰峰谷路1號,218690.291,2659624.52,TGOS
全聯福利中心北屯店,公共建設,市場,超級市場,臺中市北屯區北屯路289之10號,臺中市北屯區三光里8鄰北屯路289之10號,219076.51,2673651.631,TGOS
全聯福利中心美村綠店,公共建設,市場,超級市場,臺中市西區五權五街68號,臺中市西區吉龍里18鄰五權五街68號,215684.753,2670208.845,TGOS
全聯福利中心大連店,公共建設,市場,超級市場,臺中市北屯區大連路二段12號,臺中市北屯區平陽里9鄰大連路二段12號,217708.715,2674562.989,TGOS
全聯福利中心台中博館店,公共建設,市場,超級市場,臺中市北區民權路466號,臺中市北區淡溝里1鄰民權路466號,216559.299,2672624.754,TGOS
全聯福利中心台中博二店,公共建設,市場,超級市場,臺中市西區博館二街123、125號,臺中市西區和龍里20鄰博館二街329號,216843.329,2671513.072,TGOS
全聯福利中心台中民權店,公共建設,市場,超級市場,臺中市西區民權路217巷1、3號,臺中市西區後龍里3鄰民權路217巷13號,216336.182,2671422.85,TGOS
全聯福利中心台中明新店,公共建設,市場,超級市場,臺中市北區中清路一段425號,臺中市北區明新里17鄰中清路一段425號,216859.869,2673252.697,TGOS
全聯福利中心台中豐樂店,公共建設,市場,超級市場,臺中市南屯區文心南三路690、692號,臺中市南屯區豐樂里2鄰文心南三路1127號,213042.481,2669921.447,TGOS
全聯福利中心台中豐后店,公共建設,市場,超級市場,臺中市豐原區三豐路二段8號,臺中市豐原區東湳里18鄰三豐路二段8號,221609.57,2684333.879,TGOS
全聯福利中心台中復興店,公共建設,市場,超級市場,臺中市南區復興路二段160號,臺中市南區福平里15鄰復興路二段160號,216002.67,2669074.64,TGOS
全聯福利中心台中大鵬店,公共建設,市場,超級市場,臺中市西屯區大鵬路107號,臺中市西屯區大石里5鄰大鵬路107號,215803.538,2674772.193,TGOS
全聯福利中心台中大進店,公共建設,市場,超級市場,臺中市南屯區大進街490號,臺中市南屯區大業里17鄰大進街490號,214596.155,2671879.821,TGOS
全聯福利中心台中大智店,公共建設,市場,超級市場,臺中市東區大智路350巷2號,臺中市東區東興里10鄰大智路350巷2號,218493.225,2669379.409,TGOS
全聯福利中心台中大忠店,公共建設,市場,超級市場,臺中市西區精誠二十三街30號,臺中市西區公德里17鄰精誠二十三街30號,215088.915,2671214.463,TGOS
全聯福利中心台中大昌店,公共建設,市場,超級市場,臺中市南屯區大墩五街98號,臺中市南屯區大同里14鄰大墩五街98號,214626.573,2670786.432,TGOS
全聯福利中心台中太原店,公共建設,市場,超級市場,臺中市北屯區太原路三段191-1號,臺中市北屯區北屯里3鄰太原路三段191之1號,218656.272,2673347.537,TGOS
全聯福利中心台中天津店,公共建設,市場,超級市場,臺中市北區天津路二段171號,臺中市北區賴興里21鄰天津路二段171號,217351.986,2673895.696,TGOS
全聯福利中心台中南門店,公共建設,市場,超級市場,臺中市南區台中路520號,臺中市南區南門里34鄰臺中路520號,217860.491,2668699.521,TGOS
全聯福利中心台中南興店,公共建設,市場,超級市場,臺中市北屯區松竹五路一段118號,臺中市北屯區舊社里6鄰松竹五路一段118號,219917.725,2674367.01,TGOS
全聯福利中心台中樂群店,公共建設,市場,超級市場,臺中市西區南屯路一段41號,臺中市西區公舘里9鄰南屯路一段41號,216046.132,2669684.362,TGOS
全聯福利中心台中樂業店,公共建設,市場,超級市場,臺中市東區樂業路327號,臺中市東區十甲里10鄰樂業路327號,219829.415,2670444.85,TGOS
全聯福利中心台中林森店,公共建設,市場,超級市場,臺中市西區林森路89號,臺中市西區東昇里13鄰林森路89號,216591.23,2670220.656,TGOS
全聯福利中心台中龍門店,公共建設,市場,超級市場,臺中市西屯區黎明路二段866號,臺中市西屯區潮洋里14鄰黎明路二段866號,212814.052,2673067.031,TGOS
全聯福利中心台中河北店,公共建設,市場,超級市場,臺中市北屯區河北東街66號,臺中市北屯區松竹里20鄰河北東街66號,218025.252,2674739.372,TGOS
全聯福利中心台中河南店,公共建設,市場,超級市場,臺中市西屯區河南路四段26號,臺中市西屯區惠來里8鄰河南路四段26號,213009.356,2672745.745,TGOS
全聯福利中心台中環中店,公共建設,市場,超級市場,臺中市西屯區福科路26號,臺中市西屯區西墩里7鄰福科路26號,213026.076,2674964.105,TGOS
全聯福利中心台中建國南店,公共建設,市場,超級市場,臺中市南區建國南路一段255號,臺中市南區崇倫里23鄰建國南路一段255號,215242.16,2668865.145,TGOS
全聯福利中心台中健行店,公共建設,市場,超級市場,臺中市北區健行路447號,臺中市北區育德里6鄰健行路447號,217459.177,2672656.95,TGOS
全聯福利中心台中進化店,公共建設,市場,超級市場,臺中市北區進化路426號,臺中市北區錦洲里16鄰進化路426號,218982.641,2672379.64,TGOS
全聯福利中心台中軍太店,公共建設,市場,超級市場,臺中市北屯區軍功路一段183.185號,臺中市北屯區和平里20鄰軍功路一段756號,221481.774,2674491.75,TGOS
全聯福利中心台中青海店,公共建設,市場,超級市場,臺中市西屯區河南路二段466號,臺中市西屯區上安里11鄰河南路二段466號,213771.23,2673999.345,TGOS
全聯福利中心台中西屯店,公共建設,市場,超級市場,臺中市西屯區西屯路三段157號,臺中市西屯區福雅里24鄰西屯路三段157之1號,211428.541,2675769.646,TGOS
全聯福利中心台中陝西店,公共建設,市場,超級市場,臺中市北區陝西路66號,臺中市北區長青里3鄰陝西路66號,216320.727,2673775.656,TGOS
全聯福利中心台中新民店,公共建設,市場,超級市場,臺中市北區健行路37號,臺中市北區健行路37號,218466.9426,2672680.971,TGOS
全聯福利中心台中向上店,公共建設,市場,超級市場,臺中市西區美村路一段302號,臺中市西區美村路一段302號,215527.2121,2671689.361,TGOS
全聯福利中心台中學府店,公共建設,市場,超級市場,臺中市南區復興路三段126號,臺中市南區新榮里3鄰復興路三段126號,216749.405,2669465.08,TGOS
全聯福利中心台中學士店,公共建設,市場,超級市場,臺中市北區學士路261號,臺中市北區賴村里15鄰學士路261號,217560.744,2673019.677,TGOS
全聯福利中心台中忠明店,公共建設,市場,超級市場,臺中市南區忠明南路1118號之2號之1,臺中市南區南和里3鄰忠明南路1118號,216170.223,2668189.657,TGOS
全聯福利中心台中忠孝店,公共建設,市場,超級市場,臺中市東區忠孝路460、462、462號2樓,臺中市東區振興里26鄰忠孝路460號,218531.133,2669778.361,TGOS
全聯福利中心台中忠義店,公共建設,市場,超級市場,臺中市西屯區太原路一段85號,臺中市西屯區何明里7鄰太原路一段85號,215374.858,2672885.943,TGOS
全聯福利中心台中崇德店,公共建設,市場,超級市場,臺中市北區崇德路一段230號,臺中市北區建興里6鄰崇德路一段230號,218018.162,2672832.723,TGOS
全聯福利中心臺中市政店,公共建設,市場,超級市場,臺中市西屯區文心路二段501號,臺中市西屯區惠來里39鄰文心路二段501號,214042.638,2672219.938,TGOS
全聯福利中心台中水湳店,公共建設,市場,超級市場,臺中市北屯區中清路二段392號,臺中市北屯區陳平里17鄰中清路二段392號,216224.342,2674998.277,TGOS
全聯福利中心台中四平店,公共建設,市場,超級市場,臺中市北屯區四平路523號,臺中市北屯區四民里9鄰四平路523號,217650.117,2676438.435,TGOS
全聯福利中心台中三民店,公共建設,市場,超級市場,臺中市中區三民路二段140號,臺中市中區大墩里27鄰三民路二段140號,217576.03,2670960.629,TGOS
全聯福利中心台中松竹店,公共建設,市場,超級市場,臺中市北屯區松竹路二段178巷51號,臺中市北屯區松強里6鄰松竹路二段178巷51號,219074.685,2675488.044,TGOS
全聯福利中心台中二中店,公共建設,市場,超級市場,臺中市北區中清路ㄧ段27號1樓,臺中市北區文莊里13鄰中清路一段27號,217176.617,2671979.651,TGOS
全聯福利中心台中萬和店,公共建設,市場,超級市場,臺中市南屯區永春東路1043號,臺中市南屯區豐樂里1鄰永春東路1043號,213202.75,2670037.026,TGOS
全聯福利中心台中文華店,公共建設,市場,超級市場,臺中市西屯區河南路一段125號,臺中市西屯區何福里18鄰河南路一段125號,215640.021,2673866.259,TGOS
全聯福利中心台中文心店,公共建設,市場,超級市場,臺中市西屯區重慶路136號,臺中市西屯區何德里15鄰重慶路136號,215115.378,2673484.882,TGOS
全聯福利中心台中永興店,公共建設,市場,超級市場,臺中市北區永興街242號,臺中市北區頂厝里13鄰永興街242號,217737.739,2673381.591,TGOS
全聯福利中心台中永春東店,公共建設,市場,超級市場,臺中市南屯區永春東路148號,臺中市南屯區大興里13鄰永春東路148號,214617.633,2670035.453,TGOS
全聯福利中心太平新興店,公共建設,市場,超級市場,臺中市太平區新興路115、117號,臺中市太平區新興里8鄰新興路312號,220068.67,2672726.71,TGOS
全聯福利中心旅順店,公共建設,市場,超級市場,臺中市北屯區旅順路二段７８號,臺中市北屯區平心里7鄰旅順路二段78號,218266.793,2674333.824,TGOS
全聯福利中心十甲店,公共建設,市場,超級市場,臺中市東區十甲路452號,臺中市東區東英里8鄰十甲路452號,220474.198,2671009.569,TGOS
喜美超市楓樹店,公共建設,市場,超級市場,臺中市南屯區黎明路一段332號,臺中市南屯區楓樹里15鄰黎明路一段332號,212210.475,2668260.443,TGOS
喜美超市豐洲店,公共建設,市場,超級市場,臺中市神岡區豐洲路535-1號,臺中市神岡區豐洲里15鄰豐洲路535之1號,219745.853,2684127.62,TGOS
喜美超市大肚店,公共建設,市場,超級市場,臺中市大肚區福利路238-5號,臺中市大肚區頂街里1鄰福利路238之5號,203807.825,2672060.867,TGOS
喜美超市大雅店,公共建設,市場,超級市場,臺中市大雅區神林南路197巷46號,臺中市大雅區雅楓里10鄰神林南路197巷46號,215018.837,2679960.143,TGOS
喜美超市龍井店,公共建設,市場,超級市場,臺中市龍井區中央路二段116號,臺中市龍井區三德里9鄰中央路二段116號,201617.929,2677935.359,TGOS
喜美超市公安店,公共建設,市場,超級市場,臺中市后里區公安路125號,臺中市后里區中和里1鄰公安路125號,220457.22,2688881.586,TGOS
喜美超市甲后店,公共建設,市場,超級市場,臺中市后里區甲后路一段288號,臺中市后里區義里里13鄰甲后路一段288號,222358.785,2689306.538,TGOS
喜美超市中清店,公共建設,市場,超級市場,臺中市大雅區中清路四段747號,臺中市大雅區六寶里10鄰中清路四段747號,212731.78,2681403.995,TGOS
喜美超市昌平店,公共建設,市場,超級市場,臺中市北屯區昌平路三段185號,臺中市北屯區同榮里8鄰昌平路三段185號,216917.321,2677598.339,TGOS
喜美超市外埔店,公共建設,市場,超級市場,臺中市外埔區大同里甲后路三段962號,臺中市外埔區大同里5鄰甲后路三段962號,214937.527,2691700.96,TGOS
新裕民超市,公共建設,市場,超級市場,臺中市神岡區和睦路一段2號,臺中市神岡區圳堵里3鄰和睦路一段2號,215228.685,2685078.643,TGOS
興鴻生鮮超市,公共建設,市場,超級市場,臺中市大甲區如意路72號,臺中市大甲區如意路72號,212387.512,2701799.108,Google
興鴻生鮮超市賣場,公共建設,市場,超級市場,臺中市大甲區中山路二段204號,臺中市大甲區孟春里4鄰中山路二段204號,214979.367,2697180.787,TGOS
晨風超市,公共建設,市場,超級市場,臺中市太平區新福十六街68號,臺中市太平區新光里16鄰新福十六街68號,220016.497,2671999.469,TGOS
上禾超級市場,公共建設,市場,超級市場,臺中市沙鹿區忠貞路140號,臺中市沙鹿區公明里21鄰忠貞路140號,210042.002,2682087.666,TGOS
瑞友百貨生鮮超市,公共建設,市場,超級市場,臺中市潭子區福潭路368號,臺中市潭子區潭陽里6鄰福潭路368號,220580.913,2678173.196,TGOS
瑞友百貨生鮮超市,公共建設,市場,超級市場,臺中市沙鹿區平等一街90號,臺中市沙鹿區六路里11鄰平等一街90號,206426.249,2679205.29,TGOS
四行倉庫,公共建設,市場,超級市場,臺中市南屯區大墩十一街246號,臺中市南屯區惠中里1鄰大墩十一街246號,214365.187,2671567.731,TGOS
歐超級市場,公共建設,市場,超級市場,臺中市石岡區石岡街115號,臺中市石岡區石岡里2鄰石岡街115號,227118.065,2685629.31,TGOS
陽洋有機生活館昌平店,公共建設,市場,超級市場,臺中市北屯區昌平路二段2-47號,臺中市北屯區松和里8鄰昌平路二段2之47號,218586.567,2674888.852,TGOS
育樂超市,公共建設,市場,超級市場,臺中市東區育英路84號,臺中市東區樂成里3鄰育英路84號,219297.701,2670449.546,TGOS
裕毛屋,公共建設,市場,超級市場,臺中市西區公益路150號,臺中市西區公益里11鄰公益路150號,215434.704,2671806.291,TGOS
永新生鮮超市,公共建設,市場,超級市場,臺中市外埔區甲后路三段999巷10號,臺中市外埔區大同里7鄰甲后路三段999巷10號,214821.886,2691738.324,TGOS
建國市場,公共建設,市場,傳統市場,臺中市東區建成路500號,臺中市東區建成路500號,218967.3629,2669929.316,Google
第一市場,公共建設,市場,傳統市場,臺中市中區綠川西街135號,臺中市中區綠川里24鄰綠川西街135號,217864.75,2670496.526,TGOS
第二市場,公共建設,市場,傳統市場,臺中市中區大墩里三民路二段87號,臺中市中區大墩里三民路二段87號,217386.0033,2670820.913,TGOS
