名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
合作金庫商業銀行中興分行,工商活動,金融機構,臺中市中區公園路5號,臺中市中區繼光里24鄰公園路5號,218019.347,2670702.430,TGOS
合作金庫商業銀行大里分行,工商活動,金融機構,臺中市大里區中興路一段384號,臺中市大里區金城里46鄰中興路一段384號,218681.700,2665199.770,TGOS
合作金庫商業銀行南屯分行,工商活動,金融機構,臺中市南屯區五權西路二段103號,臺中市南屯區大誠里3鄰五權西路二段103號,214601.867,2670553.075,TGOS
合作金庫商業銀行南豐原分行,工商活動,金融機構,臺中市豐原區圓環南路222號,臺中市豐原區西安里3鄰圓環南路222號,220491.053,2682721.168,TGOS
合作金庫商業銀行精武分行,工商活動,金融機構,臺中市東區精武東路170號,臺中市東區東英里1鄰精武東路170號,220473.437,2671565.413,TGOS
合作金庫商業銀行台中分行,工商活動,金融機構,臺中市中區自由路二段2號,臺中市中區公園里1鄰自由路二段2號,217519.456,2670327.956,TGOS
合作金庫商業銀行中清分行,工商活動,金融機構,臺中市北區中清路二段17號,臺中市北區文莊里12鄰中清路一段17號,217178.048,2671946.321,TGOS
合作金庫商業銀行黎明分行,工商活動,金融機構,臺中市南屯區黎明路一段1064號,臺中市南屯區南屯里16鄰黎明路一段1064號,213256.101,2670560.115,TGOS
合作金庫商業銀行東沙鹿分行,工商活動,金融機構,臺中市沙鹿區光華路307號,臺中市沙鹿區鹿寮里21鄰光華路307號,205797.496,2681801.393,TGOS
合作金庫商業銀行豐原分行,工商活動,金融機構,臺中市豐原區中正路102號,臺中市豐原區中正路102號,221648.4364,2682990.655,Google
合作金庫商業銀行五權分行,工商活動,金融機構,臺中市南屯區公益路二段61號,臺中市南屯區大業里21鄰公益路二段61號,214476.317,2671750.189,TGOS
合作金庫商業銀行文心分行,工商活動,金融機構,臺中市南屯區文心路一段316號,臺中市南屯區惠中里8鄰文心路一段316號,214123.247,2671449.072,TGOS
合作金庫商業銀行豐中分行,工商活動,金融機構,臺中市豐原區中正路351號,臺中市豐原區中正路351號,220964.6088,2682840.609,Google
合作金庫商業銀行逢甲分行,工商活動,金融機構,臺中市西屯區西屯路二段252號,臺中市西屯區逢甲里2鄰西屯路二段252號,214161.380,2673972.200,TGOS
合作金庫商業銀行中權分行,工商活動,金融機構,臺中市西區臺灣大道一段728號,臺中市西區和龍里22鄰臺灣大道一段728號,216891.589,2671430.322,TGOS
合作金庫商業銀行西台中分行,工商活動,金融機構,臺中市西屯區漢口路二段151號,臺中市西屯區何德里1鄰漢口路二段151號,215612.342,2673372.856,TGOS
合作金庫商業銀行西屯分行,工商活動,金融機構,臺中市西屯區文心路三段67號,臺中市西屯區何安里27鄰文心路三段67號,214516.696,2673354.697,TGOS
合作金庫商業銀行建成分行,工商活動,金融機構,臺中市南區建成路1499號,臺中市南區國光里24鄰建成路1499號,217423.428,2669122.923,TGOS
合作金庫商業銀行太平分行,工商活動,金融機構,臺中市太平區中興路84號,臺中市太平區中興里11鄰中興路84號,221148.910,2669195.140,TGOS
合作金庫商業銀行新中分行,工商活動,金融機構,臺中市西區民權路91號,臺中市西區民生里7鄰民權路91號,217409.178,2670346.217,TGOS
合作金庫商業銀行后里分行,工商活動,金融機構,臺中市后里區三豐路三段899號,臺中市后里區墩東里2鄰三豐路三段899號,221746.757,2688998.191,TGOS
合作金庫商業銀行東台中分行,工商活動,金融機構,臺中市南區復興路三段380號,臺中市南區長春里2鄰復興路三段380號,217736.704,2669905.518,TGOS
合作金庫商業銀行北大里分行,工商活動,金融機構,臺中市大里區新仁路二段261號,臺中市大里區內新里13鄰新仁路二段261號,218570.399,2667521.580,TGOS
合作金庫商業銀行美村分行,工商活動,金融機構,臺中市南區復興路二段136號,臺中市南區福平里2鄰復興路二段136號,215886.723,2668910.580,TGOS
合作金庫商業銀行永安分行,工商活動,金融機構,臺中市西屯區永褔路15號,臺中市西屯區永褔路15號,211315.0628,2675218.359,Google
合作金庫商業銀行北台中分行,工商活動,金融機構,臺中市北區五權路375號,臺中市北區五常里9鄰五權路375號,217533.916,2671989.821,TGOS
