名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
臺中縣大甲區順帆段588,特殊設施,環境污染,土壤污染,臺中市大甲區順帆段588,,213747,2700323,EPA
臺中市烏日區同安厝段331-3(部分)地號,特殊設施,環境污染,土壤污染,臺中市烏日區同安厝段331-3(部分)地號,,212307,2661109,EPA
臺中市烏日區同安厝段258-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市烏日區同安厝段258-1(部分),,212401,2661126,EPA
臺中市烏日區同安厝段331-5(部分)地號,特殊設施,環境污染,土壤污染,臺中市烏日區同安厝段331-5(部分)地號,,212301,2661088,EPA
臺中市神岡區三角子段53-2地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段53-2地號,,218624,2682047,EPA
臺中市神岡區三角子段53-4(部分)地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段53-4(部分)地號,,218559,2682028,EPA
臺中市神岡區三角子段53-6(部分)地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段53-6(部分)地號,,218606,2682020,EPA
臺中市神岡區三角子段53-7(部分)地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段53-7(部分)地號,,218608,2681950,EPA
臺中市神岡區三角子段53-24(部分)地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段53-24(部分)地號,,218566,2681964,EPA
臺中市神岡區三角子段67-0地號,特殊設施,環境污染,土壤污染,臺中市神岡區三角子段67-0地號,,218823,2682235,EPA
臺中市大里區詹厝園段160-5(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段160-5(部分),,216909,2665141,EPA
臺中市大里區中興段533地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段533地號,,216952,2665267,EPA
大里區中興段531地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段531地號,,216971,2665245,EPA
大里區詹厝園段162(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段162(部分)地號,,216978,2665239,EPA
大里區中興段563地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段563地號,,216906,2665237,EPA
臺中市大里區中興段564地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段564地號,,215775,2665208,EPA
大里區中興段598地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段598地號,,216866,2665200,EPA
大里區中興段697地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段697地號,,216673,2664990,EPA
大里區詹厝園段166(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166(部分)地號,,216675,2664985,EPA
大里區中興段696地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段696地號,,216612,2664993,EPA
大里區中興段701地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段701地號,,216607,2664990,EPA
大里區中興段699地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段699地號,,216620,2664961,EPA
大里區詹厝園段165-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165-1(部分)地號,,216630,2664955,EPA
大里區詹厝園段170-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-1(部分)地號,,216576,2664881,EPA
大里區中興段744地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段744地號,,216566,2664947,EPA
大里區詹厝園段170-3(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-3(部分)地號,,216570,2664881,EPA
大里區中興段746地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段746地號,,216508,2664944,EPA
大里區中興段747地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段747地號,,216505,2664951,EPA
大里區詹厝園段187(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187(部分)地號,,216319,2664876,EPA
大里區詹厝園段174-3地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段174-3地號,,216244,2664901,EPA
大里區詹厝園段187(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187(部分)地號,,216251,2664816,EPA
大里區詹厝園段187-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187-1(部分)地號,,216168,2664845,EPA
大里區詹厝園段190地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段190地號,,216127,2664788,EPA
大里區詹厝園段186地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段186地號,,216064,2664837,EPA
大里區詹厝園段166-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166-2(部分)地號,,216576,2664886,EPA
臺中市大里區詹厝園段171-1(部分)地號-4,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-1(部分)地號-4,,216371,2664902,EPA
臺中市大里區詹厝園段193地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段193地號,,215965,2664845,EPA
大里區詹厝園段165-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165-1(部分)地號,,216630,2664955,EPA
大里區詹厝園段187-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187-1(部分)地號,,216139,2664798,EPA
大里區詹厝園段162-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段162-1(部分)地號,,216937,2665232,EPA
大里區詹厝園段171(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171(部分)地號,,216350,2664894,EPA
大里區詹厝園段187-2,特殊設施,環境污染,土壤污染,大里區詹厝園段187-2,,216224,2664805,EPA
大里區詹厝園段176-63,特殊設施,環境污染,土壤污染,大里區詹厝園段176-63,,216140,2664858,EPA
大里區詹厝園段176-63(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段176-63(部分)地號,,216158,2664863,EPA
大里區中興段698地號 ,特殊設施,環境污染,土壤污染,臺中市大里區中興段698地號,,216673,2664990,EPA
大里區詹厝園段165(部分)地號 ,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165(部分)地號 ,,216630,2664955,EPA
臺中市大里區詹厝園段165-2(部分)地號 ,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165-2(部分)地號 ,,216630,2664955,EPA
大里區詹厝園段165-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165-1(部分)地號,,216576,2664886,EPA
大里區詹厝園段166-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166-2(部分)地號,,216576,2664886,EPA
大里區詹厝園段165-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165-2(部分)地號,,216576,2664886,EPA
大里區詹厝園段156-6(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段156-6(部分)地號,,216576,2664886,EPA
大里區詹厝園段155(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段155(部分)地號,,216576,2664886,EPA
大里區詹厝園段155-6(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段155-6(部分)地號,,216576,2664886,EPA
大里區詹厝園段155-1(部分),特殊設施,環境污染,土壤污染,大里區詹厝園段155-1(部分),,216576,2664886,EPA
大里區中興段700地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段700地號,,216620,2664961,EPA
大里區詹厝園段165(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段165(部分)地號,,216620,2664961,EPA
大里區詹厝園段170-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-1(部分)地號,,216576,2664886,EPA
大里區詹厝園段170-3(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-3(部分)地號,,216576,2664886,EPA
大里區詹厝園段169(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段169(部分)地號,,216576,2664886,EPA
大里區詹厝園段166(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166(部分)地號,,216576,2664886,EPA
臺中市北屯區松茂段685地號,特殊設施,環境污染,土壤污染,臺中市北屯區松茂段685地號,,219292,2675963,EPA
臺中市南屯區寶山段1017地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1017地號,,210589,2672511,EPA
臺中市南屯區寶山段1003地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1003地號,,210482,2672325,EPA
臺中市南屯區寶山段1004地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1004地號,,210519,2672360,EPA
臺中市南屯區寶山段1005地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1005地號,,210574,2672383,EPA
臺中市南屯區寶山段1012地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1012地號,,210663,2672395,EPA
臺中市南屯區寶山段1014地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1014地號,,210622,2672454,EPA
臺中市南屯區寶山段1150地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1150地號,,210830,2672684,EPA
臺中市南屯區寶山段1155地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1155地號,,210715,2672728,EPA
臺中市南屯區寶山段1158地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1158地號 ,,210658,2672751,EPA
臺中市南屯區寶山段1164地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1164地號,,210604,2672729,EPA
臺中市南屯區寶山段1182地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1182地號,,210584,2672607,EPA
臺中市南屯區寶山段1189地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1189地號 ,,210564,2672568,EPA
臺中市南屯區寶山段1203地號,特殊設施,環境污染,土壤污染,臺中市南屯區寶山段1203地號,,210446,2672393,EPA
臺中市北屯區松茂段684地號,特殊設施,環境污染,土壤污染,臺中市北屯區松茂段684地號,,219273,2675989,EPA
神岡區前寮段241(部份),特殊設施,環境污染,土壤污染,神岡區前寮段241(部份),,220052,2683849,EPA
神岡區前寮段234(部份),特殊設施,環境污染,土壤污染,神岡區前寮段234(部份),,220056,2683899,EPA
神岡區前寮段88(部份),特殊設施,環境污染,土壤污染,神岡區前寮段88(部份),,220124,2683893,EPA
神岡區前寮段259(部份),特殊設施,環境污染,土壤污染,神岡區前寮段259(部份),,220107,2683877,EPA
神岡區前寮段259-1(部份),特殊設施,環境污染,土壤污染,神岡區前寮段259-1(部份),,220104,2683872,EPA
神岡區前寮段234(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段234(部份之2),,220077,2683871,EPA
神岡區前寮段241(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段241(部份之2),,220067,2683852,EPA
神岡區前寮段242(部份),特殊設施,環境污染,土壤污染,神岡區前寮段242(部份),,220067,2683849,EPA
神岡區前寮段259(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段259(部份之2),,220107,2683893,EPA
神岡區前寮段260(部份),特殊設施,環境污染,土壤污染,神岡區前寮段260(部份),,220101,2683895,EPA
神岡區前寮段88(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段88(部份之2),,220124,2683890,EPA
神岡區前寮段259-1(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段259-1(部份之2),,220077,2683879,EPA
神岡區前寮段258(部份之2),特殊設施,環境污染,土壤污染,神岡區前寮段258(部份之2),,220110,2683881,EPA
神岡區前寮段258(部份),特殊設施,環境污染,土壤污染,神岡區前寮段258(部份),,220078,2683886,EPA
臺中市大里區詹厝園段170-5(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-5(部分)地號,,216472,2664894,EPA
大里區詹厝園段131-1(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段131-1(部分)地號,,216472,2664873,EPA
大里區詹厝園段131-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段131-2(部分)地號,,216493,2664866,EPA
大里區詹厝園段131-4(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段131-4(部分)地號,,216497,2664857,EPA
大里區詹厝園段166-2(部分之2)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166-2(部分)地號,,216511,2664896,EPA
臺中市大里區詹厝園段170-5(部分)地號-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-5(部分)地號-2,,215607,2664940,EPA
大里區詹厝園段192(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段192(部分)地號,,215966,2664720,EPA
大里區詹厝園段201(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段201(部分)地號,,216003,2664751,EPA
大里區詹厝園段201-6(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段201-6(部分)地號,,215916,2664834,EPA
大里區詹厝園段185-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-2(部分)地號,,216157,2664861,EPA
大里區詹厝園段173(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段173(部分)地號,,216316,2664907,EPA
大里區詹厝園段171-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-2(部分)地號,,216385,2664914,EPA
大里區詹厝園段171-9(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-9(部分)地號,,216366,2664911,EPA
大里區詹厝園段160-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段160-2(部分)地號,,216906,2665203,EPA
大里區詹厝園段160-3(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段160-3(部分)地號,,216913,2665205,EPA
大里區詹厝園段190(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段190(部分)地號,,216135,2664783,EPA
大里區詹厝園段187-2(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187-2(部分)地號,,216244,2664812,EPA
大里區詹厝園段185-2(部分)地號之2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-2(部分)地號之2,,216194,2664774,EPA
大里區詹厝園段187-2(部分)地號之2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段187-2(部分)地號之2,,216191,2664800,EPA
大里區詹厝園段189(部分)地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段189(部分)地號,,216157,2664784,EPA
大里區詹厝園段190(部分)地號之2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段190(部分)地號之2,,216139,2664826,EPA
臺中市大里區詹厝園段166-1(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段166-1(部分),,216563,2664912,EPA
臺中市大里區詹厝園段170-1(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-1(部分),,216493,2664902,EPA
臺中市大里區詹厝園段171-1(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-1(部分),,216457,2664923,EPA
臺中市大里區詹厝園段171-1(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-1(部分)-2,,216435,2664915,EPA
臺中市大里區詹厝園段170-5(部分)-3,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段170-5(部分)-3,,216431,2664932,EPA
臺中市大里區詹厝園段171-2(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-2(部分)-2,,216403,2664910,EPA
臺中市大里區詹厝園段171-1(部分)-3,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-1(部分)-3,,216422,2664910,EPA
臺中市大里區詹厝園段171-9(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-9(部分)-2,,216385,2664907,EPA
臺中市大里區詹厝園段185-3(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-3(部分),,216421,2664894,EPA
臺中市大里區詹厝園段130-1(部分),特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段130-1(部分),,216424,2664880,EPA
臺中市大里區詹厝園段171(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171(部分)-2,,216383,2664889,EPA
臺中市大里區詹厝園段171-9(部分)-3,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-9(部分)-3,,216394,2664889,EPA
臺中市大里區詹厝園段185-3(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-3(部分)-2,,216401,2664888,EPA
臺中市大里區詹厝園段131-1(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段131-1(部分)-2,,216435,2664884,EPA
臺中市大里區詹厝園段131-2(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段131-2(部分)-2,,216434,2664879,EPA
臺中市大里區詹厝園段171(部分)-3,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171(部分)-3,,216330,2664897,EPA
臺中市大里區詹厝園段185-3(部分)-3,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-3(部分)-3,,216312,2664886,EPA
臺中市大里區詹厝園段171-9(部分)-4,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段171-9(部分)-4,,216361,2664909,EPA
臺中市大里區詹厝園段173(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段173(部分)-2,,216271,2664890,EPA
臺中市大里區詹厝園段185-3(部分)-4,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段185-3(部分)-4,,216300,2664886,EPA
大里區詹厝園段241-12地號,特殊設施,環境污染,土壤污染,大里區詹厝園段241-12地號,,215892,2664607,EPA
臺中市霧峰區吳厝段43-86地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-86地號,,215917,2664324,EPA
臺中市大里區中興段447地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段447地號,,217206,2665470,EPA
臺中市大里區中興段448地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段448地號,,217192,2665484,EPA
臺中市大里區中興段449地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段449地號,,217181,2665497,EPA
臺中市大里區中興段470地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段470地號,,217142,2665461,EPA
臺中市大里區中興段471地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段471地號,,217153,2665448,EPA
臺中市大里區中興段472地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段472地號,,217197,2665434,EPA
臺中市大里區中興段473地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段473地號,,217128,2665397,EPA
臺中市大里區中興段474地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段474地號,,217113,2665411,EPA
臺中市大里區中興段475地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段475地號,,217102,2665424,EPA
臺中市大里區中興段498地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段498地號,,217061,2665388,EPA
臺中市大里區中興段499地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段499地號,,217074,2665375,EPA
臺中市大里區中興段500地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段500地號,,217090,2665359,EPA
臺中市大里區中興段501地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段501地號,,217101,2665346,EPA
臺中市大里區中興段503地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段503地號,,217050,2665322,EPA
臺中市大里區中興段504地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段504地號,,217036,2665336,EPA
臺中市大里區中興段505地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段505地號,,217024,2665350,EPA
臺中市大里區中興段529地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段529地號,,216998,2665300,EPA
臺中市大里區中興段530地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段530地號,,217010,2665286,EPA
臺中市大里區中興段602地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段602地號,,216735,2665184,EPA
臺中市大里區中興段743地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段743地號,,216555,2664983,EPA
臺中市大里區中興段468地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段468地號,,217102,2665502,EPA
臺中市大里區中興段492地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段492地號,,216968,2665489,EPA
臺中市大里區中興段526地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段526地號,,216944,2665355,EPA
臺中市大里區中興段527地號,特殊設施,環境污染,土壤污染,臺中市大里區中興段527地號,,216958,2665342,EPA
臺中市大里區大突寮段306地號,特殊設施,環境污染,土壤污染,臺中市大里區大突寮段306地號,,217516,2664884,EPA
臺中市大里區大突寮段304-1地號,特殊設施,環境污染,土壤污染,臺中市大里區大突寮段304-1地號,,217566,2664875,EPA
臺中市大里區大突寮段348地號,特殊設施,環境污染,土壤污染,臺中市大里區大突寮段348地號,,217517,2664850,EPA
臺中市大里區大突寮段(國有地-無地號),特殊設施,環境污染,土壤污染,臺中市大里區大突寮段(國有地-無地號),,217516,2664884,EPA
臺中市霧峰區吳厝段43-85地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-85地號,,215926,2664337,EPA
臺中市霧峰區吳厝段43-132地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-132地號,,215885,2664297,EPA
臺中市霧峰區吳厝段43-157地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-157地號,,215907,2664294,EPA
臺中市霧峰區吳厝段43-38地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-38地號,,215967,2664329,EPA
臺中市霧峰區吳厝段43-54地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-54地號,,215972,2664304,EPA
臺中市霧峰區吳厝段43-155地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-155地號,,216011,2664284,EPA
臺中市霧峰區吳厝段43-156地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-156地號,,215930,2664293,EPA
臺中市霧峰區吳厝段43-57地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-57地號,,215737,2664430,EPA
臺中市霧峰區吳厝段43-81地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-81地號,,215596,2664536,EPA
臺中市霧峰區吳厝段43-71地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-71地號,,215547,2664504,EPA
臺中市霧峰區吳厝段43-72地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-72地號,,215529,2664544,EPA
臺中市霧峰區吳厝段43-209地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-209地號,,215438,2664510,EPA
臺中市霧峰區吳厝段43-210地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-210地號,,215459,2664545,EPA
臺中市霧峰區吳厝段43-32地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-32地號,,215702,2664534,EPA
臺中市霧峰區吳厝段43-34地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-34地號,,215793,2664483,EPA
臺中市霧峰區吳厝段43-36地號,特殊設施,環境污染,土壤污染,臺中市霧峰區吳厝段43-36地號,,215753,2664438,EPA
臺中市大里區詹厝園段6(部分) ,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段6(部分) ,,217081,2665164,EPA
大里區詹厝園段7(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段7(部分)地號,,217040,2665196,EPA
大里區詹厝園段28(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段28(部分)地號,,216862,2664747,EPA
大里區詹厝園30-3(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園30-3(部分)地號,,216783,2664630,EPA
大里區詹厝園段42(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段42(部分)地號,,216925,2664626,EPA
大里區詹厝園段87(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段87(部分)地號,,216655,2664483,EPA
大里區詹厝園段88(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段88(部分)地號,,216635,2664452,EPA
大里區詹厝園段93地號,特殊設施,環境污染,土壤污染,大里區詹厝園段93地號,,216584,2664509,EPA
大里區詹厝園段98(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段98(部分)地號,,216520,2664513,EPA
大里區詹厝園段116-5(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段116-5(部分)地號,,216512,2664491,EPA
大里區詹厝園段117-1地號(部分)地號-22,特殊設施,環境污染,土壤污染,大里區詹厝園段117-1地號(部分)地號-22,,216513,2664516,EPA
大里區詹厝園段117-1地號(部分)地號-23,特殊設施,環境污染,土壤污染,大里區詹厝園段117-1地號(部分)地號-23,,216488,2664487,EPA
大里區詹厝園段118地號(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段118地號(部分)地號,,216484,2664626,EPA
大里區詹厝園段131(部分)地號-1,特殊設施,環境污染,土壤污染,大里區詹厝園段131(部分)地號-1,,216502,2664808,EPA
大里區詹厝園段131(部分)地號-2,特殊設施,環境污染,土壤污染,大里區詹厝園段131(部分)地號-2,,216407,2664795,EPA
大里區詹厝園段131-3(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段131-3(部分)地號,,216488,2664831,EPA
臺中市大里區詹厝園段134-3(部分)地號-1,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段134-3(部分)地號-1,,216560,2664745,EPA
大里區詹厝園段135(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段135(部分)地號,,216601,2664711,EPA
大里區詹厝園段137-2(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段137-2(部分)地號,,216666,2664730,EPA
臺中市大里區詹厝園段140(部分)地號-1,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段140(部分)地號-1,,216795,2664779,EPA
臺中市大里區詹厝園段140(部分)-2,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段140(部分)-2,,216823,2664785,EPA
臺中市大里區詹厝園段172-11地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段172-11地號,,216136,2665137,EPA
臺中市大里區詹厝園段172-13地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段172-13地號,,216214,2665098,EPA
臺中市大里區詹厝園段176地號,特殊設施,環境污染,土壤污染,臺中市大里區詹厝園段176地號,,215914,2665124,EPA
大里區詹厝園段176-1(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-1(部分)地號,,215566,2665238,EPA
大里區詹厝園段176-2(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-2(部分)地號,,216154,2665046,EPA
大里區詹厝園段176-109(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-109(部分)地號,,215679,2665278,EPA
大里區詹厝園段176-16(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-16(部分)地號,,216059,2665016,EPA
大里區詹厝園段176-17(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-17(部分)地號,,215993,2665033,EPA
大里區詹厝園段176-18(部分)地號-1,特殊設施,環境污染,土壤污染,大里區詹厝園段176-18(部分)地號-1,,215922,2665109,EPA
大里區詹厝園段176-18(部分)地號-2,特殊設施,環境污染,土壤污染,大里區詹厝園段176-18(部分)地號-2,,215945,2665096,EPA
大里區詹厝園段176-19(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-19(部分)地號,,215747,2665064,EPA
大里區詹厝園段176-20(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-20(部分)地號,,215737,2665114,EPA
大里區詹厝園段176-21(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-21(部分)地號,,215659,2665066,EPA
大里區詹厝園段176-22(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-22(部分)地號,,215666,2665046,EPA
大里區詹厝園段176-27(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-27(部分)地號,,215698,2665144,EPA
大里區詹厝園段176-28(部分)地號,特殊設施,環境污染,土壤污染,大里區詹厝園段176-28(部分)地號,,215719,2665175,EPA
