名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
昱陞工程行,特殊設施,環境污染,一般廢棄物,臺中市沙鹿區沙田路近鄰光華路,臺中市沙鹿區沙田路與光華路交叉口,205172.8824,2680342.306,Google
基業營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區五光路1058巷底,臺中市烏日區五光路1058巷底,212305.9595,2666567.601,Google
盛傑營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區松竹段8地號,臺中市北屯區松竹段8地號,218816.842,2675218.099,NLSC
香港特區燒腊店,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段196之11號,臺中市北屯區水景里21鄰東山路一段196之11號,220740.554,2674138.68,TGOS
宥林工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市后里區星科路,找不到指定的門牌地址。,,,Google
賓瑋興業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市南區福田三街322號,臺中市南區樹義里35鄰福田三街322號,214668.937,2667372.466,TGOS
潤都餐館,特殊設施,環境污染,一般廢棄物,臺中市大里區德芳南路316號1樓,臺中市大里區長榮里32鄰德芳南路316號,218056.23,2666485.009,TGOS
協誠營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區台灣大道六段與中興路交叉口,臺中市龍井區台灣大道六段與中興路交叉口,207302.7346,2676174.774,Google
味榮食品工業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區西勢路701號旁,臺中市豐原區三村里14鄰西勢路701號,219634.84,2680997.89,TGOS
小莫企業社,特殊設施,環境污染,一般廢棄物,臺中市北屯區74快速道路,找不到指定的門牌地址。,,,TGOS
杰能科技有限公司,特殊設施,環境污染,一般廢棄物,臺中市大甲區長壽路10之8號,臺中市大甲區銅安里9鄰長壽路10之8號,213562.87,2701451.202,TGOS
百翔通運有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區港埠路三段北上路段(橋墩P168號附近),臺中市清水區槺榔里8鄰港埠路三段202號,203655.178,2684540.384,TGOS
滷爐小吃部,特殊設施,環境污染,一般廢棄物,臺中市西屯區國安一路,找不到指定的門牌地址。,,,Google
晨祥營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區栗林段917地號,臺中市潭子區栗林段917地號,220470.731,2681103.118,NLSC
中天快遞有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區崇美路人行道,找不到指定的門牌地址。,,,TGOS
建埕營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區三村路合作新村內,臺中市豐原區三村路合作新村,220772.4011,2682107.391,Google
寶毅機械有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區嘉豐路106號,臺中市潭子區嘉仁里6鄰嘉豐路106號,221041.127,2679458.075,TGOS
高邦營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區港口路200巷,找不到指定的門牌地址。,,,Google
翰威企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市梧棲區南簡段636之0004地號,臺中市梧棲區南簡段636之0004地號,204317.152,2683734.187,NLSC
尚紘精密有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區台74線快速道路(往霧峰14.9至15公里處)附近,找不到指定的門牌地址。,,,TGOS
鼎旺營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市東區樂業路與泉源街口工地,臺中市東區樂業路與泉源街交叉口,218969.0315,2670428.462,Google
根基營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區松昌段612之2地號,臺中市北屯區松昌段612之2地號,218128.509,2674766.764,NLSC
長信運輸有限公司,特殊設施,環境污染,一般廢棄物,臺中市大肚區沙田路二段道路,找不到指定的門牌地址。,,,Google
偉詮企業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市太平區中山路一段7號附近,臺中市太平區東和里4鄰中山路一段7號,222816.92,2670031.99,TGOS
托福多輪胎有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區三豐路二段20巷,找不到指定的門牌地址。,,,Google
夢想通運有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區龍津段877之1地號,臺中市龍井區龍津段877之1地號,200166.305,2677995.15,NLSC
昕隆企業社,特殊設施,環境污染,一般廢棄物,臺中市南屯區新鎮和路埔興橋旁,臺中市南屯區新鎮和路埔興橋,211554.3931,2668523.023,Google
寶中工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區民生路一段道路,找不到指定的門牌地址。,,,Google
三景科技興業有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區中清路二段與環中路一段附近,臺中市西屯區中清路二段與環中路一段交叉口,215031.739,2677183.638,Google
興鋓工業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區新興路與鎮北街附近,臺中市清水區新興路與鎮北街交叉口,207016.8851,2684800.66,Google
聯美汽車行,特殊設施,環境污染,一般廢棄物,臺中市北屯區瀋陽路三段196號附近,臺中市北屯區平心里1鄰瀋陽路三段196號,218601.253,2674174.623,TGOS
中部交通事業有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區逢甲路16號附近,臺中市西屯區西平里25鄰逢甲路16之1號,214022.448,2674893.524,TGOS
廣藝工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市南區復興路一段297之1號,臺中市南區樹義里10鄰復興路一段297之1號,214738.766,2667658.504,TGOS
中豐交通有限公司,特殊設施,環境污染,一般廢棄物,臺中市北區健行路449號附近,臺中市北區育德里6鄰健行路449之1號,217433.208,2672664.018,TGOS
愛旺租車股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段189之19號附近,臺中市北屯區水景里5鄰東山路一段189之1號,220382.571,2673965.7,TGOS
東誠交通事業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市太平區宜昌路612號附近,臺中市太平區宜昌里13鄰宜昌路612號,221137.42,2671498.49,TGOS
天君實業有限公司,特殊設施,環境污染,一般廢棄物,臺中市沙鹿區光華路275號附近,臺中市沙鹿區居仁里16鄰光華路275號,205768.318,2681551.305,TGOS
喜悅便當社,特殊設施,環境污染,一般廢棄物,臺中市外埔區甲后路三段與三環路附近,臺中市外埔區甲后路三段與三環路交叉口,216289.7553,2690464.569,Google
輝豪工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市南屯區向上路五段與嶺東路附近,臺中市南屯區向上路五段與嶺東路交叉口,210595.5555,2671742.022,Google
晉順工業有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區中彰快速道路(1B牛埔出口)附近,找不到指定的門牌地址。,,,TGOS
大豐泡棉股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西區英才路581號附近,臺中市西區安龍里4鄰英才路581號,216001.519,2670984.956,TGOS
信利交通事業有限公司,特殊設施,環境污染,一般廢棄物,臺中市西區五權西路一段126號附近,臺中市西區土庫里30鄰五權西路一段126號,215519.793,2670604.978,TGOS
磊積環保有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區公益路二段與龍德路二段附近,臺中市西屯區公益路二段與龍德路二段交叉口,211846.6707,2671918.603,Google
禾裕資源回收有限公司,特殊設施,環境污染,一般廢棄物,臺中市大里區新明路7號,臺中市大里區內新里31鄰新明路7號,218562.7,2667038.549,TGOS
