名稱,分類,定位地址,回報地址,X坐標,Y座標,來源
統聯客運媽祖廟下客站,大型車站,臺中市豐原區中正路201號,臺中市豐原區中山里19鄰中正路201號,221394.06,2682927.862,TGOS
統聯客運中青同榮路口下客站,大型車站,臺中市西屯區中清路15之-31號,臺中市西屯區港尾里7鄰中清路三段15號,214956.624,2677243.918,TGOS
統聯客運臺中車站下客站,大型車站,臺中市東區新民街88號,臺中市東區干城里12鄰新民街88號,218145.85,2670369.148,TGOS
統聯客運曉明女中下客站,大型車站,臺中市北區中清路一段549號,臺中市北區長青里23鄰中清路一段549號,216731.389,2673692.314,TGOS
統聯客運中清健行路口下客站,大型車站,臺中市北區中清路一段281號,臺中市北區健行里35鄰中清路一段281號,217005.258,2672760.868,TGOS
統聯客運民權路口下客站,大型車站,臺中市西區民權路231號,臺中市西區後龍里6鄰民權路231號,216420.81,2671602.151,TGOS
統聯客運圓環西路下客站,大型車站,臺中市豐原區中正路543號,臺中市豐原區西安里3鄰中正路543號,220530.685,2682774.081,TGOS
統聯客運岸裡國小下客站,大型車站,臺中市神岡區中山路33號,臺中市神岡區岸裡里3鄰中山路33號,219369.07,2682590.944,TGOS
統聯客運忠勤新村下客站,大型車站,臺中市豐原區中正路683號,臺中市豐原區中正路683號,220120.3421,2682716.694,Google
統聯客運麗寶樂園下客站,大型車站,臺中市后里區福容路8號,臺中市后里區月眉里11鄰福容路8號,219083.045,2690848.126,TGOS
統聯客運復興南平路口下客站,大型車站,臺中市復興路二段34之7號,臺中市南區和平里5鄰復興路二段34之7號,215433.26,2668273.549,TGOS
統聯客運台中州廳下客站,大型車站,臺中市民權路99之1號,臺中市西區利民里15鄰民權路99號,217273.238,2670385.686,TGOS
統聯客運台中教育大學下客站,大型車站,臺中市北區民權路224號,臺中市北區中正里1鄰民權路224號,216684.546,2671106.987,TGOS
臺中公車轉運站/豐原東站,大型車站,臺中市豐原區東仁街18號,臺中市豐原區豐原里12鄰東仁街36號,222062.916,2683360.015,TGOS
臺中客運烏日站,大型車站,臺中市烏日區站區二路8號,臺中市烏日區三和里3鄰站區二路8號,210942.959,2667435.731,TGOS
臺中客運東海站,大型車站,臺中市龍井區遊園南路129號,臺中市龍井區新東里19鄰遊園南路129號,207892.75,2675441.339,TGOS
臺中客運沙鹿站,大型車站,臺中市沙鹿區信義路,臺中市沙鹿區信義路,211499.2678,2681742.598,TGOS
臺中客運經貿站,大型車站,臺中市西屯區東大路一段1381號,臺中市西屯區東大路一段1381號,210509.0679,2678381.133,Google
臺中客運省議會站,大型車站,臺中市霧峰區柳豐路315號,臺中市霧峰區南柳里7鄰柳豐路315號,217729.272,2660950.413,TGOS
臺中客運省議會新站,大型車站,臺中市霧峰區霧峰交流道,臺中市霧峰區霧峰交流道,217861.5385,2660910.857,Google
臺中客運高鐵服務站,大型車站,臺中市烏日區站區二路8號,臺中市烏日區三和里3鄰站區二路8號,210942.959,2667435.731,TGOS
臺中客運朝馬站,大型車站,臺中市西屯區臺灣大道三段703號,臺中市西屯區潮洋里11鄰臺灣大道三段703號,212925.011,2674078.163,TGOS
臺中客運臺中車站,大型車站,臺中市東區新民街88號,臺中市東區干城里12鄰新民街88號,218145.85,2670369.148,TGOS
臺中客運霧峰站,大型車站,臺中市霧峰區,臺中市霧峰區,217776.2138,2660755.03,Google
臺中國際機場,站牌,,,209281.0958,2683153.755,Opendata
新烏日火車站,站牌,,,210801.5482,2667115.281,Opendata
永春東七路,站牌,,,212767.2799,2671066.461,Opendata
黎明路,站牌,,,213265.9991,2670807.104,Opendata
文心路一段,站牌,,,214198.394,2670563.242,Opendata
東興路二段,站牌,,,214790.3415,2670577.715,Opendata
忠明南路,站牌,,,215266.8689,2670586.304,Opendata
美術館,站牌,,,215765.7314,2670589.433,Opendata
美術館,站牌,,,215803.8917,2670588.257,Opendata
忠明南路,站牌,,,215260.8911,2670593.909,Opendata
東興路二段,站牌,,,214781.0941,2670586.413,Opendata
文心路一段,站牌,,,214203.457,2670596.233,Opendata
黎明路,站牌,,,213272.533,2670802.749,Opendata
永春東七路,站牌,,,212778.2074,2671075.107,Opendata
新烏日火車站,站牌,,,210801.5482,2667115.281,Opendata
臺中國際機場,站牌,,,209281.0958,2683153.755,Opendata
靜宜大學,站牌,,,207012.3425,2680091.406,Opendata
晉江寮,站牌,,,207251.1573,2679660.92,Opendata
弘光科技大學,站牌,,,207379.3256,2679149.851,Opendata
正英路,站牌,,,207469.5037,2678330.339,Opendata
