"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"11","D01BA0018","臺南市東區仁和段381-15地號","183000","78","長方形4.0:19.5","「住五」住宅區","60","210","臺南市東區仁和路87之2號","透天吳家紅茶冰","0.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.23214110317095,22.97297134647577],[120.2321227667714,22.97300327965238],[120.23229105763257,22.973079779530508],[120.23230819359514,22.973046963688486],[120.23214110317095,22.97297134647577]]]}"
"12","D01BA0019","臺南市東區新後甲段1809地號","206000","82.24","長方形4.4:18.7","「住五」住宅區","60","210","臺南市東區裕農路615號","透天阿吉鱔魚專家","1.34","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.23527886276442,22.988684344704662],[120.23527035200229,22.988853384846795],[120.23531258662146,22.988858248259874],[120.23532124079934,22.988686246905203],[120.23527886276442,22.988684344704662]]]}"
"13","D01BA0020","臺南市東區光明段597-90地號","188000","80","長方形4.5:17.8","「住五」住宅區","60","210","臺南市東區怡東路159號","透天百瀚外語補習班","2.13","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22828590501221,22.994256880969846],[120.22811772293045,22.99427979198261],[120.22812411833254,22.99431963896976],[120.22829502135079,22.994296635553034],[120.22828590501221,22.994256880969846]]]}"
"14","D01BA0021","臺南市東區竹篙厝段1405地號","207000","147","長方形5.3:28.0","「住五」住宅區","60","210","臺南市東區中華東路三段92號","透天信義房屋","0.44","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22763238117815,22.979306132204755],[120.22742134738183,22.97946570553431],[120.22744829712366,22.979496456450125],[120.2274539035372,22.979502718217336],[120.2276650482883,22.979343188731164],[120.22763238117815,22.979306132204755]]]}"
"15","D01BA0022","臺南市東區育樂段98地號","212000","79","長方形5.0:15.8","「住五(附)」住宅區","60","210","臺南市東區大學路西段25號","透天皇平麵店","1.74","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21749022780398,22.996153682147852],[120.2174450961686,22.99616024806532],[120.21744393153787,22.99616041749681],[120.2174581158442,22.996303412299145],[120.21750600779352,22.996295852249574],[120.21749022780398,22.996153682147852]]]}"
"16","D01BA0023","臺南市東區竹篙厝段1935-25地號","201000","93","長方形4.5:20.7","「住五」住宅區","60","210","臺南市東區崇明路259號","透天文雄眼鏡行","0.45","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22104320605438,22.976696520376446],[120.22101594822283,22.976726673643988],[120.22116951372095,22.976848063319093],[120.2212009364272,22.976820033617226],[120.22104320605438,22.976696520376446]]]}"
"17","D01BA0024","臺南市東區新東段1088-30地號","257000","83","長方形4.0:20.6","「住五(附)」住宅區","60","210","臺南市東區東寧路256號","透天得恩堂眼鏡行","2.17","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22559180880656,22.99051489665091],[120.22555612543105,22.99052648222499],[120.22562185891898,22.99070062888146],[120.22565758667514,22.990689477861803],[120.22559180880656,22.99051489665091]]]}"
"18","D01BA0025","臺南市東區育樂段6031-8地號","263000","77","長方形4.2:18.3","「住五」住宅區","60","210","臺南市東區北門路一段302號","透天勝美美容美髮材料行","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21217511939034,22.99593689400424],[120.21210505745805,22.99595033818562],[120.21210505953772,22.99594981173856],[120.21200468951528,22.995968546689543],[120.21201220618985,22.996006149479935],[120.21210423433214,22.995989481572515],[120.21210422975217,22.99599027078432],[120.21218214612766,22.995976571284274],[120.21217511939034,22.99593689400424]]]}"
"19","D01BB0005","臺南市東區育樂段1583地號","299000","64","長方形4.5:14.2","「商四」商業區","80","320","臺南市東區北門路一段96號","透天電腦伊甸園","0.51","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21184425136572,22.991768687222496],[120.21170480071993,22.991776613604028],[120.21170728526859,22.991816890494228],[120.21184953930613,22.991808772170323],[120.21184425136572,22.991768687222496]]]}"
"20","D01BB0011","臺南市東區東安段978-3地號","214000","129","長方形4.7:27.4","商四(1)中心商業區","80","320","臺南市東區東門路二段33號","透天住商不動產","0.86","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21966364936183,22.986482675250627],[120.2196195910277,22.986496363830042],[120.2197446390464,22.98672971680168],[120.21978164931204,22.98671337564076],[120.21966364936183,22.986482675250627]]]}"
"21","D01BB0012","臺南市東區東寧段602-5地號","212000","87","長方形4.9:18.3","商四(1)中心商業區","80","320","臺南市東區長榮路二段160號","透天長興牙醫","1.01","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22022259231754,22.989455611635883],[120.2200813440048,22.98955233833622],[120.22010555594275,22.989582447591282],[120.220109099291,22.98958246774158],[120.22011075109609,22.989584413745234],[120.22011295962056,22.989582489452076],[120.22011650979607,22.98958250963585],[120.22025165937484,22.98949000429196],[120.22022759766244,22.98946158714753],[120.22022259231754,22.989455611635883]]]}"
"22","D01BB0026","臺南市東區東光段1009地號","325000","26202.22","長方形200.2:130.9","商三(65-1)副都心商業區","80","280","中華東路一段366號","透天南紡購物中心","1.03","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2335714999148,22.989728599230084],[120.23229377669423,22.989850154301763],[120.23250922246305,22.991646993955648],[120.23279704348316,22.99161961783521],[120.23377155310423,22.99152690726248],[120.2337271641428,22.991131035166013],[120.2335714999148,22.989728599230084]]]}"
"23","D01BD0027","臺南市東區竹篙厝段2293-1地號、竹篙厝段2293-2地號","118000","383","長方形13.0:30.0","甲種工業區","70","210","臺南市東區中華東路三段95號","透天櫻花廚藝","0.78","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22795644402396,22.9788177900057],[120.22773063385274,22.9789887032531],[120.2277577575039,22.979019567842247],[120.22797500393919,22.978853774499868],[120.22798283411299,22.978847826528106],[120.22795644402396,22.9788177900057]]]}"
"24","D01BF0028","臺南市東區竹篙厝段4130地號","20200","11761","梯形92.0:128.0","農業區","0","0"," ","素地","1.52","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21888442162442,22.970659885798366],[120.21885920934346,22.97171766005057],[120.21975331191706,22.97190396873261],[120.21978180792293,22.970664354200572],[120.21888442162442,22.970659885798366]]]}"
"25","D02BA0001","臺南市南區鹽埕段2164-2地號","128000","112","長方形5.0:22.4","「住二」住宅區","60","150","臺南市南區夏林路76號","透天RECORDS路口牛肉麵店","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1945986754035,22.982913826911645],[120.19459679322945,22.98295821850464],[120.19481435752682,22.98296421838227],[120.19481606504411,22.982919663355297],[120.1945986754035,22.982913826911645]]]}"
"26","D02BA0002","臺南市南區新興段209-35地號","150000","109","長方形4.8:22.9","「住五-1」住宅區","60","200","臺南市南區金華路二段205號","透天皇家御櫃","1.02","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19145884781888,22.98230804233231],[120.1912301892554,22.98232278667097],[120.19123080545609,22.982330682146888],[120.19123346125075,22.982364585767964],[120.19146211072298,22.982349742048513],[120.19145884781888,22.98230804233231]]]}"
"27","D02BA0003","臺南市南區公英段103地號","153000","88","長方形5.0:17.6","「住六」住宅區","60","220","臺南市南區大同路二段344號","透天巧味鹽酥雞大王","0.4","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21375261903813,22.975836780549542],[120.21374010145337,22.975877269338348],[120.21375548616055,22.97588096855205],[120.21383875120704,22.975903444039616],[120.21392216937141,22.975925418165843],[120.21393138907148,22.975884003669695],[120.21375261903813,22.975836780549542]]]}"
"28","D02BA0006","臺南市南區中和段1410地號","60200","73","長方形4.9:14.9","「住三」住宅區","60","165","臺南市南區灣裡路346號","透天波波洗衣店","1.02","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18210401654947,22.925476086101124],[120.1820956198876,22.92551066454594],[120.18225536702755,22.925547716400605],[120.1822805398507,22.925510163113024],[120.18220661473143,22.925498675272305],[120.18210401654947,22.925476086101124]]]}"
"29","D02BA0008","臺南市南區鹽埕段93-112地號","146000","96","長方形5.0:19.2","「住六」住宅區","60","220","臺南市南區健康路二段49號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19628689873473,22.98120557750612],[120.19623933693057,22.981206368448667],[120.19623962151327,22.98138676040883],[120.1962873533732,22.981386085012797],[120.19628689873473,22.98120557750612]]]}"
"30","D02BA0009","臺南市南區大忠段387地號","92600","83.09","長方形4.3:19.3","「住四」住宅區","60","180","臺南市南區國民路132號","透天慶仁中醫診所","0.33","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21264708107942,22.967484341104345],[120.2126447233025,22.967655722150532],[120.21266899714468,22.967657197211683],[120.21268682912563,22.967659633602075],[120.21268959783288,22.96748464252381],[120.21264708107942,22.967484341104345]]]}"
"31","D02BA0010","臺南市南區桶盤淺段375-2地號","87100","84","長方形4.3:19.6","「住二」住宅區","60","150","臺南市南區永成路三段115號","透天住家用","0.35","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19534432193625,22.96541264393048],[120.19524864406824,22.96541220173507],[120.19515190030543,22.965412752806653],[120.1951516650804,22.96545133835643],[120.19524822356334,22.965450626511625],[120.19534386295716,22.965451477578593],[120.19534432193625,22.96541264393048]]]}"
"32","D02BA0011","臺南市南區鹽埕段289-56地號","115000","100","長方形4.3:23.3","「住五-1」住宅區","60","200","臺南市南區新興路388號","透天夾寶夾物店","1.06","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1889281805475,22.975280617128913],[120.18892545415945,22.9752985252812],[120.18891636715783,22.975358275414134],[120.18891657488223,22.975360236918544],[120.18891663115323,22.975360776305326],[120.1889279674944,22.97536011189896],[120.1889281805475,22.975280617128913]],[[120.18898480929161,22.975208863571787],[120.18894326980337,22.975209163952016],[120.18893276808534,22.97527767962131],[120.18893237149805,22.97535900386006],[120.18896259954266,22.975356674332566],[120.18898480929161,22.975208863571787]],[[120.18894943569616,22.975155007485096],[120.1889418678042,22.975207788713732],[120.1889844031119,22.975207799550184],[120.1889919387915,22.975159923321936],[120.18894943569616,22.975155007485096]]]}"
"33","D02BA0012","臺南市南區鹽埕段230-339地號","97700","89","長方形4.2:21.2","「住四」住宅區","60","180","臺南市南區大成路二段68號","透天住家用","0.94","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19575927814401,22.975033107214312],[120.19575591263545,22.975222949786307],[120.19575987487828,22.975222981627947],[120.1957966106765,22.97522328268528],[120.19579979116571,22.975033548437207],[120.19575927814401,22.975033107214312]]]}"
"34","D02BA0013","臺南市南區新興段247-48地號","112000","84","長方形4.4:19.1","「住五-1」住宅區","60","200","臺南市南區建南路209號","透天正發汽車修配廠","0.54","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18843951711433,22.98485566493997],[120.18840665319757,22.98485822372556],[120.18839674919158,22.98485898571223],[120.18841222998833,22.98502996904939],[120.18845499796483,22.985026648274577],[120.18843951711433,22.98485566493997]]]}"
"35","D02BA0014","臺南市南區鹽埕段3-618地號","190000","68","長方形4.0:17.0","「住六-1」住宅區","60","240","臺南市南區永華路一段27之4號","透天長明號食品百貨","0.64","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19654206647061,22.987172521537847],[120.19650201393847,22.987173258479075],[120.19649875166992,22.987324409924987],[120.19653905872904,22.987322697216165],[120.19654206647061,22.987172521537847]]]}"
"36","D02BB0004","臺南市南區鹽埕段3-614地號","302000","75","長方形4.5:16.6","「商一」商業區","80","320","臺南市南區西門路一段695號","透天4.EVER髮廊","0.1","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19743194811171,22.98716659966233],[120.1972784782249,22.987166625947907],[120.1972771334421,22.987214286489287],[120.19743125357857,22.987206561700628],[120.19743194811171,22.98716659966233]]]}"
"37","D02BB0005","臺南市南區鹽埕段3-346地號","293000","102","長方形4.5:22.7","「商一」商業區","80","320","臺南市南區西門路一段591號","透天大立眼鏡行","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19725482369199,22.984627310460684],[120.19725487751373,22.98466953202823],[120.19729402027839,22.984670286564025],[120.19730450177263,22.98467048955713],[120.19746977646227,22.98467269832386],[120.19747043217392,22.98463104473152],[120.19725482369199,22.984627310460684]]]}"
"38","D02BD0007","臺南市南區鹽埕段3001地號","54100","5004","長方形50.0:100.0","乙種工業區","70","210","臺南市南區中華西路一段47號","透天通吉企業公司","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18267846985188,22.968819777994362],[120.18267693778655,22.96900242793211],[120.1826753918,22.969186093683323],[120.18267466724663,22.969272058578028],[120.183650772626,22.96927701246335],[120.18365384064698,22.96882553348506],[120.18352816123324,22.968825138282348],[120.18333506619157,22.96882345752119],[120.18267846985188,22.968819777994362]]]}"
"39","D02BF0015","臺南市南區華南段107-2地號","20900","278.89","長方形10.5:26.5","農業區","0","0"," ","素地","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19533243216135,22.9557324140771],[120.19507439922019,22.955731248482966],[120.19506997708945,22.95582567883796],[120.1953319349192,22.955826861644937],[120.19533243216135,22.9557324140771]]]}"
"40","D04BA0002","臺南市北區東豐段346-5地號","171000","97","長方形4.5:21.4","住七住宅區","60","270","臺南市北區勝利路266號","透天老友小吃店","0.36","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21891546876255,23.005595526943463],[120.21890839453415,23.005635205718875],[120.21910734543188,23.005681502887917],[120.21911776204328,23.00564224964998],[120.21891546876255,23.005595526943463]]]}"
"41","D04BA0004","臺南市北區小北段407地號","173000","97.1","長方形4.5:21.7","「住四」住宅區","60","180","臺南市北區西門路四段27號","透天永昌香料行","1.06","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20620713854663,23.006916416264474],[120.20601919660422,23.007003890654495],[120.2060286538488,23.007021898084783],[120.20603862358384,23.00703967691301],[120.20604452285234,23.007037581704036],[120.20612410509061,23.007000930113353],[120.20618925101448,23.0069709796075],[120.20618926053524,23.00696868510099],[120.20622511881406,23.006951889127908],[120.20620713854663,23.006916416264474]]]}"
"42","D04BA0006","臺南市北區仁愛段42-150地號","152000","88","長方形4.3:20.5","住三住宅區","60","165","臺南市北區東豐路361號","透天住家用","0.8","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22513646867542,23.002598596442628],[120.22509330015305,23.002605434168096],[120.22512492020694,23.002778189479628],[120.2251438013746,23.00277573625844],[120.22516968557892,23.00277169638426],[120.22513646867542,23.002598596442628]]]}"
"43","D04BA0007","臺南市北區大興段235-1地號、大興段236-1地號","140000","73.19","長方形4.0:18.3","「住四」住宅區","60","180","臺南市北區文賢路875號","透天喬瓦尼服飾店","2.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19297228300466,23.017722767356005],[120.1929632040051,23.01775908433901],[120.19311719921275,23.017784617263803],[120.19312306161878,23.0177476707317],[120.19297228300466,23.017722767356005]]]}"
"44","D04BA0010","臺南市北區光賢段534-3地號","112000","107.49","長方形4.3:24.9","住四住宅區","60","180","臺南市北區賢北街8號","透天住家用","2.22","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18403956776305,23.00635270908612],[120.18402438581862,23.006389004054732],[120.18425021776748,23.00646997552228],[120.18426742428846,23.006434404337664],[120.18403956776305,23.00635270908612]]]}"
"45","D04BA0011","臺南市北區延平段1102-1地號","161000","91","長方形4.8:19.0","「住四」住宅區","60","180","臺南市北區公園路764號","透天住家用","0.95","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21120298222823,23.01088936235824],[120.21102667559731,23.01094311344692],[120.21104076719922,23.01098464548948],[120.21119381544896,23.010937841877272],[120.21121668879657,23.010930852735708],[120.21120298222823,23.01088936235824]]]}"
"46","D04BA0013","臺南市北區北元段159地號","154000","171.98","長方形5.8:29.7","住四住宅區","60","180","臺南市北區海安路三段933號","透天住家用","1.19","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19960506134221,23.018013188520296],[120.19959596406834,23.018058848372746],[120.19959508140028,23.018063275882707],[120.19988747602183,23.01811603607049],[120.19989126017602,23.018095370849533],[120.19989312595604,23.018085030881974],[120.19989654468588,23.018065784248538],[120.19960506134221,23.018013188520296]]]}"
"47","D04BA0014","臺南市北區北元段980-65地號","187000","91.29","長方形4.5:20.3","住四住宅區","60","180","臺南市北區和緯路二段492號","透天LG科昌電器","2.32","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20157331974548,23.01217363425697],[120.20150144493694,23.012343994122773],[120.20154233543408,23.012358775851354],[120.20161446545728,23.012187808623892],[120.20159302009336,23.012180457426062],[120.20157331974548,23.01217363425697]]]}"
"48","D04BA0015","臺南市北區東興段252-39地號","172000","77","長方形4.5:17.2","「住三」住宅區","60","165","臺南市北區小東路297之1號","透天寬頻房訊","4.2","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.23013673645129,22.999371475922562],[120.2300958829663,22.99938397556816],[120.23014820534648,22.99953232192347],[120.23019057717512,22.99951903950534],[120.23013673645129,22.999371475922562]]]}"
"49","D04BB0003","臺南市北區忠義段860地號","264000","89.67","長方形4.6:19.4","商四(1)商業區","80","320","臺南市北區成功路72、76號","透天心心藥局","1.86","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20653337434696,22.998255186474207],[120.20648800127469,22.99826297793393],[120.20652574022395,22.99843650942326],[120.20654519964955,22.998433193513396],[120.20656811548237,22.998429289896137],[120.20653337434696,22.998255186474207]]]}"
"50","D04BB0005","臺南市北區北安段563地號","191000","82.63","長方形4.6:18.0","「商五(19)」商業區","60","360","臺南市北區北安路一段97號","透天弘昌鈑金材料行","2.27","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21003555991979,23.01634567897925],[120.2099989558039,23.0163709178974],[120.2101030430264,23.016499666801447],[120.21013953661542,23.016474480586194],[120.21003555991979,23.01634567897925]]]}"
"51","D04BB0008","臺南市北區開元段975地號","199000","136","長方形4.5:30.2","商四(1)商業區","80","320","臺南市北區開元路341號","透天佑昇照相館","1.23","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22211181840923,23.00852763218106],[120.22195505708034,23.008757612879744],[120.22199193685779,23.00877899777678],[120.22207923552016,23.00865192737212],[120.22214920259772,23.008549166710598],[120.22211181840923,23.00852763218106]]]}"
"52","D04BB0016","臺南市北區大北門段888地號、大北門段887地號、大北門段886地號、大北門段891地號","275000","654.24","長方形17.2:38.0","「商四(1)」商業區","80","320","臺南市北區成功路24號","透天賴外科診所","0.89","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20874910317802,22.99815053119149],[120.20861180304912,22.998174091180097],[120.2086503075657,22.998258588907635],[120.20870139807846,22.998238806276625],[120.20877871819627,22.998208860297787],[120.20874910317802,22.99815053119149]]]}"
"53","D06BA0001","臺南市安南區新順段1000地號","98600","97.41","長方形4.4:22.1","「住六」住宅區","60","240","臺南市安南區安和路三段97號","透天鹽酥雞大王","1.24","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21762113159866,23.04596337536795],[120.21741907471117,23.046010054508923],[120.21742381824681,23.04605035221164],[120.21763632961392,23.046001286661067],[120.21762113159866,23.04596337536795]]]}"
"54","D06BA0003","臺南市安南區新淵段438地號","91400","132.36","長方形5.1:25.95","「住六」住宅區","60","240","臺南市安南區安中路三段210號","透天住家用","0.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17972804923652,23.048126509660857],[120.17967983555882,23.048136809343898],[120.17973670244346,23.048365565144227],[120.1797369329775,23.048366490112734],[120.17978514674473,23.048356188608857],[120.17978491718067,23.048355264548473],[120.17972804923652,23.048126509660857]]]}"
"55","D06BA0004","臺南市安南區安中段265地號","84700","91.39","長方形4.3:21.2","「住四-2」住宅區","60","200","臺南市安南區同安路141號","透天住家用","0.72","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19051873261827,23.04089785224097],[120.19037275030381,23.041030930555316],[120.19040244021562,23.041058895115064],[120.19054851902274,23.04092599786884],[120.19051873261827,23.04089785224097]]]}"
"56","D06BA0005","臺南市安南區溪墘段974地號","122000","142.44","長方形4.9:29.1","「住一」住宅區","50","120","臺南市安南區海佃路一段196號","透天陳昱成耳鼻喉科診所","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19164961609526,23.024906554531658],[120.19164027890548,23.024950844532125],[120.19191028827848,23.02500631369817],[120.19192108874724,23.02496203115196],[120.19164961609526,23.024906554531658]]]}"
"57","D06BA0007","臺南市安南區公塭段1-2地號","29600","169.88","長方形5.6:30.0","「住三」住宅區","60","165","臺南市安南區十二佃路85號","透天住家用","1.35","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17433370728983,23.068310266068632],[120.1742955299447,23.0683165952815],[120.17427946962162,23.068319265513317],[120.17436467183246,23.0685807229827],[120.17441916796582,23.068572564652214],[120.17433370728983,23.068310266068632]]]}"
"58","D06BA0008","臺南市安南區長安段61地號","54800","89.16","長方形4.3:20.7","「住四」住宅區","60","180","臺南市安南區長和路四段423號","透天住家用","0.56","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19829493714474,23.06705331677178],[120.19825603346361,23.067063865155866],[120.19831670769439,23.067249649156263],[120.1983555132967,23.06723919146452],[120.19829493714474,23.06705331677178]]]}"
"59","D06BA0012","臺南市安南區頂安段150-5地號","101000","88.69","長方形4.2:21.1","「住四」住宅區","60","180","臺南市安南區安中路一段418號","透天住家用","0.6","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20285021879066,23.038859497468035],[120.2028152686533,23.03887961915049],[120.20286014228884,23.039075485634026],[120.2028942727633,23.039054388175813],[120.20285021879066,23.038859497468035]]]}"
"60","D06BA0013","臺南市安南區天馬段27地號","82600","78.1","長方形5.0:15.6","「住三-1」住宅區","55","165","臺南市安南區安中路四段31號","透天住家用","1.11","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1729861125549,23.04996348794443],[120.17291387799466,23.050095670855985],[120.17295167533061,23.050121965326948],[120.17302622412991,23.049978326372212],[120.1729861125549,23.04996348794443]]]}"
"61","D06BA0014","臺南市安南區淵東段833地號","70500","120.94","長方形4.5:26.8","「住三-1」住宅區","55","165","臺南市安南區本原街三段159號","透天捷誠電腦","1.3","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1755914692025,23.052267965691783],[120.17558523470888,23.052298274066352],[120.17557789442856,23.05233390438907],[120.17557005086502,23.05237206049374],[120.1755411918647,23.05251223658824],[120.17558172063643,23.052522832451537],[120.17563266609947,23.052281003131114],[120.17563387220616,23.052275230203897],[120.1755914692025,23.052267965691783]]]}"
"62","D06BA0016","臺南市安南區海佃段1259地號","94400","96.95","長方形4.8:20.2","「住一」住宅區","50","120","臺南市安南區國安街60號","透天東方美早餐店","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19008630498584,23.0225936563309],[120.19004928182203,23.022770308345816],[120.19009583582348,23.022778655600483],[120.19013294707437,23.022602109676193],[120.19008630498584,23.0225936563309]]]}"
"63","D06BA0018","臺南市安南區新淵段34-4地號","93500","86.13","長方形4.6:18.7","「住四」住宅區","60","180","臺南市安南區海佃路三段310號","透天住家用","1.98","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17907852581484,23.05285093878211],[120.1790498358237,23.05288335209969],[120.17918994386699,23.052989548480987],[120.17921863287302,23.052957135133024],[120.17907852581484,23.05285093878211]]]}"
