編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
1,D01BA0002,臺南市東區竹篙厝段855-5地號,133000,82,長方形4.5:18.2,「住五」住宅區,60,210,臺南市東區崇學路273號,透天翰盈牙醫診所,2.8
2,D01BA0007,臺南市東區新東段467-1地號,56600,87,長方形4.5:19.3,「住五」住宅區,60,210,臺南市東區裕豐街202號,透天建發文具店,2.75
3,D01BA0008,臺南市東區裕東段655-4地號,69300,105.88,長方形5.0:21.2,「虎住三」住宅區,50,160,臺南市東區裕平路50號,透天住家用,2.69
4,D01BA0009,臺南市東區光明段934-20地號,109000,82,長方形4.2:19.5,「住五」住宅區,60,210,臺南市東區東安路83號,透天古丁原味品茶館,3.44
5,D01BA0012,臺南市東區竹篙厝段3932-4地號,98000,83,長方形4.2:19.8,「住五」住宅區,60,210,臺南市東區崇德路518號,透天黃修傑中醫診所,2.86
6,D01BA0013,臺南市東區竹篙厝段1578-1地號,112000,88,長方形4.3:20.4,「住五」住宅區,60,210,臺南市東區崇善路128號,透天李學院補習班,2.79
7,D01BA0014,臺南市東區裕東段135-28地號,88000,92.4,長方形4.2:22.0,「虎住二」住宅區,50,160,臺南市東區裕農路868之5號,透天宏昌旗魚?,3.19
8,D01BA0015,臺南市東區東光段364-3地號,99500,76,長方形4.2:18.0,「住五」住宅區,60,210,臺南市東區東光路二段19號,透天住家用,2.81
9,D01BA0016,臺南市東區竹篙厝段3120-10地號,109000,90,長方形4.3:21.0,「住五」住宅區,60,210,臺南市東區崇善路438號,透天陳勃旭耳鼻喉科,0.84
10,D01BA0017,臺南市東區裕東段381-7地號,72000,108,長方形4.5:24.0,「虎住二」住宅區,50,160,臺南市東區裕信路165號,透天斐?斯美?店,3.03
11,D01BA0018,臺南市東區仁和段381-15地號,76500,78,長方形4.0:19.5,「住五」住宅區,60,210,臺南市東區仁和路87之2號,透天吳家紅茶冰,2.85
12,D01BA0019,臺南市東區精忠段1038-2地號,187000,84,長方形4.4:19.1,「住五」住宅區,60,210,臺南市東區裕農路615號,透天阿吉鱔魚專家,0.98
13,D01BA0020,臺南市東區光明段597-90地號,173000,80,長方形4.5:17.8,「住五」住宅區,60,210,臺南市東區怡東路159號,透天百瀚外語補習班,0.35
14,D01BA0021,臺南市東區竹篙厝段1405地號,150000,147,長方形5.3:28.0,「住五」住宅區,60,210,臺南市東區中華東路三段92號,透天信義房屋,-50.1
15,D01BA0022,臺南市東區育樂段98地號,200000,79,長方形5.0:15.8,「住五」住宅區,60,210,臺南市東區大學路西段25號,透天皇平麵店,2.33
