編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
39,D04BA0011,臺南市北區延平段1102-1地號,93200,91,長方形4.8:19.0,「住四」住宅區,60,180,臺南市北區公園路764號,透天住家用,2.33
40,D04BA0013,臺南市北區北元段159地號,118000,171.98,長方形5.8:29.7,「住四」住宅區,60,180,臺南市北區海安路三段933號,透天住家用,
41,D04BB0003,臺南市北區自強段258地號,127000,89,長方形4.6:19.4,「商四(1)商業區」,80,320,臺南市北區成功路72、76號,透天心心藥局,-0.24
42,D04BB0005,臺南市北區北安段563地號,74100,82.63,長方形4.6:18.0,「商五(19)」商業區,60,360,臺南市北區北安路一段97號,透天弘昌鈑金材料行,2.08
43,D04BB0008,臺南市北區開元段975地號,102000,136,長方形4.5:30.2,「商四(1)」商業區,80,320,臺南市北區開元路341號,透天佑昇照相館,4.97
44,D04BB0012,臺南市北區北元段980-65地號,151000,91.29,長方形4.5:20.3,商業區商32(附),60,250,臺南市北區和緯路二段492號,透天LG科昌電器,
45,D06BA0001,臺南市安南區新順段1000地號,46000,97.41,長方形4.4:22.1,「住六」住宅區,60,240,臺南市安南區安和路三段97號,透天?酥雞大王,2.7
46,D06BA0003,臺南市安南區新淵段438地號,47500,132.36,長方形5.1:25.95,「住六」住宅區,60,240,臺南市安南區安中路三段210號,透天住家用,0.64
47,D06BA0004,臺南市安南區安中段265地號,42400,91.39,長方形4.3:21.2,「住四-2」住宅區,60,200,臺南市安南區同安路141號,透天住家用,0.72
48,D06BA0005,臺南市安南區溪墘段974地號,85000,142.44,長方形4.9:29.1,「住一」住宅區,50,120,臺南市安南區海佃路一段196號,透天陳昱成耳鼻喉科診我,0.72
49,D06BA0007,臺南市安南區公塭段1-2地號,18400,169.88,長方形5.6:30.0,「住三」住宅區,60,165,臺南市安南區十二佃路85號,透天住家用,2.87
50,D06BA0008,臺南市安南區長安段61地號,26400,89.16,長方形4.3:20.7,「住四」住宅區,60,180,臺南市安南區長和路四段423號,透天住家用,2.83
51,D06BA0012,臺南市安南區頂安段150-5地號,41700,88.69,長方形4.2:21.1,住宅區,60,180,臺南市安南區安中路一段418號,透天住家用,1.47
52,D06BA0013,臺南市安南區天馬段27地號,45400,78.1,長方形5.0:15.6,「住三-1」住宅區,55,165,臺南市安南區安中路四段31號,透天住家用,1.35
53,D06BA0014,臺南市安南區淵東段833地號,32400,120.94,長方形4.5:26.8,「住三-1」住宅區,55,165,臺南市安南區本原街三段159號,透天機械電腦,1.9
54,D06BA0016,臺南市安南區海佃段1259地號,49000,96.95,長方形4.8:20.2,「住一」住宅區,50,120,臺南市安南區國安接60號,透天東方美早餐店,2.53
55,D06BA0018,臺南市安南區新淵段34-4地號,53800,86.13,長方形4.6:18.7,「住四」住宅區,60,180,臺南市安南區海佃路三段310號,透天住家用,0
56,D06BA0019,臺南市安南區溪東段102地號,44500,97.88,長方形4.7:21.0,「住一」住宅區,50,120,臺南市安南區北安路二段67號,透天住家用,2.8
57,D06BA0020,臺南市安南區外塭段877-34地號,47200,93,長方形4.2:22.1,「住三-一」住宅區,55,165,臺南市安南區安和路五段254號,透天鳳慈素食,2.63
58,D06BA0021,臺南市安南區州南段97地號,47200,89,長方形3.7:24.0,「住三-1」住宅區,55,165,臺南市安南區安和路四段592號,透天電腦彩券行,2.63
59,D06BA0022,臺南市安南區佃西段321地號,23900,111.63,長方形4.5:24.8,「住三」住宅區,60,165,臺南市安南區公學路四段336號,透天世代中藥行,1.67
60,D06BA0023,臺南市安南區新順段1171-2地號,42400,113.99,長方形4.6:24.7,「住六」住宅區,60,240,臺南市安南區北安路三段426號,透天住家用,2.19
61,D06BA0024,臺南市安南區海東段1480地號,37500,94.6,長方形5.0:18.9,「住一」住宅區,50,120,臺南市安南區大安街32號,透天住家用,2.48
62,D06BA0025,臺南市安南區海北段848地號,44800,101.13,長方形4.9:20.7,「住五」住宅區,60,210,臺南市安南區海佃路二段776號,透天昱豐空調技術公司,2.07
63,D06BA0027,臺南市安南區城南段26地號,33600,101.42,長方形3.8:26.6,「住三-1」住宅區,55,165,臺南市安南區城西街一段23號,透天一吉餅店,0.91
64,D06BA0029,臺南市安南區安東段1197地號,52000,89.05,長方形4.2:21.0,「住一」住宅區,50,120,臺南市安南區安和路一段72號,透天住家用,2.38
65,D06BA0030,臺南市安南區安西段2102-3地號,52300,107.53,長方形4.8:22.3,「住四-1」住宅區,50,180,臺南市安南區北安路二段206號,透天住家用,2.98
66,D06BA0031,臺南市安南區和館段44-822地號,45100,122.48,長方形5.0:24.5,「住一-1」住宅區,50,135,臺南市安南區長和路一段358號,透天酷柏德式廚房,1.36
67,D06BA0032,臺南市安南區國安段1505-2地號,50200,132.59,長方形6.0:22.1,「住四-1」住宅區,50,180,臺南市安南區宜居路592號,透天住家用,2.47
68,D06BA0033,臺南市安南區安中段499-29地號,81700,102.23,長方形4.9:20.9,「住四」住宅區,60,200,臺南市安南區安中路一段801號,透天家味自助餐,
69,D06BB0009,臺南市安南區十字段849地號,49600,74.71,梯形4.4:16.9,「商10」商業區,80,300,臺南市安南區海佃路三段30號,透天住家用,2.5
70,D06BB0017,臺南市安南區城中段170地號,38400,118.08,長方形4.7:25.1,「商30」商業區,60,180,臺南市安南區安中路六段645號,透天泉聖便當,0.79
71,D06BD0006,臺南市安南區科工段31地號、科工段32地號、科工段33地號,18300,42213.05,長方形173.3:244.9,「工15(科)」乙種工業區,60,240,臺南市安南區本田路二段500號,透天可成科技,2.37
72,D06BD0010,臺南市安南區和工段773地號,18300,361.32,長方形10.0:36.1,「工乙5」工業區,70,210,臺南市安南區開安三街22號,透天美成工藝社,1.34
73,D06BD0028,臺南市安南區布袋段1227地號,15100,871.33,長方形19.4:44.9,「工13」工業區,70,210,臺南市安南區工明二路51號,透天德源鑫機械,2.67
74,D06BF0001,臺南市安南區淵南段932地號,9200,1761.09,長方形34.2:89.4,農業區,0,0,,素地,
75,D07BA0001,臺南市安平區新南段26-17地號,82900,132,長方形5.3:24.9,「住五」住宅區,60,210,臺南市安平區府前路二段558號,透天禾春牙醫診所,2.62
76,D07BA0002,臺南市安平區新南段69-21地號,98300,116.38,長方形4.9:23.7,「住五」住宅區,60,210,臺南市安平區文平路372號,透天萬佳汽車美容,6.21
77,D07BA0004,臺南市安平區新南段127-47地號,108000,126,長方形4.5:28.0,「住五」住宅區,60,210,臺南市安平區中華西路二段75號,透天美心便當店,4.39
78,D07BA0005,臺南市安平區新南段120-23地號,59000,102,長方形5.0:20.4,「住五」住宅區,60,210,臺南市安平區永華二街25號,透天住家用,1.56
79,D07BA0006,臺南市安平區金華段42-47地號,57800,129,長方形5.6:23.1,「住五」住宅區,60,210,臺南市安平區建平八街372巷6號,透天住家用,3.8
80,D07BA0008,臺南市安平區金城段34-35地號,54800,110,長方形4.6:23.9,「住四」住宅區,60,180,臺南市安平區光州七街108號,透天住家用,5.85
81,D07BA0009,臺南市安平區金城段55地號,128000,4994,近似梯形62.6:79.8,「住五」住宅區,60,210,臺南市安平區永華路二段869號十三樓之3,透天皇鼎格里昂,2.66
82,D07BA0010,臺南市安平區金城段69-27地號,71400,71.1,長方形4.5:15.8,「住四」住宅區,60,180,臺南市安平區平豐路51號之1,透天住家用,
83,D07BB0003,臺南市安平區新南段37-19地號,97100,100.1,長方形5.5:18.2,「商三(11)」商業區,80,280,臺南市安平區慶平路186號,透天住家用,2.56
84,D07BB0007,臺南市安平區妙壽段938地號,69600,67.99,長方形4.0:17.0,「特商三」特定商業專用區,80,280,臺南市安平區延平街75號,透天鈺佳鐘表行,0.88
85,D08BA0001,臺南市中西區保安段2002地號,126000,82,長方形4.6:17.9,「住六」住宅區,60,240,臺南市中西區金華路三段7號,透天悟饕便當店,3.74
86,D08BA0002,臺南市中西區郡王祠段1852地號,114000,88.85,長方形4.4:20.0,「住四」住宅區,60,180,臺南市中西區健康路一段204號,透天林媽媽租屋,1.35
87,D08BA0003,臺南市中西區成光段1010地號,86500,85,長方形4.3:19.8,「住四」住宅區,60,180,台南市中西區民權路四段206號,透天住家用,4.76
88,D08BA0006,臺南市中西區協進段700地號,46900,91,長方形4.8:19.0,「住五」住宅區,60,210,臺南市中西區大新街55號,透天住家用,4.73
89,D08BA0011,臺南市中西區南門段1264地號,100000,99.04,長方形5.7:17.3,「住五」住宅區,60,210,臺南市中西區忠義路一段47號,透天住家用,1.53
90,D08BA0012,臺南市中西區武聖段1367地號,56900,88.85,長方形4.6:19.3,「住四」住宅區,60,180,臺南市中西區武聖路69巷45號,透天夾物店鋪,1.62
91,D08BA0013,臺南市中西區頂美段1512-42地號,158000,116.02,長方形4.5:25.7,「住四」住宅區,60,180,臺南市中西區中華西路二段777號,透天住家用,3.37
92,D08BA0015,臺南市中西區頂美段984-9地號,136000,122.62,長方形5.1:24.0,「住四」住宅區,60,180,臺南市中西區和緯路五段217號,透天住家用,
93,D08BB0004,臺南市中西區中正段500地號、中正段501地號,304000,104.76,長方形4.8:21.3,「商四（1）」商業區,80,320,臺南市中西區中正路224號,透天ETUDE HOUSE,0
94,D08BB0007,臺南市中西區中山段401地號,120000,74.36,長方形4.3:17.4,「商四(1)」商業區,80,320,臺南市中西區民權路一段252號,透天雅維麗飾品店,1.02
95,D08BB0008,臺南市中西區中正段194地號,124000,104.83,長方形4.5:23.1,「商四(1)」商業區,80,320,臺南市中西區民生路二段79號,透天吾皇萬歲工夫手作麵,0.74
96,D08BB0009,臺南市中西區永福段645地號,119000,77.4,長方形4.2:18.4,「商四(1)」商業區,80,320,臺南市中西區永福路二段142-1號,透天My賣飲料,0.51
97,D08BB0010,臺南市中西區星鑽段1923地號,119000,85.5,長方形4.7:18.3,「商四(1)」商業區,80,320,臺南市中西區康樂街191號,透天住家用,2.08
98,D08BB0014,臺南市中西區廣慈段65地號,309000,96.36,長方形4.8:20.1,「商四(1)」商業區,80,320,臺南市中西區北門路一段145號,透天深白服飾店,2.82
99,D08BB0016,臺南市中西區新美段95地號、新美段96地號、新美段97地號、新美段98地號,235000,99.4,長方形6.9:14.5,「商四(1)」商業區,80,320,臺南市中西區民族路二段373號,透天阿庶甘蔗汁,
101,D09BA0002,臺南市新營區民治段538地號,80200,117.12,長方形4.9:23.9,住宅區,60,200,臺南市新營區三民路106之12號,透天樂恩聯合診所,1.53
102,D09BA0003,臺南市新營區東興段17地號,29900,86.59,長方形4.6:18.8,住宅區,60,200,臺南市新營區東學路88號,透天住家用,3.02
103,D09BA0004,臺南市新營區大公段27-4地號,29200,105.3,長方形6.3:16.7,住宅區,60,200,臺南市新營區民族路318號,透天住家用,3.76
104,D09BB0001,臺南市新營區民權段1126地號,134000,81.91,長方形4.2:19.5,商業區,80,320,臺南市新營區民權路18號,透天大福帆布行,0
105,D09BB0002,臺南市新營區三興段1117地號,51400,114.92,長方形4.5:25.5,商業區,80,320,臺南市新營區中華路86號,透天透天厝(出售中),4.94
106,D09BD0001,臺南市新營區嘉芳段259地號,9800,1760,長方形32.0:55.0,工業區,70,210,臺南市新營區新工路29號,透天成浤塑膠股份有限公司,17.39
107,D09EB0001,臺南市新營區許丑段243-8地號,22200,101,長方形4.6:22.0,乙種建築用地,60,240,臺南市新營區中正路535號,透天住家用,
108,D10BA0001,臺南市鹽水區朝琴段75地號,55400,84.72,長方形4.8:17.7,住宅區,60,180,臺南市鹽水區朝琴路85號,透天住家用,0
109,D10BA0002,臺南市鹽水區後厝段655-12地號,25500,102.54,長方形4.7:21.8,住宅區,60,180,臺南市鹽水區中山路2之13號,透天世洋水族館,0
110,D10BB0001,臺南市鹽水區朝琴段670地號,55700,101.39,長方形4.5:22.5,商業區,80,240,臺南市鹽水區三福路76號,透天商行,0
111,D10EB0001,臺南市鹽水區歡雅段387地號,11300,145.57,長方形6.2:23.3,乙種建築用地,60,240,臺南市鹽水區歡雅54之21號,透天國鉅手機,
112,D11BA0001,臺南市柳營區柳南段8地號,29800,96.18,長方形4.0:24.0,住宅區,60,200,臺南市柳營區中山西路二段87號,透天愛迪兒安親才藝班,0.1
113,D11BA0002,臺南市柳營區柳中段738-3地號,20000,88.23,長方形4.7:18.8,住宅區,60,200,臺南市柳營區成功街99號,透天住家用,1.38
114,D11BB0001,臺南市柳營區柳中段1066地號,38100,78.23,長方形5.6:14.0,商業區,80,320,臺南市柳營區柳營路二段6號,透天住家用,0
115,D11EB0001,臺南市柳營區重溪段954地號,11600,153.6,長方形4.8:32.0,乙種建築用地,60,240,臺南市柳營區小?腿6之5號,透天住家用,
116,D12BA0001,臺南市白河區長安段1504地號,31500,109,長方形4.7:23.1,住宅區,60,180,臺南市白河區新興路490號,透天住家用,0
117,D12BA0002,臺南市白河區永安段406-2地號,32400,80,長方形4.5:17.8,住宅區,60,180,臺南市白河區三民路445號,透天住家用,0
118,D12BB0001,臺南市白河區永安段28地號,49000,127,長方形4.9:25.8,商業區,80,300,臺南市白河區中山路93號,透天年代眼鏡公司,0
119,D12EB0001,臺南市白河區河東段600地號,10400,99,長方形4.2:23.6,乙種建築用地,60,240,台南市白河區糞箕湖38之5號,透天住家用,
120,D13BA0001,臺南市後壁區頭前段993地號,14900,72.55,長方形4.2:17.3,住宅區,60,150,臺南市後壁區後壁裡後壁170之43號,透天住家用,-0.2
121,D13BB0001,臺南市後壁區頭前段444地號,22100,77.16,長方形4.2:18.4,商業區,80,240,臺南市後壁區後壁里後壁131之7號,透天自助餐,0
122,D13EB0001,臺南市後壁區道場段1037地號,8900,96.37,長方形5.0:19.3,乙種建築用地,60,240,臺南市後壁區菁寮里菁寮72號,透天住家用,0
123,D13EB0002,臺南市後壁區福安段1099地號,12100,85.88,長方形4.3:20.0,乙種建築用地,60,240,臺南市後壁區福安里下寮102之29號,透天祐民診所,
124,D14BA0002,臺南市東山區東安段55-1地號,10300,91.4,長方形4.9:18.6,住宅區,60,200,臺南市東山區東正里東勢19之33號,透天住家用,0
125,D14BA0003,臺南市東山區東中段998地號,11200,87.84,長方形4.6:19.1,住宅區,60,200,臺南市東山區東仁街80號,透天住家用,
126,D14BB0001,臺南市東山區東中段219地號,34200,83.74,長方形4.3:19.5,商業區,80,320,臺南市東山區達雲路15號,透天早安美芝城,0
127,D14EB0001,臺南市東山區東原段483地號,12700,95.84,長方形4.5:21.3,乙種建築用地,60,240,臺南市東山區東原里前大埔167號,透天住家用,
128,D15BA0002,臺南市麻豆區晉江段836地號,28000,113.43,長方形5.4:21.0,住宅區,60,180,臺南市麻豆區民權路51-2號,透天丸天瓜子行,2.21
129,D15BA0004,臺南市麻豆區中興段478地號、中興段479地號,53200,142,長方形5.2:27.7,住宅區,60,200,臺南市麻豆區中興里興國路40之5號,透天柏榮牙醫診所,
130,D15BB0001,臺南市麻豆區保安段750地號,114000,90.92,長方形4.2:21.6,商業區,80,300,臺南市麻豆區興中路56號,透天邦妮服飾店,3.01
131,D15BD0001,臺南市麻豆區埤頭段434-7地號、埤頭段435-1地號,11000,2624,長方形40.0:66.8,工業區,70,210,臺南市麻豆區埤頭28之1號,透天新豐冷凍廠,3.4
132,D15EB0001,臺南市麻豆區寮子?v段336-13地號,16000,92,長方形6.7:13.6,乙種建築用地,60,240,臺南市麻豆區寮子?42之1號,透天住家用,
133,D16BA0001,臺南市下營區營平段436-3地號,32100,108.98,長方形4.8:22.6,住宅區,60,200,臺南市下營區營前里中正南路87號,透天住家用,1.92
134,D16BB0002,臺南市下營區營中段699地號,68700,91.14,長方形5.7:16.4,住宅區,80,320,臺南市下營區中山路一段11號,透天羊肉羹小吃店,
135,D16EB0001,臺南市下營區茅港尾段995-6地號,14900,80,長方形4.1:18.7,乙種建築用地,60,240,臺南市下營區開化里12鄰中營606之2號,透天住家用,
136,D17BA0002,臺南市六甲區光明段822地號,34500,77.41,長方形4.3:18.2,住宅區,60,180,臺南市六甲區中山路229號,透天住商用,
137,D17BB0001,臺南市六甲區民生段888地號,50500,69.24,長方形4.1:16.9,商業區,80,240,臺南市六甲區中正路426號,透天早安美芝城,1.21
138,D17EB0001,臺南市六甲區保生段36-3地號,9400,78.44,長方形4.3:18.3,乙種建築用地,60,240,臺南市六甲區龜子港80巷6號,透天住家用,
139,D18BA0002,臺南市官田區隆田段916地號,27000,80.69,長方形4.5:18.0,住宅區,60,180,臺南市官田區隆田里13鄰勝利路81號,透天住家用,
140,D18BB0001,臺南市官田區隆田段605地號、隆田段606地號,27500,123.93,長方形4.6:28.0,商業區,80,260,臺南市官田區隆田里文化街38號,透天胡瓊月地政士事務所,0.89
141,D18EB0001,臺南市官田區西庄段299-4地號,8000,85,長方形4.4:19.4,乙種建築用地,60,240,臺南市官田區西庄91之5號,透天住家用,
142,D19BA0002,臺南市大內區石城段477地號、石城段478地號,16500,72.8,長方形5.6:14.0,住宅區,60,200,台南市大內區石子瀨122之35號,透天住家用,
143,D19BB0001,臺南市大內區公所段646地號,22500,113.79,長方形4.3:27.4,商業區,80,320,臺南市大內區內庄22之4號,透天東昇五金行,2.62
144,D19EB0001,臺南市大內區頭社段578-9地號,8000,87,長方形4.3:18.3,乙種建築用地,60,240,臺南市大內區頭社1之10號,透天大內農會頭社分部,
145,D20BA0001,臺南市佳里區佳里段2327-4地號、佳里段2328-7地號,63800,88,長方形5.0:17.6,「住二」住宅區,60,240,臺南市佳里區建南里光復路112號,透天外省麵店,1.44
146,D20BA0002,臺南市佳里區佳里段2478-25地號、佳里段2478-46地號,46300,77,長方形4.2:18.3,「住二」住宅區,60,240,臺南市佳里區建南里中山路57號,透天住家用,0
147,D20BA0003,臺南市佳里區育善段61地號、育善段66地號,35100,96.33,長方形4.0:24.0,住「一」住宅區,60,190,臺南市佳里區安西里文化路423號,透天許秀盡地政士事務所,2.65
148,D20BA0004,臺南市佳里區佳里段937-7地號、佳里段940-12地號,64100,81,長方形4.6:17.6,「住二」住宅區,60,240,臺南市佳里區忠仁里延平路249號,透天明生電器行,1.92
149,D20BB0003,臺南市佳里區佳里段1634-59地號,97700,69,長方形4.6:15.0,商業區,80,320,臺南市佳里區東寧里光復路264號,透天上雅禮品行,2.22
150,D20EB0001,臺南市佳里區興化段105地號,23500,89,長方形3.9:22.8,乙種建築用地,60,240,臺南市佳里區佳里興493之4號,透天東方美早餐店,
151,D21BA0002,臺南市西港區港南段170地號,28500,88.72,長方形4.4:20.0,住宅區,60,200,臺南市西港區慶安里慶安路95之7號,透天住家用,0.86
152,D21BB0001,臺南市西港區慶安段778地號,46900,88.44,長方形3.5:22.6,商業區,80,320,臺南市西港區西港里中山路350號,透天千日好診所,0.65
153,D21EB0001,臺南市西港區&#21452;營段523地號,11500,73.58,長方形4.6:16.1,乙種建築用地,60,240,臺南市西港區後營里後營283之2號,透天住家用,
154,D22EB0001,臺南市七股區七股段693-35地號,19300,70,長方形3.7:18.9,乙種建築用地,60,240,臺南市七股區玉成里玉成143號,透天元之氣早餐店,0.95
155,D22EB0002,臺南市七股區龍山段80地號,8000,110.51,長方形4.1:27.0,乙種建築用地,60,240,臺南市七股區龍山里9之10號,透天住家用,
156,D22EE0001,臺南市七股區三合段954地號,1200,2500,長方形24.3:103.7,農牧用地,0,0,,素地,-2.44
157,D23BA0001,臺南市將軍區西華段369地號,21500,106.37,長方形4.5:23.6,住宅區,60,150,臺南市將軍區西華里西華65之37號,透天住家用,2.01
158,D23BB0001,臺南市將軍區西華段109地號,28900,105.63,長方形5.7:18.5,商業區,80,240,臺南市將軍區西華里西華2之5號,透天住家用,0
159,D23EB0001,臺南市將軍區將軍段3362地號,9600,77,長方形4.2:18.2,乙種建築用地,60,240,臺南市將軍區將富里將富106號,透天住家用,
160,D24BA0001,臺南市北門區保吉段140地號,6900,89.51,長方形4.5:19.9,住宅區,60,200,臺南市北門區保吉里蚵寮126號,透天住家用,-0.87
161,D24BB0001,臺南市北門區保吉段335地號,11600,94,長方形4.2:22.3,商業區,80,280,臺南市北門區保吉里蚵寮202之1號,透天住家用,2.69
162,D24EB0001,臺南市北門區舊埕段114地號,7400,142,長方形11.5:12.3,乙種建築用地,60,240,臺南區北門區舊埕91之1及91之2號,透天天地民宿,
163,D25BA0001,臺南市學甲區仁得段179地號、仁得段186地號,16400,80.57,長方形4.2:19.2,住宅區,60,200,臺南市學甲區仁得里八德街12號,透天住家用,0.56
164,D25BA0002,臺南市學甲區興善段581地號,22600,83.11,長方形4.5:18.3,住宅區,60,200,臺南市學甲區仁得里建國路118號,透天住家用,0.13
165,D25BB0001,臺南市學甲區慈濟段802地號、慈濟段803地號,68100,72.87,長方形3.9:18.6,商業區,80,320,臺南市學甲區慈福里中正路240號,透天韓式泡菜鍋,0.45
166,D25EB0001,臺南市學甲區中洲南段2302地號,13800,89.61,長方形5.1:17.6,乙種建築用地,60,240,臺南市學甲區中洲58之1號,透天連發飼料行,
167,D26BA0002,臺南市新化區新東段697地號,49000,78.27,長方形4.4:17.5,住宅區,60,180,臺南市新化區復興路236號,素地住家用,
168,D26BB0002,臺南市新化區新音段341地號,90800,76.6,長方形4.3:17.8,商業區,80,300,臺南市新化區中山路264號,素地摩提夫,1.01
169,D26EA0001,臺南市新化區新化段太子廟小段2252-4地號,26000,77,長方形4.2:18.3,甲種建築用地,60,240,臺南市新化區中正路831號,透天住家用,
