編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
1,D01BA0002,臺南市東區竹篙厝段855-5地號,130000,82,長方形4.5:18.2,「住五」住宅區,60,210,臺南市東區崇學路273號,透天翰盈牙醫診所,1.66
2,D01BA0007,臺南市東區新東段467-1地號,55100,87,長方形4.5:19.3,「住五」住宅區,60,210,臺南市東區裕豐街202號,透天建發文具店,2.82
3,D01BA0008,臺南市東區裕東段655-4地號,67500,105.88,長方形5.0:21.2,「虎住三」住宅區,50,160,臺南市東區裕平路52號,透天住家用,2.76
4,D01BA0009,臺南市東區光明段934-20地號,106000,82,長方形4.2:19.5,「住五」住宅區,60,210,臺南市東區東安路83號,透天午餐女王,2.95
5,D01BA0012,臺南市東區竹篙厝段3932-4地號,95300,83,長方形4.2:19.8,「住五」住宅區,60,210,臺南市東區崇德路518號,透天黃修傑中醫診所,2.94
6,D01BA0013,臺南市東區竹篙厝段1578-1地號,109000,88,長方形4.3:20.4,「住五」住宅區,60,210,臺南市東區崇善路128號,透天李學院補習班,0.84
7,D01BA0014,臺南市東區裕東段135-28地號,85300,92.4,長方形4.2:22.0,「虎住二」住宅區,50,160,臺南市東區裕農路868之5號,透天宏昌旗魚?,2.92
8,D01BA0015,臺南市東區東光段364-3地號,96800,76,長方形4.2:18.0,「住五」住宅區,60,210,臺南市東區東光段二段19號,透天住家用,2.56
9,D01BA0016,臺南市東區竹篙厝段3120-10地號,108000,90,長方形4.3:21.0,「住五」住宅區,60,210,臺南市東區崇善路438號,透天陳勃旭耳鼻喉科,
10,D01BA0017,臺南市東區裕東段381-7地號,69900,108,長方形4.5:24.0,「虎住二」住宅區,50,160,臺南市東區裕信路165號,透天斐?斯美髮店,2.67
11,D01BA0018,臺南市東區仁和段381-15地號,74400,78,長方形4.0:19.5,「住五」住宅區,60,210,臺南市東區仁和路87之2號,透天吳家紅茶冰,1.65
12,D01BA0019,臺南市東區精忠段1038-2地號,185000,84,長方形4.4:19.1,「住五」住宅區,60,210,臺南市東區裕農路615號,透天阿吉鱔魚專家,1.66
13,D01BA0020,臺南市東區光明段597-90地號,173000,80,長方形4.5:17.8,「住五」住宅區,60,210,臺南市東區怡東路159號,透天百瀚外語補習班,2.33
14,D01BB0001,臺南市東區竹篙厝段1405地號,148000,147,長方形5.3:28.0,「商一-1(附)」商業區,60,210,臺南市東區中華東路三段92號,透天信義房屋,0.82
15,D01BB0003,臺南市東區新東段1088-30地號,170000,83,長方形4.0:20.6,「商一-1(附)」商業區,60,210,臺南市東區東寧路256號,透天得恩堂眼鏡行,0
16,D01BB0004,臺南市東區育樂段98地號,195000,79,長方形5.0:15.8,「商一-1(附)」商業區,60,210,臺南市東區大學路西段25號,透天皇平麵店,1.42
17,D01BB0005,臺南市東區育樂段1583地號,229000,64,長方形4.5:14.2,「商四」商業區,80,320,臺南市東區北門路一段96號,透天電腦伊甸園,2.02
18,D01BB0010,臺南市東區竹篙厝段1935-25地號,133000,93,長方形4.5:20.7,「商一-1(附)」商業區,60,210,臺南市東區崇明路259號,透天文雄眼鏡行,0.46
19,D01BB0011,臺南市東區東安段978-3地號,114000,129,長方形4.7:27.4,「商四」商業區,80,320,臺南市東區東門路二段33號,透天住商不動產,2.45
20,D01BB0012,臺南市東區東寧段602-5地號,188000,87,長方形4.9:18.3,商四(1)中心商業區,80,320,臺南市東區長榮路二段160號,透天長興牙醫,
21,D02BA0001,臺南市南區鹽埕段2164-2地號,86200,112,長方形5.0:22.4,「住二」住宅區,60,150,臺南市南區夏林路76號,透天RECORDS路口牛肉麵店,1.42
22,D02BA0002,臺南市南區新興段209-35地號,111000,109,長方形4.8:22.9,「住五-1」住宅區,60,200,臺南市南區金華路二段205號,透天皇家御櫃,0.55
23,D02BA0003,臺南市南區公英段103地號,100000,88,長方形5.0:17.6,「住六」住宅區,60,220,臺南市南區大同路二段344號,透天巧味鹽酥雞大王,0.3
24,D02BA0006,臺南市南區中和段1410地號、中和段1410-1地號,39000,73,長方形4.9:14.9,「住三」住宅區,60,165,臺南市南區灣裡路346號,透天波波洗衣店,4.03
25,D02BA0008,臺南市南區鹽埕段112地號,114000,96,長方形5.0:19.2,「住六」住宅區,60,220,臺南市南區健康路二段49號,透天住家用,2.17
26,D02BA0009,臺南市南區大忠段387地號,50200,83.09,長方形4.3:19.3,「住四」住宅區,60,180,臺南市南區國民路132號,透天慶仁中醫診所,0
27,D02BA0010,臺南市南區桶盤淺段375-2地號,41100,84,長方形4.3:19.6,「住二」住宅區,60,150,臺南市南區永成路三段115號,透天住家用,1.49
28,D02BA0011,臺南市南區鹽埕段289-56地號,71400,100,長方形4.3:23.3,「住五-1」住宅區,60,200,臺南市南區新興路388號,透天夾寶夾物店,0
29,D02BA0012,臺南市南區鹽埕段230-339地號,65900,89,長方形4.2:21.2,「住四」住宅區,60,180,臺南市南區大成路二段68號,透天住家用,1.87
30,D02BA0013,臺南市南區新興段247-48地號,79900,84,長方形4.4:19.1,「住五-1」住宅區,60,200,臺南市南區建南路209號,透天正發汽車修配廠,
31,D02BB0004,臺南市南區鹽埕段3-614地號,216000,75,長方形4.5:16.6,「商一」商業區,80,320,臺南市南區西門路一段695號,透天4.EVER髮廊,1.57
32,D02BB0005,臺南市南區鹽埕段3-346地號,157000,102,長方形4.5:22.7,「商一」商業區,80,320,臺南市南區西門路一段591號,透天大立眼鏡行,0.19
33,D02BD0007,臺南市南區鹽埕段3001地號,27500,5004,長方形50.0:100.0,乙種工業區,70,210,臺南市南區中華西路一段47號,透天通吉企業公司,2.13
34,D04BA0002,臺南市北區東豐段346-5地號,80800,97,長方形4.5:21.4,「住七」住宅區,60,270,臺南市北區勝利路266號,透天老友小吃店,3.09
35,D04BA0004,臺南市北區小北段407地號,97100,97.1,長方形4.5:21.7,「住四」住宅區,60,180,臺南市北區西門路四段27號,透天永昌香料行,1.26
36,D04BA0006,臺南市北區仁愛段42-150地號,97400,88,長方形4.3:20.5,「住三」住宅區,60,165,臺南市北區東豐路361號,透天住家用,0.94
37,D04BA0007,臺南市北區大興段235-1地號、大興段236-1地號,76500,73.19,長方形4.0:18.3,「住四」住宅區,60,180,臺南市北區文賢路875號,透天喬瓦尼服飾店,2.43
38,D04BA0010,臺南市北區光賢段534-3地號,58700,107.49,長方形4.3:24.9,「住四」住宅區,60,180,臺南市北區賢北街8號,透天住家用,4.86
