"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"24","D02BA0006","臺南市南區中和段1410地號、中和段1410-1地號","39300","73","長方形4.9:14.9","「住三」住宅區","60","165","臺南市南區灣裡路346號","透天波波洗衣店","0.78","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18210401654947,22.925476086101124],[120.1820956198876,22.92551066454594],[120.18225536702755,22.925547716400605],[120.1822805398507,22.925510163113024],[120.18220661473143,22.925498675272305],[120.18210401654947,22.925476086101124]]]}"
"25","D02BA0008","臺南市南區鹽埕段93-112地號","115000","96","長方形5.0:19.2","「住六」住宅區","60","220","臺南市南區健康路二段49號","透天住家用","0.53","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19628689873473,22.98120557750612],[120.19623933693057,22.981206368448667],[120.19623962151327,22.98138676040883],[120.1962873533732,22.981386085012797],[120.19628689873473,22.98120557750612]]]}"
"26","D02BA0009","臺南市南區大忠段387地號","51100","83.09","長方形4.3:19.3","「住四」住宅區","60","180","臺南市南區國民路132號","透天慶仁中醫診所","1.81","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21264708107942,22.967484341104345],[120.2126447233025,22.967655722150532],[120.21266899714468,22.967657197211683],[120.21268682912563,22.967659633602075],[120.21268959783288,22.96748464252381],[120.21264708107942,22.967484341104345]]]}"
"27","D02BA0010","臺南市南區桶盤淺段375-2地號","42000","84","長方形4.3:19.6","「住二」住宅區","60","150","臺南市南區永成路三段115號","透天住家用","2.21","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19534432193625,22.96541264393048],[120.19524864406824,22.96541220173507],[120.19515190030543,22.965412752806653],[120.1951516650804,22.96545133835643],[120.19524822356334,22.965450626511625],[120.19534386295716,22.965451477578593],[120.19534432193625,22.96541264393048]]]}"
"28","D02BA0011","臺南市南區鹽埕段289-56地號","73500","100","長方形4.3:23.3","「住五-1」住宅區","60","200","臺南市南區新興路388號","透天夾寶夾物店","2.97","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1889281805475,22.975280617128913],[120.18892545415945,22.9752985252812],[120.18891636715783,22.975358275414134],[120.18891657488223,22.975360236918544],[120.18891663115323,22.975360776305326],[120.1889279674944,22.97536011189896],[120.1889281805475,22.975280617128913]],[[120.18898480929161,22.975208863571787],[120.18894326980337,22.975209163952016],[120.18893276808534,22.97527767962131],[120.18893237149805,22.97535900386006],[120.18896259954266,22.975356674332566],[120.18898480929161,22.975208863571787]],[[120.18894943569616,22.975155007485096],[120.1889418678042,22.975207788713732],[120.1889844031119,22.975207799550184],[120.1889919387915,22.975159923321936],[120.18894943569616,22.975155007485096]]]}"
"29","D02BA0012","臺南市南區鹽埕段230-339地號","66900","89","長方形4.2:21.2","「住四」住宅區","60","180","臺南市南區大成路二段68號","透天住家用","1.38","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19575927814401,22.975033107214312],[120.19575591263545,22.975222949786307],[120.19575987487828,22.975222981627947],[120.1957966106765,22.97522328268528],[120.19579979116571,22.975033548437207],[120.19575927814401,22.975033107214312]]]}"
"30","D02BA0013","臺南市南區新興段247-48地號","80500","84","長方形4.4:19.1","「住五-1」住宅區","60","200","臺南市南區建南路209號","透天正發汽車修配廠","0.76","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18843951711433,22.98485566493997],[120.18840665319757,22.98485822372556],[120.18839674919158,22.98485898571223],[120.18841222998833,22.98502996904939],[120.18845499796483,22.985026648274577],[120.18843951711433,22.98485566493997]]]}"
"31","D02BB0004","臺南市南區鹽埕段3-614地號","222000","75","長方形4.5:16.6","「商一」商業區","80","320","臺南市南區西門路一段695號","透天4.EVER髮廊","2.81","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19743194811171,22.98716659966233],[120.1972784782249,22.987166625947907],[120.1972771334421,22.987214286489287],[120.19743125357857,22.987206561700628],[120.19743194811171,22.98716659966233]]]}"
"32","D02BB0005","臺南市南區鹽埕段3-346地號","161000","102","長方形4.5:22.7","「商一」商業區","80","320","臺南市南區西門路一段591號","透天大立眼鏡行","2.9","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19725482369199,22.984627310460684],[120.19725487751373,22.98466953202823],[120.19729402027839,22.984670286564025],[120.19730450177263,22.98467048955713],[120.19746977646227,22.98467269832386],[120.19747043217392,22.98463104473152],[120.19725482369199,22.984627310460684]]]}"
"33","D02BD0007","臺南市南區鹽埕段3001地號","28200","5004","長方形50.0:100.0","乙種工業區","70","210","臺南市南區中華西路一段47號","透天通吉企業公司","2.31","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18267846985188,22.968819777994362],[120.18267693778655,22.96900242793211],[120.1826753918,22.969186093683323],[120.18267466724663,22.969272058578028],[120.183650772626,22.96927701246335],[120.18365384064698,22.96882553348506],[120.18352816123324,22.968825138282348],[120.18333506619157,22.96882345752119],[120.18267846985188,22.968819777994362]]]}"
"34","D04BA0002","臺南市北區東豐段346-5地號","82900","97","長方形4.5:21.4","住七住宅區","60","270","臺南市北區勝利路266號","透天老友小吃店","2.62","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21891546876255,23.005595526943463],[120.21890839453415,23.005635205718875],[120.21910734543188,23.005681502887917],[120.21911776204328,23.00564224964998],[120.21891546876255,23.005595526943463]]]}"
"35","D04BA0004","臺南市北區小北段407地號","98300","97.1","長方形4.5:21.7","住四","60","180","臺南市北區西門路四段27號","透天永昌香料行","1.25","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20620713854663,23.006916416264474],[120.20601919660422,23.007003890654495],[120.2060286538488,23.007021898084783],[120.20603862358384,23.00703967691301],[120.20604452285234,23.007037581704036],[120.20612410509061,23.007000930113353],[120.20618925101448,23.0069709796075],[120.20618926053524,23.00696868510099],[120.20622511881406,23.006951889127908],[120.20620713854663,23.006916416264474]]]}"
"36","D04BA0006","臺南市北區仁愛段42-150地號","99800","88","長方形4.3:20.5","住三住宅區","60","165","臺南市北區東豐路361號","透天住家用","2.48","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22513646867542,23.002598596442628],[120.22509330015305,23.002605434168096],[120.22512492020694,23.002778189479628],[120.2251438013746,23.00277573625844],[120.22516968557892,23.00277169638426],[120.22513646867542,23.002598596442628]]]}"
"37","D04BA0007","臺南市北區大興段235-1地號、大興段236-1地號","78700","73.19","長方形4.0:18.3","住四住宅區","60","180","臺南市北區文賢路875號","透天喬瓦尼服飾店","2.77","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19297228300466,23.017722767356005],[120.1929632040051,23.01775908433901],[120.19311719921275,23.017784617263803],[120.19312306161878,23.0177476707317],[120.19297228300466,23.017722767356005]]]}"
"38","D04BA0010","臺南市北區光賢段534-3地號","59900","107.49","長方形4.3:24.9","住四住宅區","60","180","臺南市北區賢北街8號","透天住家用","2.06","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18403956776305,23.00635270908612],[120.18402438581862,23.006389004054732],[120.18425021776748,23.00646997552228],[120.18426742428846,23.006434404337664],[120.18403956776305,23.00635270908612]]]}"
"39","D04BA0011","臺南市北區延平段1102-1地號","95900","91","長方形4.8:19.0","住四住宅區","60","180","臺南市北區公園路764號","透天住家用","2.92","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21120298222823,23.01088936235824],[120.21102667559731,23.01094311344692],[120.21104076719922,23.01098464548948],[120.21119381544896,23.010937841877272],[120.21121668879657,23.010930852735708],[120.21120298222823,23.01088936235824]]]}"
"40","D04BA0013","臺南市北區北元段159地號","121000","171.98","長方形5.8:29.7","住四住宅區","60","180","臺南市北區海安路三段933號","透天住家用","2.56","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19960506134221,23.018013188520296],[120.19959596406834,23.018058848372746],[120.19959508140028,23.018063275882707],[120.19988747602183,23.01811603607049],[120.19989126017602,23.018095370849533],[120.19989312595604,23.018085030881974],[120.19989654468588,23.018065784248538],[120.19960506134221,23.018013188520296]]]}"
"41","D04BA0014","臺南市北區北元段980-65地號","152000","91.29","長方形4.5:20.3","住四住宅區","60","180","臺南市北區和緯路二段492號","透天LG科昌電器","1","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20157331974548,23.01217363425697],[120.20150144493694,23.012343994122773],[120.20154233543408,23.012358775851354],[120.20161446545728,23.012187808623892],[120.20159302009336,23.012180457426062],[120.20157331974548,23.01217363425697]]]}"
"42","D04BB0003","臺南市北區自強段258地號","129000","89","長方形4.6:19.4","商四(1)商業區","80","320","臺南市北區成功路72、76號","透天心心藥局","1.43"," "
"43","D04BB0005","臺南市北區北安段563地號","76200","82.63","長方形4.6:18.0","商五(19)","60","360","臺南市北區北安路一段97號","透天弘昌鈑金材料行","2.86","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21003555991979,23.01634567897925],[120.2099989558039,23.0163709178974],[120.2101030430264,23.016499666801447],[120.21013953661542,23.016474480586194],[120.21003555991979,23.01634567897925]]]}"
"44","D04BB0008","臺南市北區開元段975地號","105000","136","長方形4.5:30.2","商四(1)商業區","80","320","臺南市北區開元路341號","透天佑昇照相館","2.96","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22211181840923,23.00852763218106],[120.22195505708034,23.008757612879744],[120.22199193685779,23.00877899777678],[120.22207923552016,23.00865192737212],[120.22214920259772,23.008549166710598],[120.22211181840923,23.00852763218106]]]}"
"45","D06BA0001","臺南市安南區新順段1000地號","47200","97.41","長方形4.4:22.1","「住六」住宅區","60","240","臺南市安南區安和路三段97號","透天?酥雞大王","2.63","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21762113159866,23.04596337536795],[120.21741907471117,23.046010054508923],[120.21742381824681,23.04605035221164],[120.21763632961392,23.046001286661067],[120.21762113159866,23.04596337536795]]]}"
"46","D06BA0003","臺南市安南區新淵段438地號","48700","132.36","長方形5.1:25.95","「住六」住宅區","60","240","臺南市安南區安中路三段210號","透天住家用","2.55","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17972804923652,23.048126509660857],[120.17967983555882,23.048136809343898],[120.17973670244346,23.048365565144227],[120.1797369329775,23.048366490112734],[120.17978514674473,23.048356188608857],[120.17978491718067,23.048355264548473],[120.17972804923652,23.048126509660857]]]}"
"47","D06BA0004","臺南市安南區安中段265地號","43600","91.39","長方形4.3:21.2","「住四-2」住宅區","60","200","臺南市安南區同安路141號","透天住家用","2.86","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19051873261827,23.04089785224097],[120.19037275030381,23.041030930555316],[120.19040244021562,23.041058895115064],[120.19054851902274,23.04092599786884],[120.19051873261827,23.04089785224097]]]}"
"48","D06BA0005","臺南市安南區溪墘段974地號","87100","142.44","長方形4.9:29.1","「住一」住宅區","50","120","臺南市安南區海佃路一段196號","透天陳昱成耳鼻喉科診所","2.49","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19164961609526,23.024906554531658],[120.19164027890548,23.024950844532125],[120.19191028827848,23.02500631369817],[120.19192108874724,23.02496203115196],[120.19164961609526,23.024906554531658]]]}"
"49","D06BA0007","臺南市安南區公塭段1-2地號","18600","169.88","長方形5.6:30.0","「住三」住宅區","60","165","臺南市安南區十二佃路85號","透天住家用","0.82","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17433370728983,23.068310266068632],[120.1742955299447,23.0683165952815],[120.17427946962162,23.068319265513317],[120.17436467183246,23.0685807229827],[120.17441916796582,23.068572564652214],[120.17433370728983,23.068310266068632]]]}"
"50","D06BA0008","臺南市安南區長安段61地號","26900","89.16","長方形4.3:20.7","「住四」住宅區","60","180","臺南市安南區長和路四段423號","透天住家用","1.95","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19829493714474,23.06705331677178],[120.19825603346361,23.067063865155866],[120.19831670769439,23.067249649156263],[120.1983555132967,23.06723919146452],[120.19829493714474,23.06705331677178]]]}"
"51","D06BA0012","臺南市安南區頂安段150-5地號","42700","88.69","長方形4.2:21.1","「住四」住宅區","60","180","臺南市安南區安中路一段418號","透天住家用","2.17","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20285021879066,23.038859497468035],[120.2028152686533,23.03887961915049],[120.20286014228884,23.039075485634026],[120.2028942727633,23.039054388175813],[120.20285021879066,23.038859497468035]]]}"
"52","D06BA0013","臺南市安南區天馬段27地號","46600","78.1","長方形5.0:15.6","「住三-1」住宅區","55","165","臺南市安南區安中路四段31號","透天住家用","2.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1729861125549,23.04996348794443],[120.17291387799466,23.050095670855985],[120.17295167533061,23.050121965326948],[120.17302622412991,23.049978326372212],[120.1729861125549,23.04996348794443]]]}"
"53","D06BA0014","臺南市安南區淵東段833地號","33300","120.94","長方形4.5:26.8","「住三-1」住宅區","55","165","臺南市安南區本原街三段159號","透天捷誠電腦","2.8","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1755914692025,23.052267965691783],[120.17558523470888,23.052298274066352],[120.17557789442856,23.05233390438907],[120.17557005086502,23.05237206049374],[120.1755411918647,23.05251223658824],[120.17558172063643,23.052522832451537],[120.17563266609947,23.052281003131114],[120.17563387220616,23.052275230203897],[120.1755914692025,23.052267965691783]]]}"
"54","D06BA0016","臺南市安南區海佃段1259地號","49600","96.95","長方形4.8:20.2","「住一」住宅區","50","120","臺南市安南區國安街60號","透天東方美早餐店","1.23","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19008630498584,23.0225936563309],[120.19004928182203,23.022770308345816],[120.19009583582348,23.022778655600483],[120.19013294707437,23.022602109676193],[120.19008630498584,23.0225936563309]]]}"
"55","D06BA0018","臺南市安南區新淵段34-4地號","54800","86.13","長方形4.6:18.7","「住四」住宅區","60","180","臺南市安南區海佃路三段310號","透天住家用","1.69","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17907852581484,23.05285093878211],[120.1790498358237,23.05288335209969],[120.17918994386699,23.052989548480987],[120.17921863287302,23.052957135133024],[120.17907852581484,23.05285093878211]]]}"
"56","D06BA0019","臺南市安南區溪東段102地號","45400","97.88","長方形4.7:21.0","「住一」住宅區","50","120","臺南市安南區北安路二段67號","透天住家用","2.04","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20464786138739,23.02606435556259],[120.20464205527037,23.02610613573991],[120.20484543225488,23.02612937183541],[120.20485123778109,23.026087681947377],[120.20464786138739,23.02606435556259]]]}"
"57","D06BA0020","臺南市安南區外塭段877-34地號","48100","93","長方形4.2:22.1","「住三-1」住宅區","55","165","臺南市安南區安和路五段254號","透天鳳慈素食","1.92","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21708583770487,23.067664013786253],[120.21706854279446,23.067698031971844],[120.21726375323172,23.067781402922236],[120.21728064874671,23.067746577254145],[120.21708861018494,23.06766521136428],[120.21708583770487,23.067664013786253]]]}"
"58","D06BA0021","臺南市安南區州南段97地號","48100","89","長方形3.7:24.0","「住三-1」住宅區","55","165","臺南市安南區安和路四段592號","透天電腦彩券行","1.92","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21880937026484,23.06266287789336],[120.21880834239501,23.062695890396117],[120.21903706487302,23.0627463845425],[120.21904867942177,23.062714659661843],[120.21880937026484,23.06266287789336]]]}"
"59","D06BA0022","臺南市安南區佃西段321地號","24400","111.63","長方形4.5:24.8","「住三」住宅區","60","165","臺南市安南區公學路四段336號","透天住家用","2.15","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17293914690603,23.06521445636665],[120.17293255884192,23.065233746102123],[120.17286349908956,23.065435828373918],[120.17290817402963,23.065437660497523],[120.17297579922773,23.065240356600786],[120.17298078717694,23.06522579924313],[120.17293914690603,23.06521445636665]]]}"
"60","D06BA0023","臺南市安南區新順段1171-2地號","43300","113.99","長方形4.6:24.7","「住六」住宅區","60","240","臺南市安南區北安路三段426號","透天住家用","2.14","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2119385714797,23.04850702787374],[120.21178940701927,23.048685623706884],[120.21182463159708,23.048710781917453],[120.21197379506518,23.048532186046256],[120.2119435448339,23.04851058071349],[120.2119385714797,23.04850702787374]]]}"
"61","D06BA0024","臺南市安南區海東段1480地號","38100","94.6","長方形5.0:18.9","「住一」住宅區","50","120","臺南市安南區大安街32號","素地住家用","1.61","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19140601769026,23.031015494247157],[120.19137450481959,23.03118563766529],[120.19142207328301,23.031193373021065],[120.19145358207604,23.031023412881925],[120.19140972126884,23.031016145279523],[120.19140601769026,23.031015494247157]]]}"
"62","D06BA0025","臺南市安南區海北段848地號","46000","101.13","長方形4.9:20.7","「住五」住宅區","60","210","臺南市安南區海佃路二段776號","透天昱豐空調技術公司","2.7","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18498345636388,23.045902232613535],[120.18495723820622,23.04593881817467],[120.18512649027629,23.046042832485153],[120.18513091906807,23.04603653427325],[120.18515247106679,23.046006123767153],[120.18498345636388,23.045902232613535]]]}"
"63","D06BA0027","臺南市安南區城南段26地號","34200","101.42","長方形3.8:26.6","「住三-1」住宅區","55","165","臺南市安南區城西街一段23號","透天一吉餅店","1.8","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.12933991889096,23.061998430219155],[120.12921465930242,23.062210467449507],[120.12924832886947,23.062225272415557],[120.129371018278,23.06201835000547],[120.12933991889096,23.061998430219155]]]}"
"64","D06BA0029","臺南市安南區安東段1197地號","53200","89.05","長方形4.2:21.0","「住一」住宅區","50","120","臺南市安南區安和路一段72號","透天住家用","2.33","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2150576049185,23.027332500211386],[120.21504304508288,23.027368319979956],[120.21524386373173,23.027426337573704],[120.21524822963326,23.027416566969944],[120.215258333342,23.027393961423805],[120.2150576049185,23.027332500211386]]]}"
