編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%),
61,D06BA0014,臺南市安南區淵東段833地號,69600,120.94,長方形4.5:26.8,,「住三-1」住宅區,55,165,臺南市安南區本原街三段159號,透天捷誠電腦,105.36
62,D06BA0016,臺南市安南區海佃段1259地號,94400,96.95,長方形4.8:20.2,,「住一」住宅區,50,120,臺南市安南區國安街60號,透天東方美早餐店,85.71
63,D06BA0018,臺南市安南區新淵段34-4地號,91700,86.13,長方形4.6:18.7,,「住四」住宅區,60,180,臺南市安南區海佃路三段310號,透天住家用,64.67
64,D06BA0019,臺南市安南區溪東段102地號,96200,97.88,長方形4.7:21.0,,「住一」住宅區,50,120,臺南市安南區北安路二段67號,透天住家用,106.49
65,D06BA0020,臺南市安南區外塭段877-34地號,91100,93,長方形4.2:22.1,,「住三-1」住宅區,55,165,臺南市安南區安和路五段254號,透天鳳慈素食,84.66
66,D06BA0021,臺南市安南區州南段97地號,91700,89,長方形3.7:24.1,,「住三-1」住宅區,55,165,臺南市安南區安和路四段592號,透天電腦彩券行,85.89
67,D06BA0022,臺南市安南區佃西段321地號,39300,111.63,長方形4.5:24.8,,「住三」住宅區,60,165,臺南市安南區公學路四段336號,透天住家用,57.77
68,D06BA0023,臺南市安南區新順段1171-2地號,96800,113.99,長方形4.6:24.7,,「住六」住宅區,60,240,臺南市安南區北安路三段426號,透天住家用,119.18
69,D06BA0024,臺南市安南區海東段1480地號,76500,94.6,長方形5.0:18.9,,「住一」住宅區,50,120,臺南市安南區大安街32號,素地住家用,97.66
70,D06BA0025,臺南市安南區海北段848地號,88900,101.13,長方形4.9:20.7,,「住五」住宅區,60,210,臺南市安南區海佃路二段776號,透天昱豐空調技術公司,88.46
71,D06BA0027,臺南市安南區城南段26地號,42400,101.42,長方形3.8:26.6,,「住三-1」住宅區,55,165,臺南市安南區城西街一段23號,透天一吉餅店,22.81
72,D06BA0029,臺南市安南區安東段1197地號,102000,89.05,長方形4.2:21.0,,「住一」住宅區,50,120,臺南市安南區安和路一段72號,透天住家用,88.27
73,D06BA0030,臺南市安南區安西段2102-3地號,106000,107.53,長方形4.8:22.3,,「住四-1」住宅區,50,180,臺南市安南區北安路二段206號,透天住家用,95.56
74,D06BA0031,臺南市安南區和館段44-822地號,76500,122.48,長方形5.0:24.5,,「住一-1」住宅區,50,135,臺南市安南區長和路一段358號,透天酷柏德式廚房,64.29
75,D06BA0032,臺南市安南區國安段1505-2地號,113000,132.59,長方形6.0:22.1,,「住四-1」住宅區,50,180,臺南市安南區宜居路592號,透天住家用,110.17
76,D06BA0033,臺南市安南區安中段499-29地號,108000,102.23,長方形4.9:20.9,,「住四-2」住宅區,60,200,臺南市安南區安中路一段801號,透天家味自助餐,28.06
77,D06BA0034,臺南市安南區城中段170地號,59000,118.08,長方形4.5:26.0,,低密度住宅區,60,180,臺南市安南區安中路六段645號,透天泉聖便當,48.85
78,D06BB0009,臺南市安南區十字段849地號,95300,74.71,梯形4.4:16.9,,「商10」商業區,80,300,臺南市安南區海佃路三段30號,透天住家用,84.21
79,D06BB0035,臺南市安南區海佃段137地號,127000,3026.43,長方形35.7:84.7,,商業區,60,180,臺南市安南區海佃路一段329號,透天鋼造鐵皮屋(湯姆熊，燦坤),
80,D06BD0006,臺南市安南區科工段31地號、科工段32地號、科工段33地號,24300,42213.05,長方形173.3:244.9,,「工15(科)」乙種工業區,60,240,臺南市安南區本田路二段500號,透天可成科技,25.51
81,D06BD0010,臺南市安南區和工段773地號,56900,361.32,長方形10.0:36.1,,「工乙5」工業區,70,210,臺南市安南區開安三街22號,透天美成工藝社,199.84
82,D06BD0028,臺南市安南區布袋段1227地號,54500,871.33,長方形19.4:44.9,,「工13」工業區,70,210,臺南市安南區工明二路51號,透天德源鑫機械,244.83
83,D06BD0036,臺南市安南區安和段812地號,58100,262.4,梯形9.0:28.0,,「工乙5」工業區,70,210,臺南市安南區安和路二段12、14號,透天工廠(新豐木材行),
84,D06BF0001,臺南市安南區淵南段932地號,14000,1761.09,長方形34.2:89.4,,農業區,0,0,,素地,48.08
85,D06BF0037,臺南市安南區長溪段152地號、長溪段153地號,15700,903.65,梯形36.0:39.0,,農業區,0,0,,素地,
86,D07BA0001,臺南市安平區新南段26-17地號,150000,132,長方形5.3:24.9,,住五住宅區,60,210,台南市安平區府前路二段558號,透天禾春牙醫診所,71.03
87,D07BA0002,臺南市安平區新南段69-21地號,138000,116.38,長方形4.9:23.7,,「住五」住宅區,60,210,臺南市安平區文平路372號,透天萬佳汽車美容,32.27
88,D07BA0004,臺南市安平區新南段127-47地號,185000,126,長方形4.5:28.0,,「住五」住宅區,60,210,臺南市安平區中華西路二段75號,透天美心便當店,62.33
89,D07BA0005,臺南市安平區新南段120-23地號,125000,102,長方形5.0:20.4,,「住五」住宅區,60,210,臺南市安平區永華二街25號,透天住家用,100.49
90,D07BA0006,臺南市安平區金華段42-47地號,114000,129,長方形5.6:23.1,,「住五」住宅區,60,210,臺南市安平區建平八街372巷6號,透天住家用,85.71
91,D07BA0008,臺南市安平區金城段34-35地號,93800,110,長方形4.6:23.9,,住四住宅區,60,180,臺南市安平區光州七街108號,透天住家用,61.46
92,D07BA0009,臺南市安平區金城段55地號,172000,4994,近似梯形62.6:79.8,,住五住宅區,60,210,臺南市安平區永華路二段869號十三樓之3,透天皇鼎格里昂,28.44
93,D07BA0010,臺南市安平區金城段69-27地號,129000,71.1,長方形4.5:15.8,,「住四」住宅區,60,180,臺南市安平區平豐路51號之1,透天住家用,71.08
94,D07BA0011,臺南市安平區新南段127地號、新南段127-43地號,209000,1284,長方形28.0:47.1,,「住五」住宅區,60,210,臺南市安平區中華西路二段81、101號,透天NET服飾店,
95,D07BB0003,臺南市安平區新南段37-19地號,161000,100.1,長方形5.5:18.2,,「商三(11)」商業區,80,280,臺南市安平區慶平路186號,透天住家用,56.01
96,D07BB0007,臺南市安平區妙壽段938地號,82000,67.99,長方形4.0:17.0,,「特商三」特定商業專用區,80,280,臺南市安平區延平街75號,透天鈺佳鐘錶行,13.87
97,D07BB0012,臺南市安平區新南段78-8地號,206000,818,長方形16.1:51.0,,「商三」商業區,80,280,臺南市安平區永華路二段246號,透天小北百貨,
98,D08BA0001,臺南市中西區南廠段2250地號,170000,82.01,長方形4.6:17.9,,住六住宅區,60,240,臺南市中西區金華路三段7號,透天悟饕便當店,28.9
99,D08BA0002,臺南市中西區郡王祠段1852地號,160000,88.85,長方形4.4:20.0,,住四住宅區,60,180,臺南市中西區健康路一段204號,透天林媽媽租屋,33
100,D08BA0003,臺南市中西區成光段1010地號,142000,85,長方形4.3:19.8,,住四住宅區,60,180,臺南市中西區民權路四段206號,透天住家用,56.15
