編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%),
169,D19BD0004,臺南市大內區大內段1480-1地號、大內段1482地號,13300,7483,長方形41.6:147.2,,乙種工業區,70,210,臺南市大內區石湖里石子瀨400號,透天燴豐窯業開發股份有限公司,
171,D19BF0005,臺南市大內區石城段13地號,3100,456,長方形11.6:32.7,,農業區,0,0,,素地,
172,D20BA0004,臺南市佳里區佳里段937-7地號、佳里段940-12地號,77400,81,長方形4.6:17.6,,「住二」住宅區,60,240,臺南市佳里區忠仁里延平路249號,透天明生電器行,16.89
173,D20BA0005,臺南市佳里區佳里段995-14地號,77100,78,長方形4.2:18.6,,「住二」住宅區,60,240,臺南市佳里區中山路204號,透天蘇稔然內科診所,
174,D20BB0003,臺南市佳里區佳里段1634-59地號,101000,69,長方形4.6:15.0,,商業區,80,320,臺南市佳里區東寧里光復路264號,透天上雅禮品行,0.91
175,D20BB0006,臺南市佳里區佳里段1053-10地號,102000,134,長方形4.1:32.5,,「商一」商業區,80,320,臺南市佳里區東寧里中山路378號,透天金百萬銀樓,
176,D20BD0007,臺南市佳里區建南段858地號,27300,100.24,長方形4.6:21.9,,「工(乙)八」工業區,70,210,臺南市佳里區成功路178號,透天邱師傅生煎包,
177,D20BF0008,臺南市佳里區佳東段1075地號,11100,1484.18,長方形20.8:71.2,,農業區,0,0,,素地,
178,D21BA0002,臺南市西港區港南段170地號,35400,88.72,長方形4.4:20.0,,住宅區,60,200,臺南市西港區慶安里慶安路95之7號,透天住家用,19.51
179,D21BA0003,臺南市西港區港安段1010地號、港安段1011地號、港安段1012地號,34800,972.73,長方形20.0:48.7,,住宅區,60,200,臺南市西港區中山路351號,透天郵局,
180,D21BB0001,臺南市西港區慶安段778地號,53800,88.44,長方形3.5:22.6,,商業區,80,320,臺南市西港區西港里中山路350號,透天千日好診所,12.66
181,D21BD0004,臺南市西港區港安段1306地號,20300,864.9,梯形20.0:43.2,,「工(甲)一」甲種工業區,70,210,臺南市西港區中山路495-1號,透天信昌精密股份有限公司,
182,D21BF0005,臺南市西港區州海段1330地號,6400,1550.7,梯形28.6:60.3,,農業區,0,0,,素地,
183,D22BA0001,臺南市七股區七股段693-35地號,22800,70,長方形3.7:18.9,,「住一」住宅區,60,180,臺南市七股區玉成里玉成143號,透天元之氣早餐店,14.24
184,D22BF0002,臺南市七股區三合段383-2地號、三合段414-2地號,3300,1577,長方形16.0:98.6,,農業區,0,0,,素地,
185,D22EA0004,臺南市七股區三合段193地號、三合段194地號,16100,88.49,長方形30.1:24.8,,甲種建築用地,60,240,臺南市七股區大埕里180號(未登記),素地住家用,
186,D22EB0003,臺南市七股區三吉段413地號,12200,88.49,長方形4.8:18.4,,乙種建築用地,60,240,臺南市七股區2鄰三股里22號,透天住家用,
187,D23BA0001,臺南市將軍區西華段369地號,24400,106.37,長方形4.5:23.6,,住宅區,60,150,臺南市將軍區西華里西華65之37號,透天住家用,10.27
188,D23BA0002,臺南市將軍區長榮段782地號,24800,87.93,長方形4.8:18.1,,住宅區,60,150,長榮里長榮108-2號,透天住家用,
189,D23BB0001,臺南市將軍區西華段109地號,30300,105.63,長方形5.7:18.5,,商業區,80,240,臺南市將軍區西華里西華2之5號,透天住家用,0.81
190,D23BB0003,臺南市將軍區西華段314地號,31800,50.95,長方形3.7:13.4,,商業區,80,240,臺南市將軍區3鄰西華44號,透天銘安鑲牙所,
191,D23BD0004,臺南市將軍區忠昌段243地號,13700,813.34,長方形8.4:85.1,,乙種工業區,70,210,臺南市將軍區忠興132之38號,透天白花油國際有限公司,
192,D23BF0005,臺南市將軍區西湖段398地號、西湖段399地號,1600,1588.52,長方形21.1:79.1,,農業區,0,0,,素地,
193,D24BA0001,臺南市北門區保吉段140地號,7100,89.51,長方形4.5:19.9,,住宅區,60,200,臺南市北門區保吉里蚵寮126號,透天住家用,1.29
194,D24BA0002,臺南市北門區保安段474地號,11900,97.41,長方形7.5:12.7,,住宅區,60,200,臺南市北門區東壁里蚵寮714號,透天住家用,
195,D24BB0001,臺南市北門區保吉段335地號,12200,94,長方形4.2:22.3,,商業區,80,280,臺南市北門區保吉里蚵寮202之1號,透天住家用,1.52
196,D24BB0003,臺南市北門區鯤江段437地號,13900,79.61,長方形4.7:17.1,,商業區,80,280,臺南市北門區蚵寮里蚵寮817之2號,透天住家用,
197,D24EA0004,臺南市北門區溪底寮段二重港小段313-17地號,10800,61,梯形4.3:14.2,,甲種建築用地,60,240,臺南市北門區文山里12鄰二重港144號,透天住家用,
198,D24EB0005,臺南市北門區麗湖段652地號,5200,224.83,梯形12.3:18.3,,乙種建築用地,60,240,臺南市北門區玉港里22鄰西埔內72之1號,透天住家用,
199,D25BA0002,臺南市學甲區興善段581地號,25000,83.11,長方形4.5:18.3,,住宅區,60,200,臺南市學甲區仁得里建國路118號,透天住家用,6.99
200,D25BA0003,臺南市學甲區興善段497地號,50200,92.38,長方形4.7:19.6,,住宅區,60,200,臺南市學甲區仁得里中正路147號,透天住家用,
201,D25BB0001,臺南市學甲區慈濟段802地號、慈濟段803地號,75900,72.87,長方形3.9:18.6,,商業區,80,320,臺南市學甲區慈福里中正路240號,透天韓式泡菜鍋,9.13
202,D25BB0004,臺南市學甲區興善段397地號,71700,76.34,長方形4.5:16.9,,商業區,80,320,臺南市學甲區仁得里14鄰中正路213號,透天吉麗百貨,
203,D25BD0005,臺南市學甲區欣榮段505地號、欣榮段506地號、欣榮段507地號,18800,676.73,梯形12.0:88.0,,乙種工業區,60,200,臺南市學甲區華宗路73號,透天透天厝,
204,D25BF0006,臺南市學甲區欣榮段24地號、欣榮段25地號、欣榮段26地號、欣榮段27地號、欣榮段28地號,5200,1307.89,梯形20.0:62.2,,農業區,0,0,,素地,
205,D26BA0002,臺南市新化區新東段697地號,65300,78.27,長方形4.4:17.5,,住宅區,60,180,臺南市新化區復興路236號,透天住家用,26.32
206,D26BA0003,臺南市新化區新安段296地號,90800,82.51,長方形5.6:15.0,,住宅區,60,180,臺南市新化區中興路805號,透天有善生命禮儀,
207,D26BB0002,臺南市新化區新音段341地號,116000,76.6,長方形4.3:17.8,,商業區,80,300,臺南市新化區中山路264號,透天可不可熟成紅茶,21.2
208,D26BB0004,臺南市新化區新安段639-5地號、新安段675地號,119000,125.93,長方形4.6:27.6,,商業區,80,300,臺南市新化區中正路435號,透天店鋪,
209,D26BD0005,臺南市新化區新工段4地號、新工段5地號,35100,4774.68,長方形63.9:69.3,,甲種工業區(供生產事業使用),60,240,臺南市新化區永科七路18號,透天展通精密有限公司,
210,D26BF0006,臺南市新化區新義段1056地號,15200,650.62,梯形28.2:23.1,,農業區,0,0,,素地,
211,D27BA0004,臺南市善化區善昌段1100-16地號,99200,79.2,長方形4.4:18.0,,住宅區,60,180,臺南市善化區光復路142之1號,透天住家用,82.22
212,D27BA0011,臺南市善化區善成段374地號、善成段375地號,121000,67.16,長方形4.5:14.9,,住宅區,60,180,臺南市善化區中山路219之1號,透天三陽機車行,
213,D27BB0008,臺南市善化區善文段542地號、善文段543地號,132000,99.65,長方形4.5:22.1,,商業區,80,300,臺南市善化區中正路483號,透天政惠牙醫診所,18.43
214,D27BB0009,臺南市善化區善文段199地號,151000,53.29,長方形5.3:10.1,,商業區,80,300,臺南市善化區中山路373號,透天透天厝服飾店,
215,D27BB0010,臺南市善化區善新段311-134地號,98900,86.7,長方形5.1:17.0,,生活服務區(第一種商業區),70,180,臺南市善化區龍目井路441號,透天透天厝,
216,D27BD0012,臺南市善化區圳西段497地號,39600,836.17,長方形19.3:43.3,,「工乙(8)」乙種工業區,60,210,,素地,
217,D27BF0013,臺南市善化區善南段321地號,11800,100.1,長方形4.6:21.8,,農業區,0,0,,素地,
218,D28BA0001,臺南市新市區華興段846地號,103000,83.29,長方形4.5:18.6,,住宅區,60,180,臺南市新市區忠孝街165號,透天住家用,69.15
219,D28BA0005,臺南市新市區華興段154地號,115000,78.97,長方形4.3:18.4,,住宅區,60,180,臺南市新市區仁愛街282號,透天國光眼鏡,
220,D28BB0002,臺南市新市區永安段698地號,149000,123.04,長方形5.0:24.6,,商業區,80,300,臺南市新市區中興街61號,透天慶記百貨行,17.94
221,D28BD0006,臺南市新市區南港段1048地號,43600,166.69,長方形7.3:22.8,,乙種工業區,60,210,臺南市新市區中山路184號,透天上品綜合工業,
222,D28BF0007,臺南市新市區七王段678地號,17800,112.36,長方形4.3:26.1,,農業區,0,0,,素地,
223,D29BA0001,臺南市安定區保加段447地號、保加段456地號,65600,219.56,長方形7.6:28.4,,住宅區,60,150,臺南市安定區安定264之5號,透天永翊成瓦斯行,156.5
224,D29BA0002,臺南市安定區保加段93地號,76500,91.29,長方形5.1:25.9,,住宅區,60,150,臺南市安定區安定446之3號,透天住家用透天厝,
225,D29BB0001,臺南市安定區保加段637-2地號,84100,92.08,長方形4.5:20.4,,商業區,80,240,臺南市安定區安定396之3號,透天克里姆晨食店,109.02
226,D29BD0003,臺南市安定區安定段2092-1地號,24600,742,長方形25.8:28.7,,甲種工業區,70,210,臺南市安定區安定258之39號,透天廣成產業股份有限公司,
227,D29BF0004,臺南市安定區安定段2121地號,10200,1691,長方形18.9:80.4,,農業區,0,0,,素地,
228,D30BA0001,臺南市山上區明南段188-2地號,28200,75.2,長方形4.3:17.5,,住宅區,60,180,臺南市山上區明和62之2號,透天住宅,42.23
229,D30BA0003,臺南市山上區玉二段530地號、玉二段638-3地號,45400,70.11,長方形3.7:19.5,,住宅區,60,180,臺南市山上區山上235號,透天住家用,
230,D30BB0002,臺南市山上區樹王段663地號,56000,60.88,長方形3.6:16.9,,商業區,80,260,臺南市山上區南洲55號,透天三陽機車行,37.04
231,D30BF0004,臺南市山上區大新段553-1地號,9000,561.34,長方形14.4:39.1,,農業區,0,0,,素地,
232,D30ED0005,臺南市山上區明北段646地號,32700,1361.41,梯形54.3:28.2,,工業區丁種建築用地,70,300,,素地,
233,D31EB0001,臺南市左鎮區左鎮段570-141地號,12800,88,長方形4.4:21.0,,乙種建築用地,60,240,臺南市左鎮區中正路156之10號,透天佳行診所,3.42
234,D31EC0003,臺南市左鎮區菜寮段381-24地號、菜寮段381-37地號,11000,91,長方形4.0:22.0,,丙種建築用地,40,120,臺南市左鎮區菜寮62之22號,透天住家用,6.41
235,D31ED0004,臺南市左鎮區光和段338-1地號,4400,1614,不規則形48.0:37.6,,一般農業區丁種建築用地,70,300,,素地,
236,D31EE0002,臺南市左鎮區左鎮段562地號,2400,2425,不規則形21.5:106.9,,一般農業區農牧用地,0,0,,素地,
237,D32BA0001,臺南市仁德區義林段38-1地號,80200,106.2,長方形4.5:23.6,,「住二」住宅區,60,200,臺南市仁德區義林六街55號,透天住家用,124.58
238,D32BA0006,臺南市仁德區中正段225地號,128000,74.09,長方形4.3:17.2,,「住三」住宅區,60,200,臺南市仁德區中正路二段1199號,透天大溪地加水站,
239,D32BB0002,臺南市仁德區正義段900地號,158000,100.93,長方形4.6:21.9,,「商一」商業區,80,350,臺南市仁德區中山路572號,透天仁愛牙醫,29.78
240,D32BB0003,臺南市仁德區正義段1183地號,161000,68.35,長方形4.8:14.2,,「商一」商業區,80,350,臺南市仁德區中正路三段1號,透天同喬牙醫,
241,D32BD0007,臺南市仁德區崁腳北段507地號,76200,201.15,長方形27.2:6.2,,乙種工業區,70,210,,素地,
242,D32BF0008,臺南市仁德區崁腳南段787地號,13300,543.97,長方形43.4:12.2,,農業區,0,0,,素地,
243,D33BA0004,臺南市歸仁區歸仁北段492-6地號、歸仁北段498-8地號、歸仁北段498-5地號,142000,80,長方形4.3:18.6,,住宅區,60,200,臺南市歸仁區中山路二段211號,透天宏仁牙醫,33.81
245,D33BA0006,臺南市歸仁區歸仁北段529-47地號、歸仁北段529-117地號,144000,93,長方形4.2:21.7,,住宅區,60,200,臺南市歸仁區中山路二段111號,透天劉光洪眼科診所,
246,D33BB0002,臺南市歸仁區歸仁北段1130-79地號,156000,101,長方形4.3:23.5,,商業區,80,320,臺南市歸仁區中山路一段605號,透天EASY SHOP,40.22
247,D33BB0007,臺南市歸仁區歸仁北段1141-29地號、歸仁北段1140-16地號,112000,83,長方形4.2:19.0,,商業區,80,320,臺南市歸仁區大仁街31號,透天未營業店面,
248,D33BD0008,臺南市歸仁區南興段339地號、南興段340地號、南興段341地號,40800,333.25,長方形7.8:43.1,,甲種工業區,70,210,臺南市歸仁區中山路三段400號,透天東大鐵工,
249,D33BF0009,臺南市歸仁區歸仁北段1610-1地號,11400,213,長方形15.7:11.1,,農業區,0,0,,素地,
250,D34BA0001,臺南市關廟區民生段199地號,47500,97,長方形4.6:21.0,,住宅區,60,200,臺南市關廟區南雄路一段1158號,透天住家用,66.67
251,D34BA0002,臺南市關廟區南雄段933地號,35400,79,長方形4.2:18.9,,住宅區,60,200,臺南市關廟區大富街65號,透天住家用,
252,D34BB0001,臺南市關廟區文衡段278地號、文衡段279地號,69900,126,長方形5.0:25.2,,商業區,80,320,臺南市關廟區南雄路二段10號,透天同懋毛巾,45.28
253,D34BD0003,臺南市關廟區五甲段2040-15地號,36300,258,梯形9.2:21.8,,工業區,60,210,臺南市關廟區中山路二段257號(未登記),透天益欣建材有限公司(未登記),
254,D34BF0004,臺南市關廟區南雄段539地號,8000,764,長方形15.2:54.2,,農業區,0,0,,素地,
255,D35EB0001,臺南市龍崎區崎頂段1403地號,13800,60,長方形4.0:15.0,,乙種建築用地,60,240,臺南市龍崎區新市子328號,透天住家用,160.57
256,D35EC0003,臺南市龍崎區龍船段229-18地號、龍船段229-23地號,9500,456,長方形19.8:23.0,,丙種建築用地,40,120,臺南市龍崎區後壁溪27號,透天順興煤氣行,
257,D35ED0004,臺南市龍崎區龍船段1261-10地號,4400,1443,倒梯形25.0:26.2,,丁種建築用地,70,300,,素地,
258,D35EE0002,臺南市龍崎區龍船段402-32地號,2500,2998,不規則形59.9:22.9,,山坡地保育區農牧用地,0,0,,素地,
259,D36BA0001,臺南市玉井區玉中段446地號,38400,63.79,長方形3.6:18.0,,住宅區,60,200,臺南市玉井區中正路46號,透天住家用,18.69
260,D36BB0001,臺南市玉井區玉田段231地號,50200,113.93,長方形5.0:21.9,,商業區,80,320,臺南市玉井區中正路149號,透天住家用,32.8
261,D36BB0002,臺南市玉井區玉中段161地號,54800,63.53,長方形5.9:10.8,,商業區,80,320,臺南市玉井區中正路55號（未登記）,透天玉天冰舖,
262,D36BD0003,臺南市玉井區佛聖段310地號,9300,949.23,不規則形35.5:21.7,,「工乙」乙種工業區,60,210,臺南市玉井區焦吧哖東路228號,透天黃金蕎麥探索館,
263,D36BF0004,臺南市玉井區玉南段613-2地號,2400,1000,長方形14.0:71.8,,農業區,0,0,,素地,
264,D37BA0001,臺南市楠西區東勢段496-8地號、東勢段726-6地號,15400,85.69,長方形4.5:16.5,,住宅區,60,150,臺南市楠西區東勢路116號,透天住家用,24.51
265,D37BA0002,臺南市楠西區中興段795地號,17800,175.62,長方形4.5:39.0,,「住四」住宅區,60,150,臺南市楠西區中興路37之7號,透天住家用,
266,D37BB0001,臺南市楠西區埔尾段555地號,20100,91.36,長方形5.5:16.7,,商業區,80,240,臺南市楠西區中正路104號,透天住家用,15.45
267,D37BD0004,臺南市楠西區永興段83地號,6900,2706.89,不規則形135.0:16.1,,乙種工業區,70,210,,素地,
268,D37BF0003,臺南市楠西區中興段34地號,1500,737.66,不規則形52.0:16.2,,農業區,0,0,,素地,
269,D38EB0001,臺南市南化區南庄段262地號,13500,57.14,長方形3.9:14.2,,乙種建築用地,60,240,臺南市南化區南化里178號（未登記）,素地住家用（未登記）,0.22
270,D38EC0004,臺南市南化區南化段1118-18地號,9500,84,長方形4.4:19.5,,丙種建築用地,40,120,臺南市南化區南化31之25號,透天住家用,100
271,D38EE0002,臺南市南化區南庄段121地號,1500,2165.42,不規則形59.0:43.9,,農牧用地,0,0,,素地,
272,D38EE0003,臺南市南化區北寮段381-2地號,1400,2016,長方形27.0:77.0,,農牧用地,0,0,,素地,38.24
273,D39BA0001,臺南市永康區成功段690地號,122000,77.47,長方形4.4:16.9,,住宅區,60,200,臺南市永康區忠義街2號,透天美商玫琳凱美容坊,64.08
274,D39BA0003,臺南市永康區鹽東段1269地號,91700,84.03,長方形4.4:19.3,,住宅區,60,200,臺南市永康區新行街56號,透天住家用,52.26
275,D39BA0005,臺南市永康區四維段89地號,82300,89.52,長方形5.9:15.1,,住宅區,60,200,臺南市永康區八德街368號,透天住家用,74.36
276,D39BA0006,臺南市永康區永信段1325地號,121000,82.04,長方形5.0:16.4,,住宅區,60,200,臺南市永康區復國一路446號,透天筒仔米糕,59.36
277,D39BA0007,臺南市永康區橋北段31-6地號,159000,91.21,長方形4.3:21.1,,住宅區,60,175,臺南市永康區東橋一路362號,透天住家用,60.37
278,D39BA0008,臺南市永康區龍安段1614地號,80200,85.22,長方形4.1:20.8,,住宅區,60,200,臺南市永康區龍安街157號,透天住家用,86.62
279,D39BA0011,臺南市永康區北灣段50地號,80500,83.88,長方形4.5:18.6,,住宅區,60,200,臺南市永康區文賢街307號,透天住家用,127.35
280,D39BA0013,臺南市永康區富強段1103地號,99800,82.68,長方形4.3:19.2,,住宅區,60,200,臺南市永康區富強路一段295號,透天中西式早餐,134.04
281,D39BA0014,臺南市永康區南工段1021地號,194000,101.64,長方形5.0:20.2,,住宅區,60,200,臺南市永康區中華路398號,透天小時候甜湯,18.74
282,D39BA0015,臺南市永康區頂安段224地號,140000,72.74,長方形4.1:17.5,,住宅區,60,200,臺南市永康區中華路911號,透天嗚哇運動空間,108.56
283,D39BA0016,臺南市永康區蔦松南段561地號,74100,94.43,長方形4.4:21.4,,住宅區,60,200,臺南市永康區中正北路521巷8弄7號,透天住家用,113.04
284,D39BA0019,臺南市永康區大灣段8747-2地號,141000,122,長方形5.1:23.9,,住宅區,60,200,臺南市永康區大灣路866號,透天和美運動休閒特賣會,50.49
285,D39BA0020,臺南市永康區兵南段545地號,204000,3619.58,長方形40.0:90.5,,住宅區,60,200,臺南市永康區中華路1之107號,透天金三角辦公大樓,
286,D39BB0002,臺南市永康區大灣段6096-1地號,132000,83,長方形4.3:19.3,,商業區,80,330,臺南市永康區永忠路82號,透天住家用,88.36
287,D39BB0004,臺南市永康區大灣段7187-1地號,126000,82,長方形4.5:18.2,,商業區,80,330,臺南市永康區國光七街3巷25號,透天住家用,96.7
288,D39BB0017,臺南市永康區鹽中段104地號,160000,122.58,長方形4.1:30.7,,商業區,80,330,臺南市永康區中正路589號,透天日本服飾,44.26
289,D39BB0021,臺南市永康區橋北段54地號,201000,6803.44,長方形81.3:83.7,,商業區,80,320,,素地聯上康橋大樓(預售屋),
290,D39BD0009,臺南市永康區鹽西段1333地號,57800,445.99,梯形13.4:33.4,,工業區,70,210,臺南市永康區洲工街8號,透天鉦億實業,81.9
291,D39BD0012,臺南市永康區竹行段1546地號,52000,4035.54,梯形39.9:100.7,,工業區,70,210,臺南市永康區經建路11號,透天世鴻食品,152.57
292,D39BD0022,臺南市永康區永安段121地號,75000,1992.18,長方形27.3:73.0,,物流及轉運服務設施專用區,50,200,,素地,
293,D39BF0018,臺南市永康區大灣段5288地號,16700,1500,長方形15.0:100.0,,農業區,0,0,,素地,27.78
294,D39BF0023,臺南市永康區三民段763地號,21300,2128.93,梯形28.0:76.0,,農業區,0,0,,素地,
