"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"16","D01BB0004","臺南市東區育樂段98地號","195000","79","長方形5.0:15.8","「商一-1(附)」商業區","60","210","臺南市東區大學路西段25號","透天皇平麵店","1.42","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21749022780398,22.996153682147852],[120.2174450961686,22.99616024806532],[120.21744393153787,22.99616041749681],[120.2174581158442,22.996303412299145],[120.21750600779352,22.996295852249574],[120.21749022780398,22.996153682147852]]]}"
"17","D01BB0005","臺南市東區育樂段1583地號","229000","64","長方形4.5:14.2","「商四」商業區","80","320","臺南市東區北門路一段96號","透天電腦伊甸園","2.02","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21184425136572,22.991768687222496],[120.21170480071993,22.991776613604028],[120.21170728526859,22.991816890494228],[120.21184953930613,22.991808772170323],[120.21184425136572,22.991768687222496]]]}"
"18","D01BB0010","臺南市東區竹篙厝段1935-25地號","133000","93","長方形4.5:20.7","「商一-1(附)」商業區","60","210","臺南市東區崇明路259號","透天文雄眼鏡行","0.46","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22104320605438,22.976696520376446],[120.22101594822283,22.976726673643988],[120.22116951372095,22.976848063319093],[120.2212009364272,22.976820033617226],[120.22104320605438,22.976696520376446]]]}"
"19","D01BB0011","臺南市東區東安段978-3地號","114000","129","長方形4.7:27.4","「商四」商業區","80","320","臺南市東區東門路二段33號","透天住商不動產","2.45","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21966364936183,22.986482675250627],[120.2196195910277,22.986496363830042],[120.2197446390464,22.98672971680168],[120.21978164931204,22.98671337564076],[120.21966364936183,22.986482675250627]]]}"
"20","D01BB0012","臺南市東區東寧段602-5地號","188000","87","長方形4.9:18.3","商四(1)中心商業區","80","320","臺南市東區長榮路二段160號","透天長興牙醫"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22022259231754,22.989455611635883],[120.2200813440048,22.98955233833622],[120.22010555594275,22.989582447591282],[120.220109099291,22.98958246774158],[120.22011075109609,22.989584413745234],[120.22011295962056,22.989582489452076],[120.22011650979607,22.98958250963585],[120.22025165937484,22.98949000429196],[120.22022759766244,22.98946158714753],[120.22022259231754,22.989455611635883]]]}"
"21","D02BA0001","臺南市南區鹽埕段2164-2地號","86200","112","長方形5.0:22.4","「住二」住宅區","60","150","臺南市南區夏林路76號","透天RECORDS路口牛肉麵店","1.42","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1945986754035,22.982913826911645],[120.19459679322945,22.98295821850464],[120.19481435752682,22.98296421838227],[120.19481606504411,22.982919663355297],[120.1945986754035,22.982913826911645]]]}"
"22","D02BA0002","臺南市南區新興段209-35地號","111000","109","長方形4.8:22.9","「住五-1」住宅區","60","200","臺南市南區金華路二段205號","透天皇家御櫃","0.55","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19145884781888,22.98230804233231],[120.1912301892554,22.98232278667097],[120.19123080545609,22.982330682146888],[120.19123346125075,22.982364585767964],[120.19146211072298,22.982349742048513],[120.19145884781888,22.98230804233231]]]}"
"23","D02BA0003","臺南市南區公英段103地號","100000","88","長方形5.0:17.6","「住六」住宅區","60","220","臺南市南區大同路二段344號","透天巧味鹽酥雞大王","0.3","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21375261903813,22.975836780549542],[120.21374010145337,22.975877269338348],[120.21375548616055,22.97588096855205],[120.21383875120704,22.975903444039616],[120.21392216937141,22.975925418165843],[120.21393138907148,22.975884003669695],[120.21375261903813,22.975836780549542]]]}"
"24","D02BA0006","臺南市南區中和段1410地號、中和段1410-1地號","39000","73","長方形4.9:14.9","「住三」住宅區","60","165","臺南市南區灣裡路346號","透天波波洗衣店","4.03","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18210401654947,22.925476086101124],[120.1820956198876,22.92551066454594],[120.18225536702755,22.925547716400605],[120.1822805398507,22.925510163113024],[120.18220661473143,22.925498675272305],[120.18210401654947,22.925476086101124]]]}"
"25","D02BA0008","臺南市南區鹽埕段112地號","114000","96","長方形5.0:19.2","「住六」住宅區","60","220","臺南市南區健康路二段49號","透天住家用","2.17"," "
"26","D02BA0009","臺南市南區大忠段387地號","50200","83.09","長方形4.3:19.3","「住四」住宅區","60","180","臺南市南區國民路132號","透天慶仁中醫診所","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21264708107942,22.967484341104345],[120.2126447233025,22.967655722150532],[120.21266899714468,22.967657197211683],[120.21268682912563,22.967659633602075],[120.21268959783288,22.96748464252381],[120.21264708107942,22.967484341104345]]]}"
"27","D02BA0010","臺南市南區桶盤淺段375-2地號","41100","84","長方形4.3:19.6","「住二」住宅區","60","150","臺南市南區永成路三段115號","透天住家用","1.49","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19534432193625,22.96541264393048],[120.19524864406824,22.96541220173507],[120.19515190030543,22.965412752806653],[120.1951516650804,22.96545133835643],[120.19524822356334,22.965450626511625],[120.19534386295716,22.965451477578593],[120.19534432193625,22.96541264393048]]]}"
"28","D02BA0011","臺南市南區鹽埕段289-56地號","71400","100","長方形4.3:23.3","「住五-1」住宅區","60","200","臺南市南區新興路388號","透天夾寶夾物店","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1889281805475,22.975280617128913],[120.18892545415945,22.9752985252812],[120.18891636715783,22.975358275414134],[120.18891657488223,22.975360236918544],[120.18891663115323,22.975360776305326],[120.1889279674944,22.97536011189896],[120.1889281805475,22.975280617128913]],[[120.18898480929161,22.975208863571787],[120.18894326980337,22.975209163952016],[120.18893276808534,22.97527767962131],[120.18893237149805,22.97535900386006],[120.18896259954266,22.975356674332566],[120.18898480929161,22.975208863571787]],[[120.18894943569616,22.975155007485096],[120.1889418678042,22.975207788713732],[120.1889844031119,22.975207799550184],[120.1889919387915,22.975159923321936],[120.18894943569616,22.975155007485096]]]}"
"29","D02BA0012","臺南市南區鹽埕段230-339地號","65900","89","長方形4.2:21.2","「住四」住宅區","60","180","臺南市南區大成路二段68號","透天住家用","1.87","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19575927814401,22.975033107214312],[120.19575591263545,22.975222949786307],[120.19575987487828,22.975222981627947],[120.1957966106765,22.97522328268528],[120.19579979116571,22.975033548437207],[120.19575927814401,22.975033107214312]]]}"
"30","D02BA0013","臺南市南區新興段247-48地號","79900","84","長方形4.4:19.1","「住五-1」住宅區","60","200","臺南市南區建南路209號","透天正發汽車修配廠"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18843951711433,22.98485566493997],[120.18840665319757,22.98485822372556],[120.18839674919158,22.98485898571223],[120.18841222998833,22.98502996904939],[120.18845499796483,22.985026648274577],[120.18843951711433,22.98485566493997]]]}"
"31","D02BB0004","臺南市南區鹽埕段3-614地號","216000","75","長方形4.5:16.6","「商一」商業區","80","320","臺南市南區西門路一段695號","透天4.EVER髮廊","1.57","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19743194811171,22.98716659966233],[120.1972784782249,22.987166625947907],[120.1972771334421,22.987214286489287],[120.19743125357857,22.987206561700628],[120.19743194811171,22.98716659966233]]]}"
"32","D02BB0005","臺南市南區鹽埕段3-346地號","157000","102","長方形4.5:22.7","「商一」商業區","80","320","臺南市南區西門路一段591號","透天大立眼鏡行","0.19","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19725482369199,22.984627310460684],[120.19725487751373,22.98466953202823],[120.19729402027839,22.984670286564025],[120.19730450177263,22.98467048955713],[120.19746977646227,22.98467269832386],[120.19747043217392,22.98463104473152],[120.19725482369199,22.984627310460684]]]}"
"33","D02BD0007","臺南市南區鹽埕段3001地號","27500","5004","長方形50.0:100.0","乙種工業區","70","210","臺南市南區中華西路一段47號","透天通吉企業公司","2.13","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18267846985188,22.968819777994362],[120.18267693778655,22.96900242793211],[120.1826753918,22.969186093683323],[120.18267466724663,22.969272058578028],[120.183650772626,22.96927701246335],[120.18365384064698,22.96882553348506],[120.18352816123324,22.968825138282348],[120.18333506619157,22.96882345752119],[120.18267846985188,22.968819777994362]]]}"
"34","D04BA0002","臺南市北區東豐段346-5地號","80800","97","長方形4.5:21.4","「住七」住宅區","60","270","臺南市北區勝利路266號","透天老友小吃店","3.09","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21891546876255,23.005595526943463],[120.21890839453415,23.005635205718875],[120.21910734543188,23.005681502887917],[120.21911776204328,23.00564224964998],[120.21891546876255,23.005595526943463]]]}"
"35","D04BA0004","臺南市北區小北段407地號","97100","97.1","長方形4.5:21.7","「住四」住宅區","60","180","臺南市北區西門路四段27號","透天永昌香料行","1.26","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20620713854663,23.006916416264474],[120.20601919660422,23.007003890654495],[120.2060286538488,23.007021898084783],[120.20603862358384,23.00703967691301],[120.20604452285234,23.007037581704036],[120.20612410509061,23.007000930113353],[120.20618925101448,23.0069709796075],[120.20618926053524,23.00696868510099],[120.20622511881406,23.006951889127908],[120.20620713854663,23.006916416264474]]]}"
