"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"59","D06BA0022","臺南市安南區佃西段321地號","23900","111.63","長方形4.5:24.8","「住三」住宅區","60","165","臺南市安南區公學路四段336號","透天世代中藥行","1.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17293914690603,23.06521445636665],[120.17293255884192,23.065233746102123],[120.17286349908956,23.065435828373918],[120.17290817402963,23.065437660497523],[120.17297579922773,23.065240356600786],[120.17298078717694,23.06522579924313],[120.17293914690603,23.06521445636665]]]}"
"60","D06BA0023","臺南市安南區新順段1171-2地號","42400","113.99","長方形4.6:24.7","「住六」住宅區","60","240","臺南市安南區北安路三段426號","透天住家用","2.19","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2119385714797,23.04850702787374],[120.21178940701927,23.048685623706884],[120.21182463159708,23.048710781917453],[120.21197379506518,23.048532186046256],[120.2119435448339,23.04851058071349],[120.2119385714797,23.04850702787374]]]}"
"61","D06BA0024","臺南市安南區海東段1480地號","37500","94.6","長方形5.0:18.9","「住一」住宅區","50","120","臺南市安南區大安街32號","透天住家用","2.48","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19140601769026,23.031015494247157],[120.19137450481959,23.03118563766529],[120.19142207328301,23.031193373021065],[120.19145358207604,23.031023412881925],[120.19140972126884,23.031016145279523],[120.19140601769026,23.031015494247157]]]}"
"62","D06BA0025","臺南市安南區海北段848地號","44800","101.13","長方形4.9:20.7","「住五」住宅區","60","210","臺南市安南區海佃路二段776號","透天昱豐空調技術公司","2.07","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18498345636388,23.045902232613535],[120.18495723820622,23.04593881817467],[120.18512649027629,23.046042832485153],[120.18513091906807,23.04603653427325],[120.18515247106679,23.046006123767153],[120.18498345636388,23.045902232613535]]]}"
"63","D06BA0027","臺南市安南區城南段26地號","33600","101.42","長方形3.8:26.6","「住三-1」住宅區","55","165","臺南市安南區城西街一段23號","透天一吉餅店","0.91","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.12933991889096,23.061998430219155],[120.12921465930242,23.062210467449507],[120.12924832886947,23.062225272415557],[120.129371018278,23.06201835000547],[120.12933991889096,23.061998430219155]]]}"
"64","D06BA0029","臺南市安南區安東段1197地號","52000","89.05","長方形4.2:21.0","「住一」住宅區","50","120","臺南市安南區安和路一段72號","透天住家用","2.38","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2150576049185,23.027332500211386],[120.21504304508288,23.027368319979956],[120.21524386373173,23.027426337573704],[120.21524822963326,23.027416566969944],[120.215258333342,23.027393961423805],[120.2150576049185,23.027332500211386]]]}"
"65","D06BA0030","臺南市安南區安西段2102-3地號","52300","107.53","長方形4.8:22.3","「住四-1」住宅區","50","180","臺南市安南區北安路二段206號","透天住家用","2.98","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20462148398641,23.03112901436268],[120.20461548835972,23.031172283520366],[120.20483669437476,23.031175195080746],[120.20483736036068,23.03113185578375],[120.20462148398641,23.03112901436268]]]}"
"66","D06BA0031","臺南市安南區和館段44-822地號","45100","122.48","長方形5.0:24.5","「住一-1」住宅區","50","135","臺南市安南區長和路一段358號","透天酷柏德式廚房","1.36","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22923647986376,23.06180723584226],[120.22922430023898,23.06181918015532],[120.22922328549224,23.061820179353564],[120.22920300274312,23.061840079396635],[120.22937689063946,23.06199185541748],[120.22940298596134,23.06196625590118],[120.22941036580092,23.06195901272022],[120.22923647986376,23.06180723584226]]]}"
"67","D06BA0032","臺南市安南區國安段1505-2地號","50200","132.59","長方形6.0:22.1","「住四-1」住宅區","50","180","臺南市安南區宜居路592號","透天住家用","2.47","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18415466255358,23.02560853983294],[120.18414686666307,23.025641580392264],[120.18414217525846,23.025661472020367],[120.18435280367122,23.02570404733201],[120.18436529284027,23.025651115136057],[120.18415466255358,23.02560853983294]]]}"
"68","D06BA0033","臺南市安南區安中段499-29地號","81700","102.23","長方形4.9:20.9","「住四」住宅區","60","200","臺南市安南區安中路一段801號","透天家味自助餐"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19314074650597,23.044117846622818],[120.193101857037,23.04414000393365],[120.19321622360378,23.044306812765296],[120.19325475905252,23.044284139811104],[120.19314074650597,23.044117846622818]]]}"
"69","D06BB0009","臺南市安南區十字段849地號","49600","74.71","梯形4.4:16.9","「商10」商業區","80","300","臺南市安南區海佃路三段30號","透天住家用","2.5","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1836006934921,23.04767832699314],[120.18357308314101,23.047710060494556],[120.1835961079392,23.04772679464645],[120.1836191327431,23.047743528795134],[120.18368956723428,23.047794731547352],[120.18371225223406,23.04778690221332],[120.18373806612121,23.047778005421915],[120.1836006934921,23.04767832699314]]]}"
"70","D06BB0017","臺南市安南區城中段170地號","38400","118.08","長方形4.7:25.1","「商30」商業區","60","180","臺南市安南區安中路六段645號","透天泉聖便當","0.79","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.12865957936528,23.063578891295602],[120.1286472412774,23.063600585417678],[120.12863887304826,23.063615154231844],[120.1288632030369,23.063724840406106],[120.12888390931855,23.063688576536695],[120.12865957936528,23.063578891295602]]]}"
"71","D06BD0006","臺南市安南區科工段31地號、科工段32地號、科工段33地號","18300","42213.05","長方形173.3:244.9","「工15(科)」乙種工業區","60","240","臺南市安南區本田路二段500號","透天可成科技","2.37","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.15476098489233,23.03630052996145],[120.15447339938129,23.03654538771157],[120.15431771475104,23.03667139099499],[120.15396115449312,23.03694392259693],[120.15412716330117,23.037052384850938],[120.15396723290367,23.03716895578887],[120.15503064186996,23.037863773746686],[120.1550412478885,23.037870460232234],[120.15504697340137,23.03787387706865],[120.15505275704149,23.037877203915283],[120.15505861149244,23.037880440839853],[120.15506452412694,23.03788357874493],[120.15507049592067,23.03788661763569],[120.15507652681725,23.03788956654184],[120.1550826071728,23.03789240735187],[120.15508873687459,23.037895158125153],[120.15509492573557,23.037897809884115],[120.15510116405545,23.037900353546902],[120.15510744197061,23.037902806217893],[120.15511376933337,23.037905152598604],[120.15512013640966,23.037907389025126],[120.15512655288283,23.037909527288125],[120.15513299923974,23.037911567283412],[120.15513948530447,23.037913498227393],[120.15514601107145,23.037915321023103],[120.1551525667277,23.037917044648065],[120.15516893168673,23.037920850608753],[120.15517223814543,23.037921502174537],[120.15517441150605,23.037921892139362],[120.15517659489916,23.037922237910717],[120.15517877851184,23.037922548466177],[120.15518097205567,23.037922831081634],[120.15518316582472,23.037923077578203],[120.1551853696319,23.03792327897833],[120.15518757360798,23.037923453289316],[120.1551897778149,23.037923590578472],[120.15519199199235,23.037923693606814],[120.15519420640065,23.037923759613303],[120.15519641127757,23.03792378944884],[120.15519862613628,23.037923783217625],[120.1552008412202,23.037923740867555],[120.15520304677837,23.037923661443543],[120.15520526230706,23.037923547758705],[120.15520746831,23.037923396999936],[120.15520966472523,23.037923219099916],[120.15521187020289,23.03792299609823],[120.15521406810049,23.03792273693598],[120.15521625544037,23.037922449724306],[120.15521843324318,23.037922127244624],[120.15522061132188,23.037921760519367],[120.15522278957508,23.03792136580198],[120.15522494854028,23.037920934861503],[120.1552271077307,23.03792046780219],[120.1552292476331,23.037919964519812],[120.15523138770435,23.037919434148257],[120.15523350854393,23.03791885852395],[120.1552356197958,23.037918255758374],[120.15523772151623,23.037917616821836],[120.15523981370528,23.037916941714354],[120.15524188654999,23.037916239413487],[120.15524394986329,23.03791550094167],[120.15524600364517,23.037914726298897],[120.15524985462183,23.037913173837012],[120.15527157802958,23.037903529309776],[120.1552817250312,23.037898708194934],[120.1552917871931,23.037893723183217],[120.15530174206938,23.037888575057785],[120.15531161009828,23.037883272054792],[120.15532137180598,23.037877807749304],[120.1553310272093,23.03787217943236],[120.15534057619006,23.037866406066428],[120.1553500188045,23.037860478621777],[120.155359345296,23.037854397046363],[120.1553685556646,23.03784816134017],[120.15539047729833,23.037832383769825],[120.15563388831731,23.037644109055748],[120.155786406489,23.037520661142917],[120.15613220116805,23.03722397228321],[120.15476098489233,23.03630052996145]]]}"
"72","D06BD0010","臺南市安南區和工段773地號","18300","361.32","長方形10.0:36.1","「工乙5」工業區","70","210","臺南市安南區開安三街22號","透天美成工藝社","1.34","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22460725277092,23.047865366591793],[120.22452056162777,23.047906841169063],[120.2246824416511,23.048196778900078],[120.22476903587788,23.048155213462373],[120.22460725277092,23.047865366591793]]]}"
"73","D06BD0028","臺南市安南區布袋段1227地號","15100","871.33","長方形19.4:44.9","「工13」工業區","70","210","臺南市安南區工明二路51號","透天德源鑫機械","2.67","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20725920596341,23.06009266027808],[120.20714864756685,23.060121525716703],[120.20714648759339,23.06012209280658],[120.20704534111937,23.0601484950231],[120.2070434646125,23.06014898226299],[120.20694202487442,23.060175464211774],[120.20694108659418,23.060175712346016],[120.20683871834865,23.06020243338065],[120.20689028708358,23.060371572400705],[120.20731077519098,23.060261799176725],[120.20725920596341,23.06009266027808]]]}"
"74","D06BF0001","臺南市安南區淵南段932地號","9200","1761.09","長方形34.2:89.4","農業區","0","0"," ","素地"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.15694358038144,23.05432445199245],[120.15661379911212,23.05507027343176],[120.15691086960922,23.05494710049254],[120.15714672710742,23.054413692261814],[120.15694358038144,23.05432445199245]]]}"
"75","D07BA0001","臺南市安平區新南段26-17地號","82900","132","長方形5.3:24.9","「住五」住宅區","60","210","臺南市安平區府前路二段558號","透天禾春牙醫診所","2.62","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18530517773544,22.9930756623218],[120.18525480864676,22.993085544097582],[120.18530538310333,22.993306418705185],[120.18535482460952,22.993296712747682],[120.1853557523255,22.993296527886024],[120.18530517773544,22.9930756623218]]]}"
"76","D07BA0002","臺南市安平區新南段69-21地號","98300","116.38","長方形4.9:23.7","「住五」住宅區","60","210","臺南市安平區文平路372號","透天萬佳汽車美容","6.21","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1788426094357,22.991543623681306],[120.17881600938934,22.991546522630824],[120.17861363549716,22.991569247988323],[120.17861939072307,22.991613173128844],[120.17882176858701,22.99159044688321],[120.17884836864197,22.991587547933],[120.17884806377404,22.991585220199713],[120.1788428332063,22.991545329723557],[120.1788426094357,22.991543623681306]]]}"
"77","D07BA0004","臺南市安平區新南段127-47地號","108000","126","長方形4.5:28.0","「住五」住宅區","60","210","臺南市安平區中華西路二段75號","透天美心便當店","4.39","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18668978629204,22.988315799200468],[120.18641849742727,22.98834477471821],[120.1864235224281,22.988385147065248],[120.18669481137302,22.98835617154132],[120.18668978629204,22.988315799200468]]]}"
"78","D07BA0005","臺南市安平區新南段120-23地號","59000","102","長方形5.0:20.4","「住五」住宅區","60","210","臺南市安平區永華二街25號","透天住家用","1.56","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18396404490208,22.985303823857265],[120.18376731016994,22.98532482964335],[120.18377285255043,22.985369687281036],[120.18396963126769,22.98534867629813],[120.18396404490208,22.985303823857265]]]}"
"79","D07BA0006","臺南市安平區金華段42-47地號","57800","129","長方形5.6:23.1","「住五」住宅區","60","210","臺南市安平區建平八街372巷6號","透天住家用","3.8","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17478685167855,22.991604475069355],[120.17456199347231,22.991632117809818],[120.17456911882181,22.991681806887293],[120.17479397613421,22.991654164134165],[120.17478954930796,22.991623290673154],[120.17478685167855,22.991604475069355]]]}"
"80","D07BA0008","臺南市安平區金城段34-35地號","54800","110","長方形4.6:23.9","「住四」住宅區","60","180","臺南市安平區光州七街108號","透天住家用","5.85","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.16089155600163,22.992796199261896],[120.16085753387496,22.99300963974738],[120.16085782719487,22.993009682839368],[120.16090184652242,22.99301616570755],[120.16093594166828,22.99280226235534],[120.16089155600163,22.992796199261896]]]}"
"81","D07BA0009","臺南市安平區金城段55地號","128000","4994","近似梯形62.6:79.8","「住五」住宅區","60","210","臺南市安平區永華路二段869號十三樓之3","透天皇鼎格里昂","2.66","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.16703880094873,22.990676585874173],[120.1667508635506,22.9907248004464],[120.16652052127779,22.990763375375803],[120.16655099969518,22.99091934972147],[120.16648138749348,22.99100533814843],[120.16653625389813,22.991484844019578],[120.16660570306928,22.99147790402603],[120.16679815048639,22.99145736144538],[120.16699044972154,22.991435526549047],[120.16714267852475,22.991417300499503],[120.1671746656978,22.991371929960614],[120.16703880094873,22.990676585874173]]]}"
"82","D07BA0010","臺南市安平區金城段69-27地號","71400","71.1","長方形4.5:15.8","「住四」住宅區","60","180","臺南市安平區平豐路51號之1","透天住家用"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.16423469602883,22.986419423151034],[120.16423124868926,22.98645993287046],[120.16438485564503,22.98647112215655],[120.16438829903812,22.986430612411926],[120.16423469602883,22.986419423151034]]]}"
"83","D07BB0003","臺南市安平區新南段37-19地號","97100","100.1","長方形5.5:18.2","「商三(11)」商業區","80","280","臺南市安平區慶平路186號","透天住家用","2.56","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1795545892178,22.997129639776244],[120.17954280634656,22.99729362301618],[120.17955146860726,22.997294156411453],[120.17959633412171,22.997296919925528],[120.17960811790421,22.99713293668489],[120.1795545892178,22.997129639776244]]]}"
"84","D07BB0007","臺南市安平區妙壽段938地號","69600","67.99","長方形4.0:17.0","「特商三」特定商業專用區","80","280","臺南市安平區延平街75號","透天鈺佳鐘表行","0.88","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.16279088083604,23.000469556764305],[120.16275228436191,23.00048045971512],[120.16275933831102,23.00049917117196],[120.16278606677363,23.00057003590691],[120.1628059332595,23.000622695881123],[120.16284354546747,23.00061323252571],[120.16279088083604,23.000469556764305]]]}"
"85","D08BA0001","臺南市中西區保安段2002地號","126000","82","長方形4.6:17.9","「住六」住宅區","60","240","臺南市中西區金華路三段7號","透天悟饕便當店","3.74"," "
"86","D08BA0002","臺南市中西區郡王祠段1852地號","114000","88.85","長方形4.4:20.0","「住四」住宅區","60","180","臺南市中西區健康路一段204號","透天林媽媽租屋","1.35","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20612460489508,22.981413205853123],[120.20608168789357,22.98141390291519],[120.2060809147104,22.981596290035093],[120.20612382243901,22.981595520686913],[120.20612460489508,22.981413205853123]]]}"
"87","D08BA0003","臺南市中西區成光段1010地號","86500","85","長方形4.3:19.8","「住四」住宅區","60","180","台南市中西區民權路四段206號","透天住家用","4.76","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18051509657286,22.999192683805894],[120.18051118611271,22.99928300693172],[120.18050752675619,22.99937325911476],[120.18050824649447,22.999373279092797],[120.18054989183703,22.99937443549265],[120.18055278045978,22.99929341439523],[120.18055696567681,22.99919344313328],[120.18051509657286,22.999192683805894]]]}"
"88","D08BA0006","臺南市中西區協進段700地號","46900","91","長方形4.8:19.0","「住五」住宅區","60","210","臺南市中西區大新街55號","透天住家用","4.73"," "
"89","D08BA0011","臺南市中西區南門段1264地號","100000","99.04","長方形5.7:17.3","「住五」住宅區","60","210","臺南市中西區忠義路一段47號","透天住家用","1.53","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20176342925458,22.985937100735075],[120.20159482872174,22.98594803566359],[120.20159551887174,22.98599987214044],[120.2016423432305,22.985996730786038],[120.20176440464004,22.985988541323483],[120.20176342925458,22.985937100735075]]]}"
"90","D08BA0012","臺南市中西區武聖段1367地號","56900","88.85","長方形4.6:19.3","「住四」住宅區","60","180","臺南市中西區武聖路69巷45號","透天夾物店鋪","1.62","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19142576326504,23.0044083466254],[120.19125875476301,23.004491925277044],[120.19128009593477,23.0045282449748],[120.19144671429896,23.004444664309812],[120.19142576326504,23.0044083466254]]]}"
"91","D08BA0013","臺南市中西區頂美段1512-42地號","158000","116.02","長方形4.5:25.7","「住四」住宅區","60","180","臺南市中西區中華西路二段777號","透天住家用","3.37","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18637222474857,23.004337656958047],[120.18636923672318,23.004357378685274],[120.18636612589016,23.004377897138802],[120.18661453515895,23.004410162702325],[120.18661831053551,23.00438975782355],[120.18662192054951,23.004370088951035],[120.18637222474857,23.004337656958047]]]}"
"92","D08BA0015","臺南市中西區頂美段984-9地號","136000","122.62","長方形5.1:24.0","「住四」住宅區","60","180","臺南市中西區和緯路五段217號","透天住家用"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18151207266212,23.004668430973418],[120.18146239714837,23.00467091936398],[120.18147601385725,23.004887747953777],[120.18152568078531,23.00488507891476],[120.18151207266212,23.004668430973418]]]}"
"93","D08BB0004","臺南市中西區中正段500地號、中正段501地號","304000","104.76","長方形4.8:21.3","「商四（1）」商業區","80","320","臺南市中西區中正路224號","透天ETUDE HOUSE","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19717578472437,22.9931487098297],[120.19712902705471,22.993158288618098],[120.19713804049401,22.993194418674193],[120.19718492192779,22.993185355227705],[120.19717578472437,22.9931487098297]]]}"
"94","D08BB0007","臺南市中西區中山段401地號","120000","74.36","長方形4.3:17.4","「商四(1)」商業區","80","320","臺南市中西區民權路一段252號","透天雅維麗飾品店","1.02","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20720277497689,22.99303917601997],[120.20717999013587,22.993074261481688],[120.20733207130662,22.99314439202703],[120.20733799609704,22.99313363968435],[120.20735021040223,22.9931114776228],[120.20720277497689,22.99303917601997]]]}"
"95","D08BB0008","臺南市中西區中正段194地號","124000","104.83","長方形4.5:23.1","「商四(1)」商業區","80","320","臺南市中西區民生路二段79號","透天吾皇萬歲工夫手作麵","0.74","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1971222638799,22.994838182386268],[120.19707889743297,22.994851489712072],[120.19715081078448,22.99503988842906],[120.19719515558324,22.995026089386485],[120.1971222638799,22.994838182386268]]]}"
"96","D08BB0009","臺南市中西區永福段645地號","119000","77.4","長方形4.2:18.4","「商四(1)」商業區","80","320","臺南市中西區永福路二段142-1號","透天My賣飲料","0.51","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20166050128641,22.994269933728663],[120.20148884084594,22.99432175033139],[120.20150143290414,22.994358268436265],[120.20167249439955,22.99430547354871],[120.20166050128641,22.994269933728663]]]}"
"97","D08BB0010","臺南市中西區星鑽段1923地號","119000","85.5","長方形4.7:18.3","「商四(1)」商業區","80","320","臺南市中西區康樂街191號","透天住家用","2.08","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19480330353699,22.99440287268203],[120.19462697904137,22.994436453355053],[120.19463570717268,22.99447782858299],[120.19481271853951,22.99444356510375],[120.19480330353699,22.99440287268203]]]}"
"98","D08BB0014","臺南市中西區廣慈段65地號","309000","96.36","長方形4.8:20.1","「商四(1)」商業區","80","320","臺南市中西區北門路一段145號","透天深白服飾店","2.82","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21176014418535,22.99540018189206],[120.21156614919383,22.995410025551855],[120.21157057490902,22.995454141772157],[120.21176312127946,22.995443496247535],[120.21176014418535,22.99540018189206]]]}"
"99","D08BB0016","臺南市中西區新美段95地號、新美段96地號、新美段97地號、新美段98地號","235000","99.4","長方形6.9:14.5","「商四(1)」商業區","80","320","臺南市中西區民族路二段373號","透天阿庶甘蔗汁"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2016982358983,22.99700100636582],[120.2016564348438,22.99701511747627],[120.2016680934102,22.99704621278153],[120.20171026336415,22.997032401521558],[120.2016982358983,22.99700100636582]]]}"
"101","D09BA0002","臺南市新營區民治段538地號","80200","117.12","長方形4.9:23.9","住宅區","60","200","臺南市新營區三民路106之12號","透天樂恩聯合診所","1.53","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.31420711998743,23.30714906451869],[120.31420706746083,23.307153588287683],[120.31420469558093,23.307364472102726],[120.31421789622044,23.307364069319174],[120.31425063383035,23.30736306571569],[120.31425831056632,23.307152927496762],[120.31420711998743,23.30714906451869]]]}"
"102","D09BA0003","臺南市新營區東興段17地號","29900","86.59","長方形4.6:18.8","住宅區","60","200","臺南市新營區東學路88號","透天住家用","3.02","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.32445179668902,23.315139489235424],[120.32444120804824,23.315313595053283],[120.32448513567907,23.315315897388],[120.32449529721903,23.315141166659437],[120.3244672320248,23.315140088528356],[120.32445179668902,23.315139489235424]]]}"
"103","D09BA0004","臺南市新營區大公段27-4地號","29200","105.3","長方形6.3:16.7","住宅區","60","200","臺南市新營區民族路318號","透天住家用","3.76","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.3194154515402,23.318964814126513],[120.31941131006826,23.3190215944068],[120.31957519551761,23.319028608929923],[120.31957804649241,23.31897178692136],[120.3194154515402,23.318964814126513]]]}"
"104","D09BB0001","臺南市新營區民權段1126地號","134000","81.91","長方形4.2:19.5","商業區","80","320","臺南市新營區民權路18號","透天大福帆布行","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.3133386402242,23.30326703992381],[120.31332976581596,23.303300818188838],[120.31350604776861,23.30336114254505],[120.31352113809363,23.303322009638645],[120.3133386402242,23.30326703992381]]]}"
"105","D09BB0002","臺南市新營區三興段1117地號","51400","114.92","長方形4.5:25.5","商業區","80","320","臺南市新營區中華路86號","透天透天厝(出售中)","4.94","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.30983056821593,23.30454599794281],[120.30976148622187,23.304764100870628],[120.30980705275392,23.304770143828588],[120.30987430921397,23.3045515091081],[120.30983056821593,23.30454599794281]]]}"
"106","D09BD0001","臺南市新營區嘉芳段259地號","9800","1760","長方形32.0:55.0","工業區","70","210","臺南市新營區新工路29號","透天成浤塑膠股份有限公司","17.39","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.28229891443107,23.30295811216815],[120.28176111709135,23.30298909639339],[120.28178002061235,23.303277525712737],[120.28212247618758,23.303257693110496],[120.28231804275113,23.30324676822358],[120.28229891443107,23.30295811216815]]]}"
"107","D09EB0001","臺南市新營區許丑段243-8地號","22200","101","長方形4.6:22.0","乙種建築用地","60","240","臺南市新營區中正路535號","透天住家用"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.31608304775725,23.328036952626018],[120.31586039283086,23.328077739358296],[120.31586955716934,23.32811723559424],[120.3160843838713,23.328078516842513],[120.31608304775725,23.328036952626018]]]}"
"108","D10BA0001","臺南市鹽水區朝琴段75地號","55400","84.72","長方形4.8:17.7","住宅區","60","180","臺南市鹽水區朝琴路85號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.26965537156444,23.32161840201195],[120.2695809760425,23.32175919198779],[120.26962310660342,23.32177916375612],[120.26969768135984,23.321641354449465],[120.26965537156444,23.32161840201195]]]}"
"109","D10BA0002","臺南市鹽水區後厝段655-12地號","25500","102.54","長方形4.7:21.8","住宅區","60","180","臺南市鹽水區中山路2之13號","透天世洋水族館","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.26900086373483,23.319499644605486],[120.26898291884201,23.31950736270111],[120.26897394160498,23.319511203666057],[120.26895951544998,23.31951734891697],[120.2690638967454,23.31969147103041],[120.26910540012616,23.319674020252105],[120.26900086373483,23.319499644605486]]]}"
"110","D10BB0001","臺南市鹽水區朝琴段670地號","55700","101.39","長方形4.5:22.5","商業區","80","240","臺南市鹽水區三福路76號","透天商行","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.26604443995481,23.321035991061372],[120.26600012849859,23.321039395458666],[120.26602063421005,23.321240225219032],[120.26606396799122,23.32123681623841],[120.26606475068021,23.321236729605616],[120.26606187736364,23.3212080012041],[120.26604443995481,23.321035991061372]]]}"
"111","D10EB0001","臺南市鹽水區歡雅段387地號","11300","145.57","長方形6.2:23.3","乙種建築用地","60","240","臺南市鹽水區歡雅54之21號","透天國鉅手機"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.24176984888284,23.291759735091755],[120.2417409184465,23.29181062295513],[120.24167758176553,23.291921284657782],[120.24172482086462,23.291955095060906],[120.24183879223746,23.291793063434916],[120.24176984888284,23.291759735091755]]]}"
"112","D11BA0001","臺南市柳營區柳南段8地號","29800","96.18","長方形4.0:24.0","住宅區","60","200","臺南市柳營區中山西路二段87號","透天愛迪兒安親才藝班","0.1","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.31533410867128,23.276531683136902],[120.31525757676535,23.276741567019567],[120.31529476779602,23.276751301058965],[120.31537010689298,23.276545294842556],[120.31533410867128,23.276531683136902]]]}"
"113","D11BA0002","臺南市柳營區柳中段738-3地號","20000","88.23","長方形4.7:18.8","住宅區","60","200","臺南市柳營區成功街99號","透天住家用","1.38","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.31437045952485,23.27853727682702],[120.314314157709,23.278699561260446],[120.31435832175372,23.27871057213288],[120.31441462356771,23.27854827865293],[120.31437045952485,23.27853727682702]]]}"
"114","D11BB0001","臺南市柳營區柳中段1066地號","38100","78.23","長方形5.6:14.0","商業區","80","320","臺南市柳營區柳營路二段6號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.31265290550694,23.27681126983746],[120.31263917187893,23.276858978227317],[120.31277176887993,23.27688637794433],[120.3127858989945,23.276837587681953],[120.31275202536723,23.276829041474706],[120.31271599074837,23.27682256268949],[120.31265290550694,23.27681126983746]]]}"
"115","D11EB0001","臺南市柳營區重溪段954地號","11600","153.6","長方形4.8:32.0","乙種建築用地","60","240","臺南市柳營區小?腿6之5號","透天住家用"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.36655122261885,23.287024183176097],[120.36625427941848,23.287112706265447],[120.36627048775767,23.287153822236807],[120.36656281969385,23.287066815604636],[120.36655122261885,23.287024183176097]]]}"
"116","D12BA0001","臺南市白河區長安段1504地號","31500","109","長方形4.7:23.1","住宅區","60","180","臺南市白河區新興路490號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.41833020970934,23.352733422723354],[120.41828600220458,23.352738161753873],[120.41831675160601,23.35295120367397],[120.41836094013216,23.352946347175358],[120.41833020970934,23.352733422723354]]]}"
"117","D12BA0002","臺南市白河區永安段406-2地號","32400","80","長方形4.5:17.8","住宅區","60","180","臺南市白河區三民路445號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.41304931162696,23.352097523998886],[120.41301286576311,23.352108470777527],[120.41302050221331,23.35212712018585],[120.41307756073455,23.352271383480016],[120.41311755217811,23.35225815816367],[120.41305302374408,23.352097619186736],[120.41305084891825,23.352097556852645],[120.41304931162696,23.352097523998886]]]}"
"118","D12BB0001","臺南市白河區永安段28地號","49000","127","長方形4.9:25.8","商業區","80","300","臺南市白河區中山路93號","透天年代眼鏡公司","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.41552342049022,23.350457955026798],[120.4154708951567,23.35048650235222],[120.4154120311486,23.350518897156487],[120.4154120395295,23.35051698372856],[120.41530495916119,23.350575917341363],[120.41531916194761,23.350595060728732],[120.41533338658468,23.350615691439135],[120.4154107155787,23.350569842272144],[120.41541070581349,23.350572071745248],[120.4155453414799,23.35049300106415],[120.41552342049022,23.350457955026798]]]}"
